pair_id,iso3_i,iso3_j,contig,col45,col_dep_ever,sibling_ever,comlang_ethno,comlang_off,col_dep_end_conflict,comcol,col_dep_end_year,cepii_first_panel_year,cepii_last_panel_year,dist,dist_max_spread
AFG__AGO,AFG,AGO,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7593.0,0.0
AFG__ARE,AFG,ARE,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,1684.0,0.0
AFG__ARG,AFG,ARG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,15271.0,0.0
AFG__ARM,AFG,ARM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2265.0,0.0
AFG__ATG,AFG,ATG,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12303.0,0.0
AFG__AUS,AFG,AUS,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,11304.5,221.0
AFG__AZE,AFG,AZE,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,1821.0,0.0
AFG__BDI,AFG,BDI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5912.0,0.0
AFG__BEL,AFG,BEL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5420.0,0.0
AFG__BEN,AFG,BEN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7487.0,0.0
AFG__BFA,AFG,BFA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7644.0,324.0
AFG__BGD,AFG,BGD,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,2382.0,0.0
AFG__BHR,AFG,BHR,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,2006.0,0.0
AFG__BHS,AFG,BHS,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12528.0,0.0
AFG__BLZ,AFG,BLZ,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,13820.0,0.0
AFG__BOL,AFG,BOL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,15338.0,0.0
AFG__BRA,AFG,BRA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,13586.5,345.0
AFG__BRB,AFG,BRB,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12467.0,0.0
AFG__BRN,AFG,BRN,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,5734.0,0.0
AFG__BTN,AFG,BTN,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,2101.0,0.0
AFG__BWA,AFG,BWA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,7986.0,0.0
AFG__CAF,AFG,CAF,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6186.0,0.0
AFG__CAN,AFG,CAN,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,10580.5,393.0
AFG__CHL,AFG,CHL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,16337.0,0.0
AFG__CHN,AFG,CHN,1.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4852.0,0.0
AFG__CIV,AFG,CIV,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,8139.0,0.0
AFG__CMR,AFG,CMR,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6907.0,148.0
AFG__COD,AFG,COD,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7087.0,0.0
AFG__COG,AFG,COG,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,7085.0,0.0
AFG__COL,AFG,COL,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14220.0,0.0
AFG__COM,AFG,COM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5803.0,0.0
AFG__CPV,AFG,CPV,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,9326.0,0.0
AFG__CRI,AFG,CRI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,14339.0,0.0
AFG__CUB,AFG,CUB,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,12956.0,0.0
AFG__CYP,AFG,CYP,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3258.0,0.0
AFG__DEU,AFG,DEU,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4787.0,0.0
AFG__DJI,AFG,DJI,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,3661.0,0.0
AFG__DMA,AFG,DMA,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,12420.0,0.0
AFG__DOM,AFG,DOM,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,12721.0,0.0
AFG__DZA,AFG,DZA,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,5871.0,0.0
AFG__ECU,AFG,ECU,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,15209.0,0.0
AFG__EGY,AFG,EGY,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3587.0,0.0
AFG__ERI,AFG,ERI,0.0,0.0,0,1.0,0.0,0.0,,0.0,,1948,2021,3697.0,0.0
AFG__ESP,AFG,ESP,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,6043.5,503.0
AFG__ETH,AFG,ETH,0.0,0.0,0,0.0,0.0,0.0,,0.0,,1948,2021,4195.0,0.0
