country,iso3c,first_colonized_year,last_colonized_year,observed_colonial_year_rows,primary_single_colonizer_mode,last_recorded_colonizer_category,has_multiple_colonizer_year,single_colonizers_observed
Afghanistan,AFG,1462,2022,561,zzz. Not colonized,zzz. Not colonized,0,zzz. Not colonized
Angola,AGO,1462,2022,561,Portugal,zzzz. No longer colonized,0,Portugal|zzz. Not colonized|zzzz. No longer colonized
United Arab Emirates,ARE,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Argentina,ARG,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Armenia,ARM,1462,2022,561,zzz. Not colonized,zzz. Not colonized,0,zzz. Not colonized
Antigua and Barbuda,ATG,1462,2022,561,United Kingdom,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Australia,AUS,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Azerbaijan,AZE,1462,2022,561,zzz. Not colonized,zzz. Not colonized,0,zzz. Not colonized
Burundi,BDI,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,Belgium|Germany|zzz. Not colonized|zzzz. No longer colonized
Belgium,BEL,1462,2022,561,zz. Colonizer,zz. Colonizer,0,zz. Colonizer
Benin,BEN,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Burkina Faso,BFA,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Bangladesh,BGD,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Bahrain,BHR,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Bahamas,BHS,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Belize,BLZ,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|United Kingdom|z. Multiple colonizers|zzz. Not colonized|zzzz. No longer colonized
Bolivia,BOL,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Brazil,BRA,1462,2022,561,Portugal,zzzz. No longer colonized,0,Portugal|zzz. Not colonized|zzzz. No longer colonized
Barbados,BRB,1462,2022,561,United Kingdom,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Brunei,BRN,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Bhutan,BTN,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Botswana,BWA,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Central African Republic,CAF,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Canada,CAN,1462,2022,561,United Kingdom,zzzz. No longer colonized,0,France|United Kingdom|z. Multiple colonizers|zzz. Not colonized|zzzz. No longer colonized
Chile,CHL,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
China,CHN,1462,2022,561,zzz. Not colonized,zzz. Not colonized,0,zzz. Not colonized
Cote d'Ivoire,CIV,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Cameroon,CMR,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|Germany|zzz. Not colonized|zzzz. No longer colonized
Democratic Republic of Congo,COD,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,Belgium|zzz. Not colonized|zzzz. No longer colonized
Congo,COG,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Colombia,COL,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Comoros,COM,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Cape Verde,CPV,1462,2022,561,Portugal,zzzz. No longer colonized,0,Portugal|zzzz. No longer colonized
Costa Rica,CRI,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Cuba,CUB,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Cyprus,CYP,1914,2022,109,zzzz. No longer colonized,zzzz. No longer colonized,0,United Kingdom|zzzz. No longer colonized
Germany,DEU,1462,2022,561,zz. Colonizer,zz. Colonizer,0,zz. Colonizer
Djibouti,DJI,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Dominica,DMA,1462,2022,561,United Kingdom,zzzz. No longer colonized,0,France|United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Dominican Republic,DOM,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Algeria,DZA,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,France|zzz. Not colonized|zzzz. No longer colonized
Ecuador,ECU,1462,2022,561,Spain,zzzz. No longer colonized,0,Spain|zzz. Not colonized|zzzz. No longer colonized
Egypt,EGY,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,United Kingdom|zzz. Not colonized|zzzz. No longer colonized
Eritrea,ERI,1462,2022,561,zzz. Not colonized,zzzz. No longer colonized,0,Italy|United Kingdom|z. Multiple colonizers|zzz. Not colonized|zzzz. No longer colonized
