left_out_concept_id,estimate_log_scale,std_error,multiplicative_effect
D01,-0.0322726709483198,0.0521974114431937,0.9682425344716996
D02,-0.0310293905486487,0.0519959855342144,0.9694470800757462
D03,-0.0325582941845914,0.0526197455731958,0.9679660213966677
D04,-0.0316931100755583,0.0524330665432368,0.9688038526033244
D05,-0.035246984260382,0.0529469484236875,0.9653669563671432
D06,-0.0647722038901515,0.0648887439358506,0.9372809480147882
D07,-0.0139169265891239,0.053248161935535,0.9861794661520386
D08,-0.0316949673825479,0.0547406812579088,0.9688020532388284
D09,-0.0100523371119433,0.0543571161912467,0.989998018756125
D10,-0.0308580754912478,0.0521466385088733,0.9696131751848068
D11,-0.0400184416075541,0.0522605016774444,0.960771720813922
D12,-0.0203022284316507,0.050808582968325,0.979902474161172
D13,-0.0316842135530931,0.0521961032701942,0.968812471626903
D14,-0.0414031458164468,0.0550782431957373,0.9594422568379344
D15,-0.0309049985836746,0.0517888419913374,0.9695676790035884
D16,-0.027322904577774,0.0530707271207883,0.9730469894630658
D17,-0.0284319877005039,0.0493871454030722,0.9719683977039488
D18,-0.0227491514829007,0.0437617773875737,0.97750765936783
D19,-0.0308455143549355,0.052796624598765,0.9696253547045648
D20,-0.079424867935487,0.0737192899042031,0.9236474128987698
D21,-0.0345180639328591,0.0528685020285336,0.9660708884892066
