model,sample,outcome,parameter,estimate_log_scale,std_error,z_or_t,p_asymptotic,ci95_low_log,ci95_high_log,multiplicative_effect,input_rows,countries,pairs,disciplines,periods,formula,offset,cluster,demeaner_route,status,error
A1_output_2007_2010_temporal,2007-2010 temporal output,fractional_output,exposure_x_ikes,0.4228424412949876,0.053932201866578,7.840259189510755,4.440892098500626e-15,0.3171372680295508,0.5285476145604245,1.5262937961465448,3108,148.0,,21,1,fractional_output ~ exposure_x_ikes | iso3c + concept_id,,iso3c + concept_id,default_map,OK,
A2_top10_2007_2010_temporal,2007-2010 temporal Top10 impact,fractional_top10,exposure_x_ikes,0.0222507991268848,0.0750620955177327,0.2964318937995581,0.7669002714986828,-0.1248682046919766,0.1693698029457463,1.022500194471405,2548,148.0,,21,1,fractional_top10 ~ exposure_x_ikes | iso3c + concept_id,log_impact_denominator,iso3c + concept_id,default_map,OK,
B1_dyad_2007_2010_temporal,2007-2010 temporal dyad,fractional_collaboration_mass,colonial_tie_x_ikes,0.1676344637838079,0.0482891840041055,3.471470211001197,0.0005176167577798,0.0729894022929333,0.2622795252746824,1.182504283495589,253890,,12090.0,21,1,fractional_collaboration_mass ~ colonial_tie_x_ikes | pair_fe + i_discipline_period_fe + j_discipline_period_fe,,pair_fe + concept_id,lsmr_within_additive_fallback,OK,
A1_output_2011_2014_temporal,2011-2014 temporal output,fractional_output,exposure_x_ikes,0.4222114490421279,0.1103629971609755,3.825661316775313,0.0001304214956567,0.2059039493807195,0.6385189487035362,1.525331020369561,3108,148.0,,21,1,fractional_output ~ exposure_x_ikes | iso3c + concept_id,,iso3c + concept_id,default_map,OK,
A2_top10_2011_2014_temporal,2011-2014 temporal Top10 impact,fractional_top10,exposure_x_ikes,-0.0029637875013611,0.0688669747095222,-0.0430364120663394,0.9656725080989348,-0.1379405776562554,0.1320130026535331,0.9970406001810256,2668,148.0,,21,1,fractional_top10 ~ exposure_x_ikes | iso3c + concept_id,log_impact_denominator,iso3c + concept_id,default_map,OK,
B1_dyad_2011_2014_temporal,2011-2014 temporal dyad,fractional_collaboration_mass,colonial_tie_x_ikes,0.1543401036737628,0.0417630743049598,3.6956116435957234,0.0002193580607976,0.0724859821523715,0.2361942251951542,1.16688768208639,253890,,12090.0,21,1,fractional_collaboration_mass ~ colonial_tie_x_ikes | pair_fe + i_discipline_period_fe + j_discipline_period_fe,,pair_fe + concept_id,lsmr_within_additive_fallback,OK,
A1_output_2015_2018_temporal,2015-2018 temporal output,fractional_output,exposure_x_ikes,0.3763778794279161,0.1679324013324253,2.2412463374644958,0.025010122843543,0.0472364209790361,0.7055193378767961,1.456997599179012,3108,148.0,,21,1,fractional_output ~ exposure_x_ikes | iso3c + concept_id,,iso3c + concept_id,default_map,OK,
A2_top10_2015_2018_temporal,2015-2018 temporal Top10 impact,fractional_top10,exposure_x_ikes,-0.0044226952645437,0.0316757038786208,-0.1396242142397585,0.8889569078290733,-0.0665059340515962,0.0576605435225087,0.9955870704499268,2747,148.0,,21,1,fractional_top10 ~ exposure_x_ikes | iso3c + concept_id,log_impact_denominator,iso3c + concept_id,default_map,OK,
B1_dyad_2015_2018_temporal,2015-2018 temporal dyad,fractional_collaboration_mass,colonial_tie_x_ikes,0.1611985129758039,0.0446050731940673,3.613905357232864,0.0003016191995079,0.073774175987659,0.2486228499639489,1.1749181821698358,253890,,12090.0,21,1,fractional_collaboration_mass ~ colonial_tie_x_ikes | pair_fe + i_discipline_period_fe + j_discipline_period_fe,,pair_fe + concept_id,lsmr_within_additive_fallback,OK,
A1_output_2019_2022_temporal,2019-2022 temporal output,fractional_output,exposure_x_ikes,0.3108747583478629,0.1746728858479963,1.7797539488664087,0.0751162371500271,-0.031477806989886,0.6532273236856118,1.3646183034325154,3108,148.0,,21,1,fractional_output ~ exposure_x_ikes | iso3c + concept_id,,iso3c + concept_id,default_map,OK,
A2_top10_2019_2022_temporal,2019-2022 temporal Top10 impact,fractional_top10,exposure_x_ikes,-0.0317064753636807,0.0521332694617933,-0.6081812188456224,0.5430672895296009,-0.1338858059051176,0.0704728551777561,0.968790904347229,2843,148.0,,21,1,fractional_top10 ~ exposure_x_ikes | iso3c + concept_id,log_impact_denominator,iso3c + concept_id,default_map,OK,
B1_dyad_2019_2022_temporal,2019-2022 temporal dyad,fractional_collaboration_mass,colonial_tie_x_ikes,0.1305872925624691,0.0422096196735191,3.0937803650572806,0.0019762372913343,0.0478579582012382,0.2133166269237,1.1394974052006337,253890,,12090.0,21,1,fractional_collaboration_mass ~ colonial_tie_x_ikes | pair_fe + i_discipline_period_fe + j_discipline_period_fe,,pair_fe + concept_id,default_map,OK,
A1_output_2023_2025_temporal,2023-2025 recent output-only sensitivity,fractional_output,exposure_x_ikes,0.3349166888402643,0.1588367203401522,2.108559583218749,0.0349826146281677,0.0236024375511053,0.6462309401294233,1.3978239260389749,3108,148.0,,21,1,fractional_output ~ exposure_x_ikes | iso3c + concept_id,,iso3c + concept_id,default_map,OK,
