iso3c,concept_id,fractional_output,discipline,IKES,country_total,country_field_share,world_field_share,RCA,SRCA
BEL,D01,813.9141594516594,Anthropology,1.818182,41596.14656640278,0.019567056726092463,0.009487845445749023,2.062328780330141,0.3469022618190638
BEL,D02,817.2556998556998,Archaeology,1.318182,41596.14656640278,0.019647389657863105,0.009160697021545898,2.144748332103177,0.3640190600999796
BEL,D03,195.35919913419912,Geography,1.954545,41596.14656640278,0.004696569640707796,0.005243069257935369,0.8957672328282814,-0.05498183815331299
BEL,D04,110.22063492063492,Development Studies,1.636364,41596.14656640278,0.002649779944031166,0.0022712367573814187,1.1666683076607927,0.07692377604430525
BEL,D05,1428.5984182484183,Linguistics,1.5,41596.14656640278,0.034344489482165105,0.016523755462813938,2.0784917544595736,0.3503312142698598
BEL,D06,5209.791304588023,Tropical Medicine / colonial-health-related Public Health,2.136364,41596.14656640278,0.12524696960261153,0.12426290763427819,1.0079191931612412,0.003943980010855597
BEL,D07,676.8104483404503,Agriculture & Forestry,2.045455,41596.14656640278,0.016270989122995117,0.021569027715571135,0.7543682236194981,-0.14001152840863162
BEL,D08,589.3811128199285,Geology / Earth-resource sciences,1.636364,41596.14656640278,0.014169127707035531,0.021059507579263885,0.67281381835286,-0.19559031498753673
BEL,D09,5853.185191490868,Sociology,1.545455,41596.14656640278,0.14071460158327473,0.10662911582426236,1.3196639632198521,0.13780615136001712
BEL,D10,3569.759388710704,Political Science / International Relations,1.227273,41596.14656640278,0.0858194732777002,0.0421910220750453,2.0340695497978896,0.34081932955913047
BEL,D11,1095.479401154401,Law,1.5,41596.14656640278,0.026336078978027744,0.016895668811132143,1.558747349538217,0.2183675342698666
BEL,D12,1864.6711353249434,Economics,1.318182,41596.14656640278,0.0448279778115562,0.04469271662948124,1.0030264703574931,0.0015109487579327875
BEL,D13,229.575,Public Administration / Social Policy,1.590909,41596.14656640278,0.005519141049123714,0.00195733743216452,2.819718745694439,0.47640123968436515
BEL,D14,2007.1800236313395,Education,1.318182,41596.14656640278,0.048253989595578056,0.08111003808912719,0.5949200707137445,-0.2539813353185641
BEL,D15,809.8833333333332,History,1.181818,41596.14656640278,0.019470152891217,0.01021164614526974,1.906661532747686,0.31192539018831444
BEL,D16,448.30043290043284,Demography / Population Studies,1.818182,41596.14656640278,0.010777451035873723,0.01870536302104138,0.5761690389943425,-0.2688994330684723
BEL,D17,1551.2212619896443,Mathematics,0.545455,41596.14656640278,0.037292427064447506,0.040218438935700845,0.9272470053864772,-0.03774969913570233
BEL,D18,3554.434607919193,Physics,0.818182,41596.14656640278,0.08545105499724609,0.07311148242104937,1.1687774911351554,0.07782148783129242
BEL,D19,1661.1640089270895,Chemistry,1.409091,41596.14656640278,0.039935526390052975,0.045082882910083444,0.8858245926664289,-0.06054402290519226
BEL,D20,6022.126582042193,Computer Science,0.454545,41596.14656640278,0.14477606891851533,0.2050620448049887,0.7060110468331449,-0.17232535141702895
BEL,D21,3087.8352216196254,Materials Science,0.772727,41596.14656640278,0.07423368452388499,0.10455419602611489,0.7100019640086311,-0.16958929995118127
GBR,D01,5008.216118603618,Anthropology,1.818182,253430.4000419778,0.019761702296859675,0.009487845445749023,2.0828440355458993,0.3512484001981479
GBR,D02,3579.2978386809273,Archaeology,1.318182,253430.4000419778,0.014123395765022896,0.009160697021545898,1.5417381157574326,0.21313687370030085
GBR,D03,2434.94882062382,Geography,1.954545,253430.4000419778,0.009607958714583963,0.005243069257935369,1.8325065418585398,0.29391160428257773
GBR,D04,784.7325396825397,Development Studies,1.636364,253430.4000419778,0.0030964420193968756,0.0022712367573814187,1.3633285958998227,0.15373596229071462
GBR,D05,4225.282881007881,Linguistics,1.5,253430.4000419778,0.016672360065359215,0.016523755462813938,1.0089933915373963,0.0044765660132480845
GBR,D06,38923.46967290436,Tropical Medicine / colonial-health-related Public Health,2.136364,253430.4000419778,0.1535864271470871,0.12426290763427819,1.2359796665881326,0.10553748324027137
GBR,D07,2115.208695001197,Agriculture & Forestry,2.045455,253430.4000419778,0.00834631005061286,0.021569027715571135,0.3869581031039004,-0.4420046254635675
GBR,D08,4923.328447429763,Geology / Earth-resource sciences,1.636364,253430.4000419778,0.019426747724875435,0.021059507579263885,0.9224692292427513,-0.04032874470910911
GBR,D09,39010.92167277652,Sociology,1.545455,253430.4000419778,0.15393150019222168,0.10662911582426236,1.443616023656422,0.1815408064777019
GBR,D10,19999.469523897154,Political Science / International Relations,1.227273,253430.4000419778,0.07891503750372676,0.0421910220750453,1.8704225122434899,0.3032384635121808
GBR,D11,4145.020101637493,Law,1.5,253430.4000419778,0.016355654652918192,0.016895668811132143,0.9680383082640595,-0.016240380891839896
GBR,D12,14813.99316676959,Economics,1.318182,253430.4000419778,0.05845389173641293,0.04469271662948124,1.3079064363219808,0.13341374306866577
GBR,D13,1497.4722582972581,Public Administration / Social Policy,1.590909,253430.4000419778,0.005908810695359434,0.00195733743216452,3.0188002325307703,0.5023390354636925
GBR,D14,11385.681344021476,Education,1.318182,253430.4000419778,0.04492626512894889,0.08111003808912719,0.5538927879627178,-0.2870900846526006
GBR,D15,7194.004761904762,History,1.181818,253430.4000419778,0.028386510697663576,0.01021164614526974,2.779817307987394,0.4708738975892667
GBR,D16,2719.486482961483,Demography / Population Studies,1.818182,253430.4000419778,0.010730703508778078,0.01870536302104138,0.573669887973159,-0.27091457699298155
GBR,D17,8229.751829793884,Mathematics,0.545455,253430.4000419778,0.03247342003339269,0.040218438935700845,0.8074261680148627,-0.10654589127513052
GBR,D18,21812.51994224441,Physics,0.818182,253430.4000419778,0.08606907434400696,0.07311148242104937,1.1772306003636304,0.08140185074287959
GBR,D19,7821.426404864486,Chemistry,1.409091,253430.4000419778,0.030862226487307593,0.045082882910083444,0.6845663918357094,-0.1872491400119621
GBR,D20,38370.10726869299,Computer Science,0.454545,253430.4000419778,0.15140293848858477,0.2050620448049887,0.7383274590505862,-0.15053121296969574
GBR,D21,14436.060270182174,Materials Science,0.772727,253430.4000419778,0.05696262274688044,0.10455419602611489,0.5448143155598717,-0.29465397870498106
FRA,D01,9060.208975746475,Anthropology,1.818182,209528.84187736036,0.04324086791378114,0.009487845445749023,4.557501295845305,0.6401260398274371
FRA,D02,8073.161544011544,Archaeology,1.318182,209528.84187736036,0.03853007286098044,0.009160697021545898,4.206019778883415,0.6158293504545695
FRA,D03,1095.5083083583083,Geography,1.954545,209528.84187736036,0.00522843680393901,0.005243069257935369,0.9972091816307381,-0.0013973590723146709
FRA,D04,339.5575396825397,Development Studies,1.636364,209528.84187736036,0.0016205766072113672,0.0022712367573814187,0.7135216537617952,-0.1671868841629646
FRA,D05,7352.331782106781,Linguistics,1.5,209528.84187736036,0.03508983162523365,0.016523755462813938,2.1235990634333666,0.359712959510988
FRA,D06,18251.954225634832,Tropical Medicine / colonial-health-related Public Health,2.136364,209528.84187736036,0.0871095075126598,0.12426290763427819,0.7010097314721973,-0.1757722269284323
FRA,D07,1995.509712039714,Agriculture & Forestry,2.045455,209528.84187736036,0.009523794882652523,0.021569027715571135,0.4415495685870483,-0.38739592698177105
FRA,D08,4620.831804306805,Geology / Earth-resource sciences,1.636364,209528.84187736036,0.0220534402944461,0.021059507579263885,1.047196389157783,0.023054158070882253
FRA,D09,41033.599193728725,Sociology,1.545455,209528.84187736036,0.19583747433561516,0.10662911582426236,1.8366228850511985,0.2949362389551821
FRA,D10,16118.588021189335,Political Science / International Relations,1.227273,209528.84187736036,0.07692777699131144,0.0421910220750453,1.8233210102016437,0.2916143815126575
FRA,D11,2180.3514771777927,Law,1.5,209528.84187736036,0.010405973028066357,0.016895668811132143,0.6158958928699002,-0.23770349861333853
FRA,D12,7059.729687868032,Economics,1.318182,209528.84187736036,0.03369335517064602,0.04469271662948124,0.7538891728148034,-0.14032290694298272
FRA,D13,219.5261904761905,Public Administration / Social Policy,1.590909,209528.84187736036,0.0010477134723279847,0.00195733743216452,0.5352748356574225,-0.3026983531216264
FRA,D14,3273.9698828948826,Education,1.318182,209528.84187736036,0.0156253900587642,0.08111003808912719,0.19264434374441242,-0.6769458644484264
FRA,D15,6733.57857142857,History,1.181818,209528.84187736036,0.03213676222851368,0.01021164614526974,3.1470697056419388,0.5177317619525247
FRA,D16,1431.984163059163,Demography / Population Studies,1.818182,209528.84187736036,0.006834305722442353,0.01870536302104138,0.3653661099629313,-0.46480858533562003
FRA,D17,8899.944819728784,Mathematics,0.545455,209528.84187736036,0.04247598917641145,0.040218438935700845,1.0561322194608262,0.027299907530044756
FRA,D18,19369.41218907119,Physics,0.818182,209528.84187736036,0.09244270151795297,0.07311148242104937,1.2644074289941905,0.11676672033867841
FRA,D19,8305.984131859714,Chemistry,1.409091,209528.84187736036,0.039641244887523894,0.045082882910083444,0.8792970264698301,-0.06422772548994274
FRA,D20,27655.44320369454,Computer Science,0.454545,209528.84187736036,0.1319887179058699,0.2050620448049887,0.6436525980777644,-0.21680214075588744
FRA,D21,16457.666453296446,Materials Science,0.772727,209528.84187736036,0.07854606700365054,0.10455419602611489,0.7512473912001751,-0.14204310027799572
DEU,D01,2242.4943292818293,Anthropology,1.818182,254741.6423825458,0.008803014333692146,0.009487845445749023,0.9278201657085686,-0.037441165714179436
DEU,D02,2365.9482355063237,Archaeology,1.318182,254741.6423825458,0.009287638304354561,0.009160697021545898,1.013857164199416,0.006880907169463935
DEU,D03,970.9832722832723,Geography,1.954545,254741.6423825458,0.0038116393660724917,0.005243069257935369,0.7269862705520411,-0.15808679785316906
DEU,D04,601.1206349206349,Development Studies,1.636364,254741.6423825458,0.0023597266206595753,0.0022712367573814187,1.0389610915685334,0.019108305562889102
DEU,D05,7455.646434121434,Linguistics,1.5,254741.6423825458,0.02926748200408193,0.016523755462813938,1.7712366943427145,0.2783005493241123
DEU,D06,25347.3189074565,Tropical Medicine / colonial-health-related Public Health,2.136364,254741.6423825458,0.09950206283663825,0.12426290763427819,0.8007382470840428,-0.11065558986078299
DEU,D07,2333.7416564841583,Agriculture & Forestry,2.045455,254741.6423825458,0.009161209901361851,0.021569027715571135,0.42473912232715905,-0.4037657622071989
DEU,D08,4505.722641247642,Geology / Earth-resource sciences,1.636364,254741.6423825458,0.017687420867301285,0.021059507579263885,0.8398781785722804,-0.08702849095801107
DEU,D09,38366.47254717447,Sociology,1.545455,254741.6423825458,0.15060934752693278,0.10662911582426236,1.4124598742350554,0.1709706671767291
DEU,D10,19425.554011631644,Political Science / International Relations,1.227273,254741.6423825458,0.07625590315720847,0.0421910220750453,1.8073964413939028,0.28759616187054143
DEU,D11,5257.773699400015,Law,1.5,254741.6423825458,0.020639631786248794,0.016895668811132143,1.221593061332372,0.09974511767671547
DEU,D12,9737.325624692645,Economics,1.318182,254741.6423825458,0.03822431830784106,0.04469271662948124,0.855269520193513,-0.07801048754975017
DEU,D13,645.9428571428571,Public Administration / Social Policy,1.590909,254741.6423825458,0.002535678309606107,0.00195733743216452,1.2954732627792385,0.12871997577592995
DEU,D14,8244.809069585386,Education,1.318182,254741.6423825458,0.032365376121757695,0.08111003808912719,0.3990304638519986,-0.42956143677767483
DEU,D15,3902.190115440115,History,1.181818,254741.6423825458,0.015318226258352342,0.01021164614526974,1.5000741350059492,0.20002372249843672
DEU,D16,1678.2904512154512,Demography / Population Studies,1.818182,254741.6423825458,0.006588206135120856,0.01870536302104138,0.3522094774482528,-0.4790607767179603
DEU,D17,9251.673503544967,Mathematics,0.545455,254741.6423825458,0.03631786863355352,0.040218438935700845,0.9030153729143153,-0.05096365928834327
DEU,D18,32330.42375217761,Physics,0.818182,254741.6423825458,0.12691456116007518,0.07311148242104937,1.735904634366099,0.26898036763500205
DEU,D19,14532.630761721937,Chemistry,1.409091,254741.6423825458,0.05704850854301343,0.045082882910083444,1.2654139411801835,0.117159136507262
DEU,D20,43556.3658592854,Computer Science,0.454545,254741.6423825458,0.17098251173978363,0.2050620448049887,0.8338086743570012,-0.09062631667465057
DEU,D21,21989.214018231512,Materials Science,0.772727,254741.6423825458,0.08631966808634407,0.10455419602611489,0.8255973587591232,-0.09553182162764522
NLD,D01,788.9792027417027,Anthropology,1.818182,63002.96867058878,0.012522889308071862,0.009487845445749023,1.3198875740205775,0.13788925704972121
NLD,D02,734.5430226636108,Archaeology,1.318182,63002.96867058878,0.01165886367203062,0.009160697021545898,1.2727048656460367,0.11999132389260665
NLD,D03,396.1122766122767,Geography,1.954545,63002.96867058878,0.006287200190253747,0.005243069257935369,1.199144981870703,0.09055564026583653
NLD,D04,163.81904761904764,Development Studies,1.636364,63002.96867058878,0.002600179818122159,0.0022712367573814187,1.1448299300685805,0.06752513476159369
NLD,D05,1190.5546703296704,Linguistics,1.5,63002.96867058878,0.01889680272932041,0.016523755462813938,1.143614281380944,0.06699632607804136
NLD,D06,10210.21275991764,Tropical Medicine / colonial-health-related Public Health,2.136364,63002.96867058878,0.16205923268952246,0.12426290763427819,1.3041641771853894,0.132006295470202
NLD,D07,773.8755697930719,Agriculture & Forestry,2.045455,63002.96867058878,0.012283160398985051,0.021569027715571135,0.5694814138570363,-0.27430626596905944
NLD,D08,1066.0940989565988,Geology / Earth-resource sciences,1.636364,63002.96867058878,0.016921331192037557,0.021059507579263885,0.803500800213346,-0.10895431804821434
NLD,D09,7938.052405061679,Sociology,1.545455,63002.96867058878,0.12599489472576778,0.10662911582426236,1.181618113887604,0.08324926930679168
NLD,D10,4620.567900520533,Political Science / International Relations,1.227273,63002.96867058878,0.0733388917699924,0.0421910220750453,1.7382582398583353,0.26960869837336066
NLD,D11,1439.258557625949,Law,1.5,63002.96867058878,0.0228442974671736,0.016895668811132143,1.3520800935753459,0.14968881992456157
NLD,D12,3712.404581585425,Economics,1.318182,63002.96867058878,0.05892428023504327,0.04469271662948124,1.3184313838773067,0.137347771468124
NLD,D13,381.0369047619048,Public Administration / Social Policy,1.590909,63002.96867058878,0.00604791984889089,0.00195733743216452,3.0898708365285814,0.5109870018052775
NLD,D14,4569.460725385725,Education,1.318182,63002.96867058878,0.0725277049923975,0.08111003808912719,0.8941890140983653,-0.05586083812865993
NLD,D15,1059.777380952381,History,1.181818,63002.96867058878,0.016821070551348627,0.01021164614526974,1.6472437755924902,0.24449723201167148
NLD,D16,801.1567821067821,Demography / Population Studies,1.818182,63002.96867058878,0.01271617511066237,0.01870536302104138,0.6798143984887188,-0.19060772535307652
NLD,D17,1743.6481067339523,Mathematics,0.545455,63002.96867058878,0.02767564994993525,0.040218438935700845,0.6881333707203714,-0.18474051558292862
NLD,D18,5863.086975877401,Physics,0.818182,63002.96867058878,0.09306048745944924,0.07311148242104937,1.272857345765655,0.12005036139817114
NLD,D19,1837.618316710809,Chemistry,1.409091,63002.96867058878,0.029167170301431386,0.045082882910083444,0.6469677274100792,-0.2143528781496391
NLD,D20,10594.515443546186,Computer Science,0.454545,63002.96867058878,0.16815898785563016,0.2050620448049887,0.8200395544458123,-0.09887721676960158
NLD,D21,3118.1939410864325,Materials Science,0.772727,63002.96867058878,0.04949280973393364,0.10455419602611489,0.47336990398330486,-0.35743236955833907
PRT,D01,766.7451479076478,Anthropology,1.818182,41890.208994180946,0.018303683994848486,0.009487845445749023,1.9291718124528843,0.3172131482703287
PRT,D02,948.9752196333078,Archaeology,1.318182,41890.208994180946,0.022653866915897505,0.009160697021545898,2.4729413998318863,0.42411927823002904
PRT,D03,339.3599567099567,Geography,1.954545,41890.208994180946,0.008101176023187134,0.005243069257935369,1.5451209252912366,0.2141827210936387
PRT,D04,95.22857142857143,Development Studies,1.636364,41890.208994180946,0.002273289480169455,0.0022712367573814187,1.0009037907568927,0.00045169126125292044
PRT,D05,725.3837662337662,Linguistics,1.5,41890.208994180946,0.017316308121893848,0.016523755462813938,1.0479644388870024,0.02342054284549463
PRT,D06,5010.5074066339785,Tropical Medicine / colonial-health-related Public Health,2.136364,41890.208994180946,0.11961046571359904,0.12426290763427819,0.9625596888946789,-0.01907728530101809
PRT,D07,577.7411327466666,Agriculture & Forestry,2.045455,41890.208994180946,0.013791793992408149,0.021569027715571135,0.6394258551789779,-0.21993928159786028
PRT,D08,745.0606893106892,Geology / Earth-resource sciences,1.636364,41890.208994180946,0.017786034187945617,0.021059507579263885,0.8445607819177371,-0.08426895963854181
PRT,D09,6521.41990203336,Sociology,1.545455,41890.208994180946,0.1556788581059422,0.10662911582426236,1.4600032730508592,0.1869929516314708
PRT,D10,1947.6578263841423,Political Science / International Relations,1.227273,41890.208994180946,0.04649434493522568,0.0421910220750453,1.1019961747436706,0.048523482568234744
PRT,D11,1121.288888888889,Law,1.5,41890.208994180946,0.02676732620371146,0.016895668811132143,1.584271478266378,0.22608750016400303
PRT,D12,1860.1518299081379,Economics,1.318182,41890.208994180946,0.04440540819852523,0.04469271662948124,0.9935714708654232,-0.0032246293792447486
PRT,D13,119.71666666666665,Public Administration / Social Policy,1.590909,41890.208994180946,0.002857867495559565,0.00195733743216452,1.460079109813577,0.18701801416802463
PRT,D14,4044.51731411863,Education,1.318182,41890.208994180946,0.09655042099886545,0.08111003808912719,1.1903634035132828,0.08690950698315411
PRT,D15,629.4023809523809,History,1.181818,41890.208994180946,0.015025047524585338,0.01021164614526974,1.4713639026304561,0.19073026927711803
PRT,D16,925.6857142857143,Demography / Population Studies,1.818182,41890.208994180946,0.022097901550558106,0.01870536302104138,1.1813671579482585,0.08314380148587554
PRT,D17,1202.693333953628,Mathematics,0.545455,41890.208994180946,0.02871060715215569,0.040218438935700845,0.713866771359692,-0.16695185029656937
PRT,D18,2096.9978298437845,Physics,0.818182,41890.208994180946,0.05005937855633718,0.07311148242104937,0.6846992688240814,-0.18715549831988604
PRT,D19,1549.0552669552667,Chemistry,1.409091,41890.208994180946,0.03697893384037423,0.045082882910083444,0.8202433263668537,-0.09875420007276431
PRT,D20,7618.895410947207,Computer Science,0.454545,41890.208994180946,0.1818777130475898,0.2050620448049887,0.8869399172360398,-0.059917160971171154
PRT,D21,3043.7247386385543,Materials Science,0.772727,41890.208994180946,0.07265957396062082,0.10455419602611489,0.6949465131219829,-0.1799782379658271
ESP,D01,1960.3823162948165,Anthropology,1.818182,150307.95282957968,0.013042439068526954,0.009487845445749023,1.3746470832712128,0.15776958433550256
ESP,D02,5318.663675621763,Archaeology,1.318182,150307.95282957968,0.03538511153599507,0.009160697021545898,3.8627095135631633,0.5887066676671594
ESP,D03,1064.1389249639249,Geography,1.954545,150307.95282957968,0.007079724691417053,0.005243069257935369,1.3503015777832634,0.1490453740467033
ESP,D04,518.8214285714286,Development Studies,1.636364,150307.95282957968,0.003451723071231449,0.0022712367573814187,1.519754847227398,0.20627199022925113
ESP,D05,5734.634956709957,Linguistics,1.5,150307.95282957968,0.038152571761867655,0.016523755462813938,2.308952819335079,0.3955791728689888
ESP,D06,21058.70721629994,Tropical Medicine / colonial-health-related Public Health,2.136364,150307.95282957968,0.14010374580895574,0.12426290763427819,1.1274784123135053,0.05991995574464147
ESP,D07,1862.4073928754267,Agriculture & Forestry,2.045455,150307.95282957968,0.012390611127456699,0.021569027715571135,0.5744631279096395,-0.2702742697158816
ESP,D08,2466.024007936508,Geology / Earth-resource sciences,1.636364,150307.95282957968,0.016406477245635202,0.021059507579263885,0.7790532225829316,-0.1241934612255642
ESP,D09,16019.830642564915,Sociology,1.545455,150307.95282957968,0.10658006007658373,0.10662911582426236,0.9995399404065257,-0.00023008272261905799
ESP,D10,8374.444135907952,Political Science / International Relations,1.227273,150307.95282957968,0.05571524312757397,0.0421910220750453,1.320547367363443,0.13813437806600004
ESP,D11,3078.1708952882864,Law,1.5,150307.95282957968,0.02047909533288861,0.016895668811132143,1.2120914277980777,0.0958782377314278
ESP,D12,6528.253997197333,Economics,1.318182,150307.95282957968,0.04343252552045013,0.04469271662948124,0.9718032108122102,-0.014300001659990793
ESP,D13,186.05952380952382,Public Administration / Social Policy,1.590909,150307.95282957968,0.0012378554847359245,0.00195733743216452,0.6324180309406555,-0.2251763715495908
ESP,D14,11537.37980163112,Education,1.318182,150307.95282957968,0.07675827914915646,0.08111003808912719,0.9463474676810184,-0.02756575236944001
ESP,D15,6709.462301587302,History,1.181818,150307.95282957968,0.04463810580398592,0.01021164614526974,4.371293831471361,0.6276502342356238
ESP,D16,2804.3849206349205,Demography / Population Studies,1.818182,150307.95282957968,0.018657595076253575,0.01870536302104138,0.997446296832942,-0.0012784840178717623
ESP,D17,5008.8677263972795,Mathematics,0.545455,150307.95282957968,0.033324036633486535,0.040218438935700845,0.8285760838893642,-0.09374721545412468
