concept_id,discipline,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,IKES_B
D01,Anthropology,3.000000,1.000000,3.000000,3.000000,1.000000,1.000000,1.000000,2.000000,3.000000,2.000000,2.000000,2.000000
D02,Archaeology,3.000000,2.000000,2.000000,3.000000,2.000000,0.000000,,2.000000,3.000000,1.000000,2.000000,2.000000
D03,Geography,3.000000,3.000000,2.000000,3.000000,2.000000,2.000000,2.000000,2.000000,2.000000,1.000000,2.000000,2.181818
D04,Development Studies,2.000000,0.000000,2.000000,2.000000,2.000000,1.000000,2.000000,2.000000,1.000000,0.000000,2.000000,1.454545
D05,Linguistics,2.000000,1.000000,3.000000,2.000000,0.000000,0.000000,1.000000,2.000000,2.000000,3.000000,2.000000,1.636364
D06,Tropical Medicine / colonial-health-related Public Health,3.000000,2.000000,2.000000,3.000000,2.000000,3.000000,2.000000,2.000000,2.000000,1.000000,3.000000,2.272727
D07,Agriculture & Forestry,2.000000,2.000000,1.000000,2.000000,2.000000,1.000000,3.000000,2.000000,2.000000,1.000000,3.000000,1.909091
D08,Geology / Earth-resource sciences,2.000000,2.000000,1.000000,2.000000,3.000000,0.000000,,2.000000,2.000000,0.000000,3.000000,1.700000
D09,Sociology,2.000000,1.000000,2.000000,2.000000,0.000000,0.000000,1.000000,2.000000,2.000000,1.000000,2.000000,1.363636
D10,Political Science / International Relations,2.000000,0.000000,2.000000,1.000000,0.000000,0.000000,0.000000,2.000000,2.000000,1.000000,2.000000,1.090909
D11,Law,2.000000,2.000000,2.000000,1.000000,1.000000,1.000000,1.000000,3.000000,2.000000,2.000000,2.000000,1.727273
D12,Economics,2.000000,0.000000,1.000000,1.000000,2.000000,0.000000,1.000000,2.000000,2.000000,0.000000,2.000000,1.181818
D13,Public Administration / Social Policy,2.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.000000,2.000000,1.000000,1.000000,2.000000,1.181818
D14,Education,2.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,3.000000,1.000000,3.000000,2.000000,1.454545
D15,History,2.000000,1.000000,3.000000,2.000000,1.000000,0.000000,1.000000,2.000000,3.000000,1.000000,2.000000,1.636364
D16,Demography / Population Studies,3.000000,2.000000,3.000000,2.000000,1.000000,2.000000,0.000000,2.000000,2.000000,1.000000,3.000000,1.909091
D17,Mathematics,2.000000,2.000000,1.000000,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.636364
D18,Physics,2.000000,2.000000,0.000000,2.000000,0.000000,0.000000,1.000000,2.000000,2.000000,0.000000,1.000000,1.090909
D19,Chemistry,2.000000,1.000000,0.000000,2.000000,2.000000,2.000000,3.000000,2.000000,2.000000,0.000000,2.000000,1.636364
D20,Computer Science,1.000000,1.000000,2.000000,1.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,1.000000,0.636364
D21,Materials Science,1.000000,0.000000,0.000000,2.000000,2.000000,0.000000,1.000000,1.000000,1.000000,0.000000,2.000000,0.909091
