concept_id,discipline,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,IKES,IKES_median
D01,Anthropology,3.000000,1.000000,3.000000,3.000000,0.500000,0.500000,0.500000,1.500000,3.000000,2.000000,2.000000,1.818182,2.000000
D02,Archaeology,2.000000,1.500000,1.500000,3.000000,0.000000,0.000000,0.000000,1.500000,3.000000,0.500000,1.500000,1.318182,1.500000
D03,Geography,3.000000,3.000000,2.000000,3.000000,2.000000,1.000000,1.500000,1.500000,1.500000,1.000000,2.000000,1.954545,2.000000
D04,Development Studies,2.000000,0.500000,2.000000,2.000000,2.000000,1.500000,2.000000,2.500000,0.500000,0.500000,2.500000,1.636364,2.000000
D05,Linguistics,2.000000,0.500000,3.000000,2.000000,0.000000,0.000000,0.500000,2.000000,2.000000,3.000000,1.500000,1.500000,2.000000
D06,Tropical Medicine / colonial-health-related Public Health,3.000000,1.500000,2.000000,3.000000,1.500000,3.000000,1.500000,2.000000,2.000000,1.000000,3.000000,2.136364,2.000000
D07,Agriculture & Forestry,2.000000,2.000000,1.000000,2.500000,2.500000,1.000000,3.000000,2.000000,2.500000,1.000000,3.000000,2.045455,2.000000
D08,Geology / Earth-resource sciences,2.000000,2.500000,0.500000,2.500000,3.000000,0.000000,1.000000,1.500000,2.500000,0.000000,2.500000,1.636364,2.000000
D09,Sociology,2.500000,1.000000,2.500000,2.000000,0.500000,0.500000,1.000000,2.000000,1.500000,1.000000,2.500000,1.545455,1.500000
D10,Political Science / International Relations,2.500000,0.500000,2.000000,1.000000,0.500000,0.000000,0.000000,2.500000,1.500000,0.500000,2.500000,1.227273,1.000000
D11,Law,2.500000,1.500000,1.500000,0.500000,1.000000,0.500000,0.500000,3.000000,2.000000,1.500000,2.000000,1.500000,1.500000
D12,Economics,2.000000,0.500000,1.500000,1.000000,2.500000,0.000000,1.500000,2.000000,1.000000,0.000000,2.500000,1.318182,1.500000
D13,Public Administration / Social Policy,2.500000,1.500000,2.000000,1.000000,1.000000,1.500000,0.500000,2.500000,1.500000,1.000000,2.500000,1.590909,1.500000
D14,Education,2.000000,0.000000,1.000000,0.500000,0.500000,0.500000,0.500000,3.000000,1.000000,3.000000,2.500000,1.318182,1.000000
D15,History,1.500000,0.500000,2.000000,1.500000,0.500000,0.000000,0.500000,1.500000,3.000000,0.500000,1.500000,1.181818,1.500000
D16,Demography / Population Studies,3.000000,1.500000,3.000000,2.000000,1.000000,2.000000,0.000000,2.000000,2.000000,0.500000,3.000000,1.818182,2.000000
D17,Mathematics,1.000000,1.500000,0.500000,0.500000,0.000000,0.000000,0.000000,1.500000,0.000000,0.500000,0.500000,0.545455,0.500000
D18,Physics,1.000000,1.500000,0.000000,1.500000,0.500000,0.000000,0.500000,1.500000,1.500000,0.000000,1.000000,0.818182,1.000000
D19,Chemistry,1.500000,0.500000,0.000000,1.500000,2.500000,1.500000,2.500000,1.500000,2.000000,0.000000,2.000000,1.409091,1.500000
D20,Computer Science,0.500000,0.500000,1.000000,0.500000,0.000000,0.000000,0.000000,0.500000,0.500000,0.000000,1.500000,0.454545,0.500000
D21,Materials Science,0.500000,0.500000,0.000000,1.500000,2.000000,0.000000,0.500000,1.000000,1.000000,0.000000,1.500000,0.772727,0.500000
