concept_id,discipline,dimension,score_A,score_B,abs_diff,needs_adjudication,adjudicated_score,adjudication_note
D01,Anthropology,D1,3,3.0,0.0,False,,
D01,Anthropology,D2,1,1.0,0.0,False,,
D01,Anthropology,D3,3,3.0,0.0,False,,
D01,Anthropology,D4,3,3.0,0.0,False,,
D01,Anthropology,D5,0,1.0,1.0,False,,
D01,Anthropology,D6,0,1.0,1.0,False,,
D01,Anthropology,D7,0,1.0,1.0,False,,
D01,Anthropology,D8,1,2.0,1.0,False,,
D01,Anthropology,D9,3,3.0,0.0,False,,
D01,Anthropology,D10,2,2.0,0.0,False,,
D01,Anthropology,D11,2,2.0,0.0,False,,
D02,Archaeology,D1,1,3.0,2.0,True,,
D02,Archaeology,D2,1,2.0,1.0,False,,
D02,Archaeology,D3,1,2.0,1.0,False,,
D02,Archaeology,D4,3,3.0,0.0,False,,
D02,Archaeology,D5,0,2.0,2.0,True,,
D02,Archaeology,D6,0,0.0,0.0,False,,
D02,Archaeology,D7,0,,,True,,
D02,Archaeology,D8,1,2.0,1.0,False,,
D02,Archaeology,D9,3,3.0,0.0,False,,
D02,Archaeology,D10,0,1.0,1.0,False,,
D02,Archaeology,D11,1,2.0,1.0,False,,
D03,Geography,D1,3,3.0,0.0,False,,
D03,Geography,D2,3,3.0,0.0,False,,
D03,Geography,D3,2,2.0,0.0,False,,
D03,Geography,D4,3,3.0,0.0,False,,
D03,Geography,D5,2,2.0,0.0,False,,
D03,Geography,D6,0,2.0,2.0,True,,
D03,Geography,D7,1,2.0,1.0,False,,
D03,Geography,D8,1,2.0,1.0,False,,
D03,Geography,D9,1,2.0,1.0,False,,
D03,Geography,D10,1,1.0,0.0,False,,
D03,Geography,D11,2,2.0,0.0,False,,
D04,Development Studies,D1,2,2.0,0.0,False,,
D04,Development Studies,D2,1,0.0,1.0,False,,
D04,Development Studies,D3,2,2.0,0.0,False,,
D04,Development Studies,D4,2,2.0,0.0,False,,
D04,Development Studies,D5,2,2.0,0.0,False,,
D04,Development Studies,D6,2,1.0,1.0,False,,
D04,Development Studies,D7,2,2.0,0.0,False,,
D04,Development Studies,D8,3,2.0,1.0,False,,
D04,Development Studies,D9,0,1.0,1.0,False,,
D04,Development Studies,D10,1,0.0,1.0,False,,
D04,Development Studies,D11,3,2.0,1.0,False,,
D05,Linguistics,D1,2,2.0,0.0,False,,
D05,Linguistics,D2,0,1.0,1.0,False,,
D05,Linguistics,D3,3,3.0,0.0,False,,
D05,Linguistics,D4,2,2.0,0.0,False,,
D05,Linguistics,D5,0,0.0,0.0,False,,
D05,Linguistics,D6,0,0.0,0.0,False,,
D05,Linguistics,D7,0,1.0,1.0,False,,
D05,Linguistics,D8,2,2.0,0.0,False,,
D05,Linguistics,D9,2,2.0,0.0,False,,
D05,Linguistics,D10,3,3.0,0.0,False,,
D05,Linguistics,D11,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D1,3,3.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D2,1,2.0,1.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D3,2,2.0,0.0,False,,
D06,Tropical Medicine / colonial-health-related Public Health,D4,3,3.0,0.0,False,,
