concept_id,discipline,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,IKES_unadjudicated_mean
D01,Anthropology,3.0,1.0,3.0,3.0,0.5,0.5,0.5,1.5,3.0,2.0,2.0,1.8181818181818181
D02,Archaeology,2.0,1.5,1.5,3.0,1.0,0.0,,1.5,3.0,0.5,1.5,
D03,Geography,3.0,3.0,2.0,3.0,2.0,1.0,1.5,1.5,1.5,1.0,2.0,1.9545454545454546
D04,Development Studies,2.0,0.5,2.0,2.0,2.0,1.5,2.0,2.5,0.5,0.5,2.5,1.6363636363636365
D05,Linguistics,2.0,0.5,3.0,2.0,0.0,0.0,0.5,2.0,2.0,3.0,1.5,1.5
D06,Tropical Medicine / colonial-health-related Public Health,3.0,1.5,2.0,3.0,1.5,3.0,1.5,2.0,2.0,1.0,3.0,2.1363636363636362
D07,Agriculture & Forestry,2.0,2.0,1.0,2.5,2.5,1.0,3.0,2.0,2.5,1.0,3.0,2.0454545454545454
D08,Geology / Earth-resource sciences,2.0,2.5,0.5,2.5,3.0,0.0,,1.5,2.5,0.0,2.5,
D09,Sociology,2.5,1.0,2.5,2.0,0.5,0.5,1.0,2.0,1.5,1.0,2.5,1.5454545454545454
D10,Political Science / International Relations,2.5,0.5,2.0,1.0,0.5,0.0,0.0,2.5,1.5,0.5,2.5,1.2272727272727273
D11,Law,2.5,1.5,1.5,0.5,1.0,0.5,0.5,3.0,2.0,1.5,2.0,1.5
D12,Economics,2.0,0.5,1.5,1.0,2.5,0.0,1.5,2.0,1.0,0.0,2.5,1.3181818181818181
D13,Public Administration / Social Policy,2.5,1.5,2.0,1.0,1.0,1.5,0.5,2.5,1.5,1.0,2.5,1.5909090909090908
D14,Education,2.0,0.0,1.0,0.5,0.5,0.5,0.5,3.0,1.0,3.0,2.5,1.3181818181818181
D15,History,1.5,0.5,2.0,1.5,0.5,0.0,0.5,1.5,3.0,0.5,1.5,1.1818181818181819
D16,Demography / Population Studies,3.0,1.5,3.0,1.0,1.0,2.0,0.0,2.0,2.0,0.5,3.0,1.7272727272727273
D17,Mathematics,1.0,1.5,0.5,0.5,0.0,0.0,0.0,1.5,0.0,0.5,0.5,0.5454545454545454
D18,Physics,1.0,1.5,0.0,1.5,0.5,0.0,0.5,1.5,1.5,0.0,1.0,0.8181818181818182
D19,Chemistry,1.5,0.5,0.0,1.5,2.5,1.5,2.5,1.5,2.0,0.0,2.0,1.4090909090909092
D20,Computer Science,0.5,0.5,1.0,0.5,0.0,0.0,0.0,0.5,0.5,0.0,1.5,0.45454545454545453
D21,Materials Science,0.5,0.5,0.0,1.5,2.0,0.0,0.5,1.0,1.0,0.0,1.5,0.7727272727272727
