person_id,canonical_name,source_level3_occupation,ford_broad_field,ford_second_level_proxy,mapping_basis,mental_health_information_used
cv_Q41981653,Ianthe Blyden,nurse,3 Medical and health sciences,3.3 Health sciences,direct,false
cv_Q5540597,George Higoumenakis,dermatologist,3 Medical and health sciences,3.2 Clinical medicine,direct,false
cv_Q109734,Philipp Schaeffer,sinologist,6 Humanities and the arts,6.2 Languages and literature,broad,false
cv_Q400678,Ahmad Kasravi,linguist,6 Humanities and the arts,6.2 Languages and literature,direct,false
cv_Q41907808,Hilda Bowen,nurse,3 Medical and health sciences,3.3 Health sciences,direct,false
cv_Q1729753,Karl-Franz Busch,academic,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q6240621,John I. Yellott,engineer,2 Engineering and technology,2.x Engineering and technologies,direct,false
cv_Q510562,Mary Alice McWhinnie,biologist,1 Natural sciences,1.6 Biological sciences,direct,false
cv_Q24287044,Hilario Hernández Gurruchaga,profesor,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q47504806,Hannah Gavron,sociologist,5 Social sciences,5.4 Sociology,direct,false
cv_Q5932286,Dan Laksov,mathematician,1 Natural sciences,1.1 Mathematics,direct,false
cv_Q3076441,James S. Albus,engineer,2 Engineering and technology,2.x Engineering and technologies,direct,false
cv_Q53844925,José Luis Juárez Villarín,teacher,5 Social sciences,5.3 Education,occupation-proxy,false
cv_Q1354374,Erika Greber,professor,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q6213800,Joel Olson,political_scientist,5 Social sciences,5.6 Political science,direct,false
cv_Q7329866,Richard Webster (British author),historian,6 Humanities and the arts,6.1 History and archaeology,direct,false
cv_Q14666387,John Wishart (surgeon),surgeon,3 Medical and health sciences,3.2 Clinical medicine,direct,false
cv_Q1795953,Otto Siebert,theologian,6 Humanities and the arts,"6.3 Philosophy, ethics and religion",direct,false
cv_Q7659879,Sydney Copeman,physician,3 Medical and health sciences,3.2 Clinical medicine,direct,false
cv_Q72927,Ottomar Rosenbach,physician,3 Medical and health sciences,3.2 Clinical medicine,direct,false
cv_Q20031320,Fred Casey,education,5 Social sciences,5.3 Education,direct,false
cv_Q19287605,Karl Erich Hupka,physicist,1 Natural sciences,1.3 Physical sciences,direct,false
cv_Q124897,Anton Moortgat,anthropologist,5 Social sciences,5.9 Other social sciences,broad,false
cv_Q338095,Carl Emil Pettersson,sailor,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q20242849,Willy Oelsen,academic,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q1038195,Carl Föhl,economist,5 Social sciences,5.2 Economics and business,direct,false
cv_Q108514,Menachem Pinkhof,teacher,5 Social sciences,5.3 Education,occupation-proxy,false
cv_Q60859,Fritz Strassmann,chemist,1 Natural sciences,1.4 Chemical sciences,direct,false
cv_Q40700285,Paul J. Torpey,engineer,2 Engineering and technology,2.x Engineering and technologies,direct,false
cv_Q1459755,Friedrich Hoeth,academic,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q1621300,Konrad Oberhuber,art_historian,6 Humanities and the arts,6.4 Arts/history of arts,direct,false
cv_Q722933,Petro Balabuyev,academic,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q43568051,Michael J. Wargo,scientist,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q15488589,Ulrike Toellner-Bauer,academic,unclassified,unclassified,generic_or_ambiguous_source_occupation,false
cv_Q7804355,Tim Stryker,engineer,2 Engineering and technology,2.x Engineering and technologies,direct,false
cv_Q1839062,Torkel Franzén,mathematician,1 Natural sciences,1.1 Mathematics,direct,false
cv_Q39143467,Emily Jean Crimson Thatcher,teacher,5 Social sciences,5.3 Education,occupation-proxy,false
cv_Q1580139,Hans Held (Mediziner),physician,3 Medical and health sciences,3.2 Clinical medicine,direct,false
cv_Q15314881,Charles Georges-Picot,economist,5 Social sciences,5.2 Economics and business,direct,false
