person_id,canonical_name,birth_year,death_year,second_review_status,second_review_openalex_ids,second_reviewer,mh_blinded_at_second_review,second_review_date,notes
cv_Q400678,Ahmad Kasravi,1890,1946,,,,,,
cv_Q6240621,John I. Yellott,1908,1986,,,,,,
cv_Q24287044,Hilario Hernández Gurruchaga,1936,2010,,,,,,
cv_Q5932286,Dan Laksov,1940,2013,,,,,,
cv_Q1354374,Erika Greber,1952,2011,,,,,,
cv_Q6213800,Joel Olson,1967,2012,,,,,,
cv_Q1795953,Otto Siebert,1869,1963,,,,,,
cv_Q7659879,Sydney Copeman,1862,1947,,,,,,
cv_Q72927,Ottomar Rosenbach,1851,1907,,,,,,
cv_Q20031320,Fred Casey,1876,1956,,,,,,
cv_Q124897,Anton Moortgat,1897,1977,,,,,,
cv_Q1038195,Carl Föhl,1901,1973,,,,,,
cv_Q60859,Fritz Strassmann,1902,1980,,,,,,
cv_Q1839062,Torkel Franzén,1950,2006,,,,,,
cv_Q15994329,Cecil Joslin Brooks,1875,1953,,,,,,
cv_Q4937482,Bogdan Zakrzewski,1916,2011,,,,,,
cv_Q3596077,Francisco Tamayo,1902,1985,,,,,,
cv_Q1577507,Hans-Joachim Weimann,1932,2012,,,,,,
cv_Q2545268,Walter L. Bühl,1934,2007,,,,,,
cv_Q57447297,Thomas Aisu,1954,2018,,,,,,
cv_Q6947701,Itzhak Ilan,1956,2020,,,,,,
cv_Q23059458,Minoo Lenarz,1966,2015,,,,,,
cv_Q3052265,Émile Haumant,1859,1942,,,,,,
cv_Q19850025,Oskar Simony,1852,1915,,,,,,
cv_Q3385700,Pierre L. G. Benoit,1920,1995,,,,,,
cv_Q2641681,Alexander Aigner,1909,1988,,,,,,
cv_Q7416679,Sandra Leiblum,1943,2010,,,,,,
cv_Q104271,Michael Theunissen,1932,2015,,,,,,
cv_Q56329881,Armin Buschauer,1955,2017,,,,,,
cv_Q47216729,Alfonso W. Quiroz,1956,2013,,,,,,
cv_Q1912572,Max Gerlach,1861,1940,,,,,,
cv_Q108651,Valentin Haecker,1864,1927,,,,,,
cv_Q16945536,Algot Werin,1892,1975,,,,,,
cv_Q594723,Anton Tautscher,1906,1976,,,,,,
cv_Q118326,Ernst Rexer,1902,1983,,,,,,
cv_Q5294283,Donald E. Graves,1929,2008,,,,,,
cv_Q693932,Arnim Bechmann,1943,2014,,,,,,
cv_Q1393663,Peter Rice,1935,1992,,,,,,
cv_Q15440160,Hans Arnsperger,1872,1955,,,,,,
cv_Q95927,Robert Gaupp,1870,1953,,,,,,
