person_id,canonical_name,identity_status,openalex_work_id,publication_year,title,cited_by_count,primary_topic_name,source_author_ids,sample_reason,work_belongs_to_focal_person,review_reason,reviewer,mh_blinded_at_work_audit
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W72570283,1977,Analysis of Flows with Initially Unknown Discharge,31,Hydraulic flow and structures,A5000693352,accepted_author_fragment:A5000693352,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W4300100094,1970,Informationsverarbeitende Systeme in der Grundwasserhydraulik,0,Environmental Monitoring and Data Management,A5000693352,earliest,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W112241890,1987,Comparison of a quasistatic seismic strain range method with test and detailed transient analysis,0,Structural Health Monitoring Techniques,A5000693352,temporal_median,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W4213455224,1989,Probleme der pedologisch-hydrologischen Regionalforschung und ihre Umsetzung in die Praxis,0,Civil and Structural Engineering Research,A5000693352,latest,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W1970422204,1986,Strain estimation for external event loads,4,Structural Response to Dynamic Loads,A5000693352,high_citation,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W3195678057,1985,Strain Estimation for Low Cycle Dynamic Loads,1,Structural Health Monitoring Techniques,A5000693352,high_citation,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W173865517,1987,Qualification of LMFBR piping systems for external and internal extreme loads by strain assessments,0,Nuclear reactor physics and engineering,A5000693352,high_citation,,,,
cv_Q1729753,Karl-Franz Busch,VERIFIED_SINGLE,W4213452096,1989,Frontmatter,0,,A5000693352,high_citation,,,,
cv_Q1795953,Otto Siebert,VERIFIED_SINGLE,W2797950428,1904,Legends of the Dieri and Kindred Tribes of Central Australia,15,Pacific and Southeast Asian Studies,A5025360349,accepted_author_fragment:A5025360349,,,,
cv_Q1795953,Otto Siebert,VERIFIED_SINGLE,W634028921,1904,Der Mensch in seiner Beziehung auf ein göttliches Prinzip,1,"Religion, Theology, and Education",A5025360349,temporal_median,,,,
cv_Q1795953,Otto Siebert,VERIFIED_SINGLE,W1572626478,1907,Geschichte der Neueren Deustchen Philosophie seit Hegel: Ein Handbuch zur Einfuhrung in das Philosophische Studium der Neuesten Zeit.,2,"Nietzsche, Schopenhauer, and Hegel",A5025360349,latest,,,,
cv_Q19287605,Karl Erich Hupka,VERIFIED_SINGLE,W657211218,1909,Die träge Masse bewegter Elektronen,2,Physics and Engineering Research Articles,A5011432733,accepted_author_fragment:A5011432733,,,,
cv_Q40700285,Paul J. Torpey,VERIFIED_SINGLE,W2042827671,1965,Development of a Gas Turbine-Alternator System for Emergency Power Application,1,Electromagnetic Launch and Propulsion Technology,A5037300114,accepted_author_fragment:A5037300114,,,,
cv_Q40700285,Paul J. Torpey,VERIFIED_SINGLE,W2061541562,1969,Noise Control of Emergency Power Generating Equipment,0,Vehicle Noise and Vibration Control,A5037300114,temporal_median,,,,
cv_Q40700285,Paul J. Torpey,VERIFIED_SINGLE,W2065279668,1971,Performance Evaluation of a 2.1-MW Gas Turbine Generator Set Using Computerized Data Acquisition,0,Real-time simulation and control systems,A5037300114,latest,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W606389347,1955,Early Italian Engravings from the National Gallery of Art,22,Historical Art and Architecture Studies,A5058100809,accepted_author_fragment:A5058100809,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W565124937,1983,Raphael : die Zeichnungen,0,"Art, Aesthetics, and Perception",A5058100809,temporal_median,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W623946578,2002,Four Reflections on Time,0,History and Developments in Astronomy,A5058100809,latest,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W4394877130,1978,Le problème des premières œuvres de Verrocchio,9,Historical and Literary Analyses,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W402175330,1999,Raphael: The Paintings,5,Historical Art and Architecture Studies,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W2797654753,1962,"Vorzeichnungen zu Raffaels ""Transfiguration""",3,German Literature and Culture Studies,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W376742740,1978,The works of Marcantonio Raimondi and his school,3,Italian Fascism and Post-war Society,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W639813547,1982,Raphaels Transfiguration : Stil und Bedeutung,3,Historical and Religious Studies of Rome,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W597776709,1988,"Bologna e l'umanesimo, 1490-1510",3,Renaissance and Early Modern Studies,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W2068332509,1990,Poussin. The Early Years in Rome. The Origins of French Classicism,3,Historical Studies and Socio-cultural Analysis,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W39040226,1999,Roma e lo stile classico di Raffaello : 1515-1527,3,Renaissance Literature and Culture,A5058100809,high_citation,,,,
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,W655081434,1999,Raffaello : l'opera pittorica,2,Architecture and Art History Studies,A5058100809,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2072205001,1987,Dopant segregation during vertical Bridgman-Stockbarger growth with melt stabilization by strong axial magnetic fields,84,Solidification and crystal growth phenomena,A5054956965,accepted_author_fragment:A5054956965,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1559243436,1966,THE ROLE OF PREDICTION IN TRAINING WITH A SIMULATED ORBITAL DOCKING TASK.,2,Software Reliability and Analysis Research,A5054956965,earliest,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2093838161,1991,"New optical approaches to the quantitative characterization of crystal growth, segregation, and defect formation",0,Advanced Semiconductor Detectors and Materials,A5054956965,temporal_median,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2413358778,2015,Transforming Health Care Coalitions From Hospitals to Whole of Community: Lessons Learned From Two Large Health Care Organizations,9,Disaster Response and Management,A5054956965,latest,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W136084617,1977,Achievement Testing of Disadvantaged and Minority Students for Educational Program Evaluation.,52,Student Assessment and Feedback,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1981008814,1989,Dynamics of liquid-encapsulated czochralski growth of gallium arsenide: Comparing model with experiment,48,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2087456828,1988,Dynamics and control of the Czochralski process II. Objectives and control structure design,40,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1529138115,1967,"Human Operator Response Speed, Frequency, and Flexibility: A Review and Analysis",31,Human-Automation Interaction and Safety,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2056356261,1987,Advanced control design considerations for the Czochralski process,27,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W185652089,1967,Cross-Adaptive Operator Loading Tasks,26,Advanced Sensor Technologies Research,A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2730136196,1972,ESEA Title I: A Reanalysis and Synthesis of Evaluation Data from Fiscal Year 1965 Through 1970. Final Report.,25,"Research, Science, and Academia",A5054956965,high_citation,,,,
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W1986220479,2004,Research on macro- and microsegregation in semiconductor crystals grown from the melt under the direction of August F. Witt at the Massachusetts Institute of Technology,17,Solidification and crystal growth phenomena,A5054956965,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4253131970,2005,Gödel's Theorem,78,"Computability, Logic, AI Algorithms",A5036562220,accepted_author_fragment:A5036562220,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2006339381,1987,Algorithmic aspects of intuitionistic propositional logic II,7,"Logic, Reasoning, and Knowledge",A5036562220,earliest,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2886572672,2004,Inexhaustibility: A Non-Exhaustive Treatment: Lecture Notes in Logic 16,1,Wittgensteinian philosophy and applications,A5036562220,temporal_median,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W165205388,2008,REVIEWS-Inexhaustibility: A non-exhaustive treatment and a survey on transfinite progressions,0,Mathematical and Theoretical Analysis,A5036562220,latest,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1981368022,1992,An Intuitionistic Predicate Logic Theorem Prover,43,"Logic, programming, and type systems",A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1977614750,2004,Transfinite Progressions: A Second Look at Completeness,29,Philosophy and Theoretical Science,A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4250417020,2004,Inexhaustibility: A Non-Exhaustive Treatment,22,Philosophy and Theoretical Science,A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2889539354,2005,Gödel's theorem,19,Mathematics and Applications,A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4248635996,2005,Gödel's Theorem,9,"Computability, Logic, AI Algorithms",A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W4235898311,2004,Inexhaustibility: A Non-Exhaustive Treatment,8,Philosophy and Theoretical Science,A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W1534223153,2005,An overview of the Andorra Kernel Language,8,Spanish Linguistics and Language Studies,A5036562220,high_citation,,,,
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W2802573461,2006,The popular impact of Gödel's incompleteness theorem,5,Advanced Algebra and Logic,A5036562220,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2331690394,1943,On Alexander's Route into Gedrosia: An Archaeological Tour in Las Bela,104,Ancient Near East History,A5052982479,accepted_author_fragment:A5052982479,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2888024989,1900,Aurél Stein's letter to Ignaz Goldziher,0,Hermeneutics and Narrative Identity,A5052982479,earliest,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W602868353,1929,"Clara Rhodos. Studi e Materiali pubblicati a cura dell' Istituto Storico-Archeologico di Rodi. Vol. IZur relativen Chronologie der Parallelbiographien PlutarchsThe Rhesus of EuripidesThe Negro in Greek and Roman CivilisationPlaton: Verteidungsrede des Sokrates, KritonDe Athenaei Deipnosophistarum epitomae codicibus Erbacensi, Laurentiano, ParisinoChoricii Gazaei OperaHésiode: Théogonie; Les Travaux et les Jours; Le BouclierAnthologie grecque. Première Partie. Anthologie PalatineIsocrate. Tome I",0,Ancient Mediterranean Archaeology and History,A5052982479,temporal_median,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2098574360,1944,Archæological Notes form the Hindukush Region,31,Indian and Buddhist Studies,A5052982479,latest,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W1533946681,1922,Serindia: Detailed Report of Explorations in Central Asia and Westernmost China,87,Eurasian Exchange Networks,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2315949734,1942,Notes on Alexander's Crossing of the Tigris and the Battle of Arbela,72,Ancient Near East History,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2319209356,1942,"A Survey of Ancient Sites along the ""Lost"" Sarasvati River",72,South Asian Studies and Conflicts,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2323399929,1932,The Site of Alexander's Passage of the Hydaspes and the Battle with Poros,70,South Asian Studies and Conflicts,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2327424021,1938,An Archaeological Journey in Western Iran,61,Eurasian Exchange Networks,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2167362693,1937,Archaeological Reconnaissances in North-Western India and South-Eastern Iran,49,Eurasian Exchange Networks,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W592163646,1940,Old routes of Western Īrān,48,Eurasian Exchange Networks,A5052982479,high_citation,,,,
cv_Q313061,Aurel Stein,VERIFIED_SINGLE,W2316387292,1935,An Archaeological Tour in the Ancient Persis,44,Islamic Studies and History,A5052982479,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W566717107,1975,"Literatura krajowa w okresie romantyzmu, 1831-1863",8,Central European Literary Studies,A5111381182,accepted_author_fragment:A5111381182,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W1008367486,1947,"""Ignacy Chrzanowski na studiach we Wrocławiu"", Władysław Czapliński, Wrocław 1946, s. 26; ""Władysław Nehring w ostatnich latach życia"", Wiktor Hahn, Wrocław 1947, Archiwum Przeszłości Instytutu Historii Literatury Polskiej Uniwersytetu Wrocławskiego, 1, 2, s. 23 : [recenzja] / Bogdan Zakrzewski.",0,Polish Historical and Cultural Studies,A5111381182,earliest,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W783722712,1966,Sienkiewicz dla maluczkich / Bogdan Zakrzewski.,0,Language and Culture,A5111381182,temporal_median,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W3207717167,1998,"Arcygrafoman kontra arcypoeta, czyli ks. Wincenty Kraiński wobec Adama Mickiewicza",1,Language and Culture,A5111381182,latest,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W1226891452,1965,"""Sądy współczesnych o twórczości Słowackiego (1826-1862)"", zebrali i opracowali Bogdan Zakrzewski, Kazimierz Pecold i Artur Ciemnoczołowski, Wrocław-Warszawa-Kraków 1963, Zakład Narodowy imienia Ossolińskich - Wydawnictwo, s. 652 + 10 wklejek ilustr. : [recenzja] / Jarmil Pelikán.",3,Polish Historical and Cultural Studies,A5111381182,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W2993178794,1977,"""Fredro w paradyzu. Studia i szkice"", Bogdan Zakrzewski, Wrocław-Warszawa-Kraków-Gdańsk 1976, Zakład Narodowy imienia Ossolińskich - Wydawnictwo, ss. 264 : [recenzja] / Konrad Górski.",3,Polish Historical and Cultural Studies,A5111381182,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W889186136,1958,"""Pisma"", Edward Dembowski, redakcja: Anna Śladkowska, Maria Żmigrodzka, Warszawa 1955, Państwowe Wydawnictwo Naukowe, Polska Akademia Nauk - Komitet Filozoficzny oraz Instytut Badań Literackich, Biblioteka Klasyków Filozofii - Pisarze Polscy : [recenzja] / Bogdan Zakrzewski.",1,Polish Historical and Cultural Studies,A5111381182,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W200647409,1947,Józef Przyborowski na studiach we Wrocławiu / Bogdan Zakrzewski.,0,Polish Historical and Cultural Studies,A5111381182,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W848243940,1950,"""The Congress of Bolimof"" / Bagdan Zakrzewski.",0,Eastern European Communism and Reforms,A5111381182,high_citation,,,,
cv_Q4937482,Bogdan Zakrzewski,VERIFIED_SINGLE,W928978806,1953,"""Pamiętniki i wizerunki"", Henryk Kamieński, z rękopisów przygotowała do druku i przypisami opatrzyła Irmina Śliwińska, wstęp opracował Witold Kula, okładkę projektował Stanisław Kobielski, Wrocław 1951, Wydawnictwo Zakładu Narodowego im. Ossolińskich, s. LVI, XX, 323, 1 nlb., w tekście 2 ryciny : [recenzja] / Bogdan Zakrzewski.",0,Polish Historical and Cultural Studies,A5111381182,high_citation,,,,
