person_id,canonical_name,identity_status,openalex_work_id,publication_year,title,cited_by_count,primary_topic_name,source_author_ids,sample_reason,work_belongs_to_focal_person,review_reason,reviewer,mh_blinded_at_work_audit
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,W2418693876,1996,[Continuing education in intensive care and anesthesia. Work satisfaction and patient-centered care are guaranteed].,0,Medical Practices and Rehabilitation,A5081671680,accepted_author_fragment:A5081671680,true,"Deterministic audit covers all 5 plausible works. All five are chronology- and field-concordant intensive-care nursing/quality-control outputs; no sampled namesake, container, or posthumous contamination.",ARIS4C 000 pre-exposure evidence review,true
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,W2407391833,2002,[Risks and benefits. Performance assessment in intensive care].,0,"Cardiac, Anesthesia and Surgical Outcomes",A5081671680,temporal_median,true,"Deterministic audit covers all 5 plausible works. All five are chronology- and field-concordant intensive-care nursing/quality-control outputs; no sampled namesake, container, or posthumous contamination.",ARIS4C 000 pre-exposure evidence review,true
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,W2438660580,2005,"[From national standard to internal ""decubitus ulcer"" guideline--1: Algorithms promote transparency].",0,Pressure Ulcer Prevention and Management,A5081671680,latest,true,"Deterministic audit covers all 5 plausible works. All five are chronology- and field-concordant intensive-care nursing/quality-control outputs; no sampled namesake, container, or posthumous contamination.",ARIS4C 000 pre-exposure evidence review,true
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,W2467343362,1998,[Strategies for the application of quality control in intensive care nursing].,0,Medical Practices and Rehabilitation,A5081671680,high_citation,true,"Deterministic audit covers all 5 plausible works. All five are chronology- and field-concordant intensive-care nursing/quality-control outputs; no sampled namesake, container, or posthumous contamination.",ARIS4C 000 pre-exposure evidence review,true
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,W2417607587,2005,"[From national prevention standard to internal ""decubitus ulcer"" guideline--2: Standardizing wounds and still treating them individually].",0,Diagnosis and Treatment of Venous Diseases,A5081671680,high_citation,true,"Deterministic audit covers all 5 plausible works. All five are chronology- and field-concordant intensive-care nursing/quality-control outputs; no sampled namesake, container, or posthumous contamination.",ARIS4C 000 pre-exposure evidence review,true
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W264198133,1970,Regulation oder Mobilisation? Zur soziologischen Strategie der Schulreform (Regulation or Mobilisation? On the Sociological Strategy of School Reform).,0,Sociology and Education Studies,A5032249959,accepted_author_fragment:A5032249959,true,Deterministic 12-work audit covers all four accepted Author-ID fragment anchors plus temporal/high-citation works. All sampled titles are internally concordant sociology/social-systems/modernization/knowledge-sociology outputs; no sampled contamination found.,ARIS4C 000 pre-exposure evidence review,true
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W645350768,1990,"Sozialer Wandel im Ungleichgewicht : Zyklen, Fluktuationen, Katastrophen",44,Sociology and Education Studies,A5065115676,accepted_author_fragment:A5065115676,true,Deterministic 12-work audit covers all four accepted Author-ID fragment anchors plus temporal/high-citation works. All sampled titles are internally concordant sociology/social-systems/modernization/knowledge-sociology outputs; no sampled contamination found.,ARIS4C 000 pre-exposure evidence review,true
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W2479722403,1986,Kultur als System,18,Sociology and Education Studies,A5068802409,accepted_author_fragment:A5068802409,true,Deterministic 12-work audit covers all four accepted Author-ID fragment anchors plus temporal/high-citation works. All sampled titles are internally concordant sociology/social-systems/modernization/knowledge-sociology outputs; no sampled contamination found.,ARIS4C 000 pre-exposure evidence review,true
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W583349071,1984,Die Ordnung des Wissens,33,Kantian Philosophy and Modern Interpretations,A5117551307,accepted_author_fragment:A5117551307,true,Deterministic 12-work audit covers all four accepted Author-ID fragment anchors plus temporal/high-citation works. All sampled titles are internally concordant sociology/social-systems/modernization/knowledge-sociology outputs; no sampled contamination found.,ARIS4C 000 pre-exposure evidence review,true
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,W2115020326,1968,Konvention als System Zur Theorie der Modernisierung,0,"Weber, Simmel, Sociological Theory",A5065115676,earliest,true,Deterministic 12-work audit covers all four accepted Author-ID fragment anchors plus temporal/high-citation works. All sampled titles are internally concordant sociology/social-systems/modernization/knowledge-sociology outputs; no sampled contamination found.,ARIS4C 000 pre-exposure evidence review,true
