person_id,canonical_name,identity_status,accepted_author_ids_n,raw_work_records_n,unique_work_records_n,duplicate_records_removed_n,plausible_unique_works_n,outside_window_unique_works_n,undated_unique_works_n,manual_work_review_required,mechanical_min_works_met,network_observable_before_work_audit,auto_release_after_mechanical_cleaning
cv_Q1038195,Carl Föhl,VERIFIED_SINGLE,1,5,5,0,5,0,0,false,true,true,false
cv_Q15488589,Ulrike Toellner-Bauer,VERIFIED_SINGLE,1,5,5,0,5,0,0,true,true,false,false
cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,1,38,38,0,19,19,0,true,true,false,false
cv_Q2545268,Walter L. Bühl,VERIFIED_CLUSTER,4,38,38,0,36,2,0,true,true,false,false
cv_Q40700285,Paul J. Torpey,VERIFIED_SINGLE,1,3,3,0,3,0,0,true,false,false,false
cv_Q5712976,Folke Engström,VERIFIED_SINGLE,1,14,14,0,14,0,0,true,true,false,false
cv_Q72927,Ottomar Rosenbach,VERIFIED_CLUSTER,2,54,54,0,52,2,0,false,true,true,false
cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,2,75,74,1,74,0,0,true,true,false,false
cv_Q1621300,Konrad Oberhuber,VERIFIED_SINGLE,1,28,28,0,27,1,0,true,true,false,false
cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,1,172,172,0,169,3,0,true,true,false,false
cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,7,99,99,0,84,15,0,true,true,false,false
cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,1,48,48,0,47,1,0,true,true,false,false
cv_Q57447297,Thomas Aisu,VERIFIED_SINGLE,1,4,4,0,4,0,0,true,false,false,false
cv_Q7416679,Sandra Leiblum,VERIFIED_CLUSTER,2,163,162,1,160,2,0,true,true,false,false
cv_Q108651,Valentin Haecker,VERIFIED_SINGLE,1,46,46,0,45,1,0,true,true,false,false
cv_Q1679356,Jakob Sket,VERIFIED_SINGLE,1,1,1,0,0,1,0,true,false,false,false
cv_Q18822352,Vikram Marwah,VERIFIED_SINGLE,1,3,3,0,3,0,0,true,false,false,false
