review_rank,person_id,canonical_name,identity_status,openalex_work_id,publication_year,title,cited_by_count,primary_topic_name,source_author_ids,sample_reason,work_belongs_to_focal_person,review_reason,reviewer,mh_blinded_at_work_audit,review_priority_score,review_priority_tier,priority_signals,machine_verdict,auto_release_allowed,auto_exclusion_allowed
1,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W4246024144,1974,Frontmatter,0,,A5104375058,accepted_author_fragment:A5104375058,,,,,14,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;container_like_title;fragment_anchor,NONE,false,false
2,cv_Q2641681,Alexander Aigner,VERIFIED_CLUSTER,W2274908839,1991,"Maximal Performance, Heart Rate and Arterial Lactate Concentration in Tetra- and Paraplegics",3,Spinal Cord Injury Research,A5035950863,latest,,,,,13,P1,identity_note_risk:excluded|fragment|mixed|namesake;verified_cluster;posthumous_year:+3;lexical_topic_outlier_review_only,NONE,false,false
3,cv_Q594723,Anton Tautscher,VERIFIED_CLUSTER,W2027133397,1978,Wirtschaftsgeschichte Osterreichs auf der Grundlage abendlandischer Kulturgeschichte.,1,Historical and Archaeological Studies,A5028266044,latest,,,,,13,P1,identity_note_risk:fragment;verified_cluster;posthumous_year:+2;lexical_topic_outlier_review_only,NONE,false,false
4,cv_Q104271,Michael Theunissen,VERIFIED_CLUSTER,W588029440,2020,Kierkegaard's Concept of Despair,9,Kierkegaardian Philosophy and Influence,A5067845805,latest,,,,,12,P1,identity_note_risk:excluded|fragment|namesake;verified_cluster;posthumous_year:+5,NONE,false,false
5,cv_Q95927,Robert Gaupp,VERIFIED_CLUSTER,W2025398288,1954,Die histologischen Befunde und bisherigen Erfahrungen über die Zwischenhirnsekretion des Menschen,24,Medical and Health Sciences Research,A5110908379,latest,,,,,12,P1,identity_note_risk:fragment;verified_cluster;posthumous_year:+1,NONE,false,false
6,cv_Q43568051,Michael J. Wargo,VERIFIED_SINGLE,W2413358778,2015,Transforming Health Care Coalitions From Hospitals to Whole of Community: Lessons Learned From Two Large Health Care Organizations,9,Disaster Response and Management,A5054956965,latest,,,,,11,P1,identity_note_risk:contamination|mixed|namesake;posthumous_year:+2;lexical_topic_outlier_review_only,NONE,false,false
7,cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,W3116754916,1943,The Persistence of the Westward Movement and Other Essays,2,Canadian Identity and History,A5027199373,high_citation,,,,,11,P1,identity_note_risk:namesake;posthumous_year:+4;lexical_topic_outlier_review_only,NONE,false,false
8,cv_Q6225153,John Carl Parish,VERIFIED_SINGLE,W2320968106,1944,The Persistence of the Westward Movement and Other Essays.,4,Australian History and Society,A5027199373,latest,,,,,11,P1,identity_note_risk:namesake;posthumous_year:+5;lexical_topic_outlier_review_only,NONE,false,false
9,cv_Q1839062,Torkel Franzén,VERIFIED_SINGLE,W165205388,2008,REVIEWS-Inexhaustibility: A non-exhaustive treatment and a survey on transfinite progressions,0,Mathematical and Theoretical Analysis,A5036562220,latest,,,,,10,P1,identity_note_risk:posthumous;posthumous_year:+2,NONE,false,false
10,cv_Q18738873,Robert R. Squires,VERIFIED_SINGLE,W2011415205,2002,Absolute Heat of Formation and Singlet−Triplet Splitting for HCCN,35,Advanced Chemical Physics Studies,A5050147955,latest,,,,,10,P1,identity_note_risk:excluded|fragment|namesake;posthumous_year:+4,NONE,false,false
