group_variable,group_value,candidate_n,verified_n,verified_rate,network_observable_n,network_observable_rate,no_graph_n,no_graph_rate,collision_n,identity_error_n,provisional_n
birth_cohort,1875_1899,20,6,0.300000,1,0.050000,12,0.600000,1,1,0
birth_cohort,1900_1924,20,11,0.550000,7,0.350000,7,0.350000,2,0,0
birth_cohort,1925_1949,20,14,0.700000,9,0.450000,3,0.150000,2,1,0
birth_cohort,1950plus,20,10,0.500000,5,0.250000,9,0.450000,1,0,0
birth_cohort,pre1875,20,11,0.550000,3,0.150000,7,0.350000,2,0,0
ford_broad_field,1 Natural sciences,27,15,0.555556,8,0.296296,8,0.296296,4,0,0
ford_broad_field,2 Engineering and technology,7,2,0.285714,1,0.142857,3,0.428571,2,0,0
ford_broad_field,3 Medical and health sciences,13,6,0.461538,1,0.076923,6,0.461538,1,0,0
ford_broad_field,5 Social sciences,20,9,0.450000,7,0.350000,10,0.500000,0,1,0
ford_broad_field,6 Humanities and the arts,16,10,0.625000,2,0.125000,6,0.375000,0,0,0
ford_broad_field,unclassified,17,10,0.588235,6,0.352941,5,0.294118,1,1,0
gender,Female,11,7,0.636364,5,0.454545,4,0.363636,0,0,0
gender,Male,89,45,0.505618,20,0.224719,34,0.382022,8,2,0
level2_main_occ,Academia,92,50,0.543478,24,0.260870,34,0.369565,6,2,0
level2_main_occ,Explorer/Inventor/Developer,8,2,0.250000,1,0.125000,4,0.500000,2,0,0
level3_main_occ,academic,8,6,0.750000,4,0.500000,2,0.250000,0,0,0
level3_main_occ,altphilologe,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,anthropologist,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,archaeologist,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,art_historian,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,astronomer,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,biologist,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,botanist,4,0,0.000000,0,0.000000,2,0.500000,2,0,0
level3_main_occ,chemist,4,2,0.500000,1,0.250000,1,0.250000,1,0,0
level3_main_occ,computer_scientist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,dermatologist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,economist,6,3,0.500000,2,0.333333,3,0.500000,0,0,0
level3_main_occ,education,3,1,0.333333,0,0.000000,1,0.333333,0,1,0
level3_main_occ,engineer,6,2,0.333333,1,0.166667,2,0.333333,2,0,0
level3_main_occ,geologist,3,2,0.666667,1,0.333333,1,0.333333,0,0,0
level3_main_occ,historian,5,4,0.800000,1,0.200000,1,0.200000,0,0,0
level3_main_occ,intelligence,1,0,0.000000,0,0.000000,0,0.000000,0,1,0
level3_main_occ,internist,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,inventor,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,lexicographer,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,linguist,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,mathematician,6,5,0.833333,3,0.500000,1,0.166667,0,0,0
level3_main_occ,nurse,2,0,0.000000,0,0.000000,2,1.000000,0,0,0
level3_main_occ,orientalist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,palaeontologist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,pharmacist,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,philologist,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,philosopher,2,1,0.500000,0,0.000000,1,0.500000,0,0,0
level3_main_occ,physician,5,2,0.400000,1,0.200000,2,0.400000,1,0,0
level3_main_occ,physicist,2,2,1.000000,1,0.500000,0,0.000000,0,0,0
level3_main_occ,physics,1,0,0.000000,0,0.000000,0,0.000000,1,0,0
level3_main_occ,political_scientist,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,profesor,1,1,1.000000,1,1.000000,0,0.000000,0,0,0
level3_main_occ,professor,3,2,0.666667,1,0.333333,1,0.333333,0,0,0
level3_main_occ,psychiatrist,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,psychologist,2,1,0.500000,1,0.500000,1,0.500000,0,0,0
level3_main_occ,research,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,sailor,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,scientist,2,1,0.500000,0,0.000000,0,0.000000,1,0,0
level3_main_occ,seismologist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,sinologist,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,sociologist,2,2,1.000000,2,1.000000,0,0.000000,0,0,0
level3_main_occ,sociologue,1,0,0.000000,0,0.000000,1,1.000000,0,0,0
level3_main_occ,surgeon,2,1,0.500000,0,0.000000,1,0.500000,0,0,0
level3_main_occ,teacher,4,0,0.000000,0,0.000000,4,1.000000,0,0,0
level3_main_occ,theologian,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
level3_main_occ,zoologist,2,2,1.000000,0,0.000000,0,0.000000,0,0,0
pilot_stratum,1875_1899|v_q1,5,0,0.000000,0,0.000000,3,0.600000,1,1,0
pilot_stratum,1875_1899|v_q2,5,3,0.600000,0,0.000000,2,0.400000,0,0,0
pilot_stratum,1875_1899|v_q3,5,1,0.200000,1,0.200000,4,0.800000,0,0,0
pilot_stratum,1875_1899|v_q4,5,2,0.400000,0,0.000000,3,0.600000,0,0,0
pilot_stratum,1900_1924|v_q1,5,2,0.400000,2,0.400000,3,0.600000,0,0,0
pilot_stratum,1900_1924|v_q2,5,4,0.800000,2,0.400000,1,0.200000,0,0,0
pilot_stratum,1900_1924|v_q3,5,3,0.600000,1,0.200000,1,0.200000,1,0,0
pilot_stratum,1900_1924|v_q4,5,2,0.400000,2,0.400000,2,0.400000,1,0,0
pilot_stratum,1925_1949|v_q1,5,2,0.400000,1,0.200000,2,0.400000,0,1,0
pilot_stratum,1925_1949|v_q2,5,4,0.800000,2,0.400000,0,0.000000,1,0,0
pilot_stratum,1925_1949|v_q3,5,5,1.000000,4,0.800000,0,0.000000,0,0,0
pilot_stratum,1925_1949|v_q4,5,3,0.600000,2,0.400000,1,0.200000,1,0,0
pilot_stratum,1950plus|v_q1,5,4,0.800000,0,0.000000,1,0.200000,0,0,0
pilot_stratum,1950plus|v_q2,5,3,0.600000,3,0.600000,2,0.400000,0,0,0
pilot_stratum,1950plus|v_q3,5,1,0.200000,1,0.200000,3,0.600000,1,0,0
pilot_stratum,1950plus|v_q4,5,2,0.400000,1,0.200000,3,0.600000,0,0,0
pilot_stratum,pre1875|v_q1,5,1,0.200000,1,0.200000,4,0.800000,0,0,0
pilot_stratum,pre1875|v_q2,5,3,0.600000,1,0.200000,1,0.200000,1,0,0
pilot_stratum,pre1875|v_q3,5,3,0.600000,0,0.000000,1,0.200000,1,0,0
pilot_stratum,pre1875|v_q4,5,4,0.800000,1,0.200000,1,0.200000,0,0,0
region,<missing>,2,1,0.500000,1,0.500000,1,0.500000,0,0,0
region,Africa,1,1,1.000000,0,0.000000,0,0.000000,0,0,0
region,America,22,9,0.409091,5,0.227273,10,0.454545,2,1,0
region,Asia,7,3,0.428571,1,0.142857,3,0.428571,1,0,0
region,Europe,68,38,0.558824,18,0.264706,24,0.352941,5,1,0
