person_id,canonical_name,wikidata_qid,birth_year,death_year,gender,level1_main_occ,level2_main_occ,level3_main_occ,region,candidate_visibility,candidate_frame_group,pilot_stratum,candidate_frame_source,candidate_frame_record_id,orcid,openalex_author_id
cv_Q41981653,Ianthe Blyden,Q41981653,1899,1984,Female,Discovery/Science,Academia,nurse,America,14.445667,grA,1875_1899|v_q1,Laouenan2022_cross_verified,Q41981653,,
cv_Q5540597,George Higoumenakis,Q5540597,1895,1983,Male,Discovery/Science,Academia,dermatologist,Europe,17.074615,grA,1875_1899|v_q2,Laouenan2022_cross_verified,Q5540597,,
cv_Q109734,Philipp Schaeffer,Q109734,1894,1943,Male,Discovery/Science,Academia,sinologist,Europe,18.961605,grB,1875_1899|v_q3,Laouenan2022_cross_verified,Q109734,,
cv_Q400678,Ahmad Kasravi,Q400678,1890,1946,Male,Discovery/Science,Academia,linguist,Asia,29.036726,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q400678,,
cv_Q41907808,Hilda Bowen,Q41907808,1923,2002,Female,Discovery/Science,Academia,nurse,America,15.839122,grA,1900_1924|v_q1,Laouenan2022_cross_verified,Q41907808,,
cv_Q1729753,Karl-Franz Busch,Q1729753,1917,2003,Male,Discovery/Science,Academia,academic,Europe,17.232954,grB,1900_1924|v_q2,Laouenan2022_cross_verified,Q1729753,,
cv_Q6240621,John I. Yellott,Q6240621,1908,1986,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,19.798801,grA,1900_1924|v_q3,Laouenan2022_cross_verified,Q6240621,,
cv_Q510562,Mary Alice McWhinnie,Q510562,1922,1980,Female,Discovery/Science,Academia,biologist,America,21.217867,grA,1900_1924|v_q4,Laouenan2022_cross_verified,Q510562,,
cv_Q24287044,Hilario Hernández Gurruchaga,Q24287044,1936,2010,Male,Discovery/Science,Academia,profesor,America,15.042274,grB,1925_1949|v_q1,Laouenan2022_cross_verified,Q24287044,,
cv_Q47504806,Hannah Gavron,Q47504806,1936,1965,Female,Discovery/Science,Academia,sociologist,Asia,17.581598,grA,1925_1949|v_q2,Laouenan2022_cross_verified,Q47504806,,
cv_Q5932286,Dan Laksov,Q5932286,1940,2013,Male,Discovery/Science,Academia,mathematician,Europe,19.832544,grA,1925_1949|v_q3,Laouenan2022_cross_verified,Q5932286,,
cv_Q3076441,James S. Albus,Q3076441,1935,2011,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,24.093512,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q3076441,,
cv_Q53844925,José Luis Juárez Villarín,Q53844925,1955,2018,Male,Discovery/Science,Academia,teacher,Europe,14.388432,grB,1950plus|v_q1,Laouenan2022_cross_verified,Q53844925,,
cv_Q1354374,Erika Greber,Q1354374,1952,2011,Female,Discovery/Science,Academia,professor,Europe,17.663668,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q1354374,,
cv_Q6213800,Joel Olson,Q6213800,1967,2012,Male,Discovery/Science,Academia,political_scientist,America,19.325718,grA,1950plus|v_q3,Laouenan2022_cross_verified,Q6213800,,
cv_Q7329866,Richard Webster (British author),Q7329866,1950,2011,Male,Discovery/Science,Academia,historian,Europe,22.579571,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q7329866,,
cv_Q14666387,John Wishart (surgeon),Q14666387,1850,1926,Male,Discovery/Science,Academia,surgeon,America,14.583272,grA,pre1875|v_q1,Laouenan2022_cross_verified,Q14666387,,
cv_Q1795953,Otto Siebert,Q1795953,1869,1963,Male,Discovery/Science,Academia,theologian,Europe,16.928156,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q1795953,,
cv_Q7659879,Sydney Copeman,Q7659879,1862,1947,Male,Discovery/Science,Academia,physician,Europe,18.988749,grA,pre1875|v_q3,Laouenan2022_cross_verified,Q7659879,,
cv_Q72927,Ottomar Rosenbach,Q72927,1851,1907,Male,Discovery/Science,Academia,physician,Europe,21.169985,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q72927,,
cv_Q20031320,Fred Casey,Q20031320,1876,1956,Male,Discovery/Science,Academia,education,Europe,15.768433,grA,1875_1899|v_q1,Laouenan2022_cross_verified,Q20031320,,
cv_Q19287605,Karl Erich Hupka,Q19287605,1884,1919,Male,Discovery/Science,Academia,physicist,Europe,16.657818,grB,1875_1899|v_q2,Laouenan2022_cross_verified,Q19287605,,
cv_Q124897,Anton Moortgat,Q124897,1897,1977,Male,Discovery/Science,Academia,anthropologist,Europe,19.993412,grA,1875_1899|v_q3,Laouenan2022_cross_verified,Q124897,,
cv_Q338095,Carl Emil Pettersson,Q338095,1875,1937,Male,Discovery/Science,Explorer/Inventor/Developer,sailor,Europe,27.310764,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q338095,,
cv_Q20242849,Willy Oelsen,Q20242849,1905,1970,Male,Discovery/Science,Academia,academic,Europe,15.96824,grB,1900_1924|v_q1,Laouenan2022_cross_verified,Q20242849,,
cv_Q1038195,Carl Föhl,Q1038195,1901,1973,Male,Discovery/Science,Academia,economist,Europe,17.716169,grB,1900_1924|v_q2,Laouenan2022_cross_verified,Q1038195,,
cv_Q108514,Menachem Pinkhof,Q108514,1920,1969,Male,Discovery/Science,Academia,teacher,Europe,18.084604,grB,1900_1924|v_q3,Laouenan2022_cross_verified,Q108514,,
cv_Q60859,Fritz Strassmann,Q60859,1902,1980,Male,Discovery/Science,Academia,chemist,Europe,28.639008,grA,1900_1924|v_q4,Laouenan2022_cross_verified,Q60859,,
cv_Q40700285,Paul J. Torpey,Q40700285,1937,2019,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,15.486401,grA,1925_1949|v_q1,Laouenan2022_cross_verified,Q40700285,,
cv_Q1459755,Friedrich Hoeth,Q1459755,1931,1981,Male,Discovery/Science,Academia,academic,Europe,16.486326,grB,1925_1949|v_q2,Laouenan2022_cross_verified,Q1459755,,
cv_Q1621300,Konrad Oberhuber,Q1621300,1935,2007,Male,Discovery/Science,Academia,art_historian,Europe,20.176495,grB,1925_1949|v_q3,Laouenan2022_cross_verified,Q1621300,,
cv_Q722933,Petro Balabuyev,Q722933,1931,2007,Male,Discovery/Science,Academia,academic,Europe,22.626415,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q722933,,
cv_Q43568051,Michael J. Wargo,Q43568051,1951,2013,Male,Discovery/Science,Academia,scientist,America,13.425415,grB,1950plus|v_q1,Laouenan2022_cross_verified,Q43568051,,
cv_Q15488589,Ulrike Toellner-Bauer,Q15488589,1959,2012,Female,Discovery/Science,Academia,academic,Europe,16.726936,grB,1950plus|v_q2,Laouenan2022_cross_verified,Q15488589,,
cv_Q7804355,Tim Stryker,Q7804355,1954,1996,Male,Discovery/Science,Explorer/Inventor/Developer,engineer,America,18.949972,grA,1950plus|v_q3,Laouenan2022_cross_verified,Q7804355,,
cv_Q1839062,Torkel Franzén,Q1839062,1950,2006,Male,Discovery/Science,Academia,mathematician,Europe,21.349077,grA,1950plus|v_q4,Laouenan2022_cross_verified,Q1839062,,
cv_Q39143467,Emily Jean Crimson Thatcher,Q39143467,1868,1960,Female,Discovery/Science,Academia,teacher,,13.783558,grA,pre1875|v_q1,Laouenan2022_cross_verified,Q39143467,,
cv_Q1580139,Hans Held (Mediziner),Q1580139,1866,1942,Male,Discovery/Science,Academia,physician,Europe,17.977531,grB,pre1875|v_q2,Laouenan2022_cross_verified,Q1580139,,
cv_Q15314881,Charles Georges-Picot,Q15314881,1866,1930,Male,Discovery/Science,Academia,economist,Europe,18.754005,grB,pre1875|v_q3,Laouenan2022_cross_verified,Q15314881,,
cv_Q313061,Aurel Stein,Q313061,1862,1943,Male,Discovery/Science,Academia,archaeologist,Europe,29.137163,grA,pre1875|v_q4,Laouenan2022_cross_verified,Q313061,,
cv_Q15994329,Cecil Joslin Brooks,Q15994329,1875,1953,Male,Discovery/Science,Academia,botanist,Europe,15.95619,grA,1875_1899|v_q1,Laouenan2022_cross_verified,Q15994329,,
cv_Q7035840,Nikolai Kuehner,Q7035840,1877,1955,Male,Discovery/Science,Academia,orientalist,Asia,17.112642,grA,1875_1899|v_q2,Laouenan2022_cross_verified,Q7035840,,
cv_Q23063217,Friedrich Maria Illert,Q23063217,1892,1966,Male,Discovery/Science,Academia,sociologue,Europe,19.249729,grB,1875_1899|v_q3,Laouenan2022_cross_verified,Q23063217,,
cv_Q14592888,Carmelo Flores Laura,Q14592888,1890,2014,Male,Discovery/Science,Academia,research,America,20.645754,grA,1875_1899|v_q4,Laouenan2022_cross_verified,Q14592888,,
cv_Q30612687,James Alexander MacDonald (botanist),Q30612687,1908,1997,Male,Discovery/Science,Academia,botanist,Europe,14.761447,grA,1900_1924|v_q1,Laouenan2022_cross_verified,Q30612687,,
cv_Q7261837,Pushpa Ratna Sagar,Q7261837,1922,2011,Male,Discovery/Science,Academia,lexicographer,Asia,16.511858,grA,1900_1924|v_q2,Laouenan2022_cross_verified,Q7261837,,
cv_Q4937482,Bogdan Zakrzewski,Q4937482,1916,2011,Male,Discovery/Science,Academia,historian,Europe,18.74852,grA,1900_1924|v_q3,Laouenan2022_cross_verified,Q4937482,,
cv_Q3596077,Francisco Tamayo,Q3596077,1902,1985,Male,Discovery/Science,Academia,botanist,America,21.938244,grA,1900_1924|v_q4,Laouenan2022_cross_verified,Q3596077,,
cv_Q19964177,Friedrich Lorenz (Pädagoge),Q19964177,1925,2012,Male,Discovery/Science,Academia,academic,Europe,16.140985,grB,1925_1949|v_q1,Laouenan2022_cross_verified,Q19964177,,
cv_Q1577507,Hans-Joachim Weimann,Q1577507,1932,2012,Male,Discovery/Science,Academia,scientist,Europe,17.489462,grB,1925_1949|v_q2,Laouenan2022_cross_verified,Q1577507,,
cv_Q2545268,Walter L. Bühl,Q2545268,1934,2007,Male,Discovery/Science,Academia,sociologist,Europe,18.85088,grB,1925_1949|v_q3,Laouenan2022_cross_verified,Q2545268,,
cv_Q1737527,Kazimierz Urbanik,Q1737527,1930,2005,Male,Discovery/Science,Academia,mathematician,Europe,21.092173,grA,1925_1949|v_q4,Laouenan2022_cross_verified,Q1737527,,
cv_Q57447297,Thomas Aisu,Q57447297,1954,2018,Male,Discovery/Science,Academia,physician,Africa,15.14346,grA,1950plus|v_q1,Laouenan2022_cross_verified,Q57447297,,
