year,count,work_types,corpus
2000,2883224,article|review,core
2001,2838123,article|review,core
2002,3070591,article|review,core
2003,3352353,article|review,core
2004,3623243,article|review,core
2005,3870669,article|review,core
2006,4186057,article|review,core
2007,4445984,article|review,core
2008,4874603,article|review,core
2009,5160892,article|review,core
2010,5452082,article|review,core
2011,5753220,article|review,core
2012,5973987,article|review,core
2013,6257801,article|review,core
2014,6463306,article|review,core
2015,6555662,article|review,core
2016,6579400,article|review,core
2017,6237290,article|review,core
2018,6088993,article|review,core
2019,6330624,article|review,core
2020,6659531,article|review,core
2021,6155447,article|review,core
2022,5601937,article|review,core
2023,5764548,article|review,core
2024,6103861,article|review,core
2025,7150632,article|review,core
