initial,initial_rank,surname_count,population_n,population_share,population_ppm,compound_surname_population_n
a,1,12,2878287,0.00243567642966,2435.67642966,0
b,2,67,9348141,0.00791062416461,7910.62416461,0
c,3,104,85553439,0.0723973998594,72397.3998594,9
d,4,90,35218158,0.0298024614421,29802.4614421,1167
e,5,10,75494,6.38848580357e-05,63.8848580357,0
f,6,54,25418429,0.0215096925339,21509.6925339,0
g,7,76,41799694,0.0353719172004,35371.9172004,1450
h,8,96,76521203,0.0647541021853,64754.1021853,55349
i,9,0,0,0.0,0.0,0
j,10,134,31075276,0.0262966539815,26296.6539815,0
k,11,44,6348707,0.0053724301985,5372.4301985,0
l,12,118,224001885,0.189555840503,189555.840503,43817
m,13,86,30732268,0.0260063922735,26006.3922735,423
n,14,40,7019130,0.00593975843887,5939.75843887,1138
o,15,6,2074637,0.00175560826318,1755.60826318,807920
p,16,41,17656398,0.0149412732092,14941.2732092,304
q,17,84,19912951,0.0168508232139,16850.8232139,56
r,18,35,8485831,0.00718091648012,7180.91648012,0
s,19,126,56385505,0.0477147850451,47714.7850451,109697
t,20,62,28062456,0.0237471324568,23747.1324568,2
u,21,0,0,0.0,0.0,0
v,22,0,0,0.0,0.0,0
w,23,67,138390660,0.117109540726,117109.540726,176
x,24,122,59106538,0.0500173893172,50017.3893172,1460
y,25,191,91844031,0.0777206517321,77720.6517321,11270
z,26,141,183810656,0.155545045487,155545.045487,33150
