field_id,field_name,team_bucket,requested_works,eligible_multi_author_works,observed_alpha_rate_heuristic,expected_chance_rate,excess_alpha_rate_heuristic,mixed_international_share,parser,confirmatory_use_allowed
20,"Economics, Econometrics and Finance",all,300,294,0.1360544217687075,0.113742656483513,0.0251752671176896,0.5102040816326531,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
20,"Economics, Econometrics and Finance",2,300,32,0.46875,0.5,-0.0625,0.21875,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
20,"Economics, Econometrics and Finance",3+,300,262,0.0954198473282442,0.066565576860942,0.0309108335507862,0.5458015267175572,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
26,Mathematics,all,300,280,0.1321428571428571,0.1081145075454491,0.026941011650126,0.5107142857142857,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
26,Mathematics,2,300,29,0.5862068965517241,0.5517241379310345,0.0769230769230768,0.2068965517241379,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
26,Mathematics,3+,300,251,0.0796812749003984,0.0568606020218043,0.0241955653908453,0.545816733067729,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
14,"Business, Management and Accounting",all,300,290,0.1620689655172413,0.1382526347076368,0.0276372611708126,0.5344827586206896,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
14,"Business, Management and Accounting",2,300,46,0.4782608695652174,0.5217391304347826,-0.0909090909090909,0.1956521739130435,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
14,"Business, Management and Accounting",3+,300,244,0.1024590163934426,0.0659555370512968,0.0390800279851477,0.5983606557377049,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
32,Psychology,all,300,294,0.0748299319727891,0.1023036429382752,-0.0306052170412494,0.4625850340136054,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
32,Psychology,2,300,33,0.303030303030303,0.5,-0.3939393939393939,0.3939393939393939,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
32,Psychology,3+,300,261,0.0459770114942528,0.0520203913138932,-0.0063750199595294,0.4712643678160919,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
27,Medicine,all,300,297,0.0235690235690235,0.0270149489427599,-0.0035416295174959,0.5656565656565656,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
27,Medicine,2,300,8,0.5,0.5,0.0,0.25,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
27,Medicine,3+,300,289,0.0103806228373702,0.0139216382528078,-0.003591856858615,0.5743944636678201,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
22,Engineering,all,300,300,0.01,0.0142166932717255,-0.0042775123161685,0.53,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
22,Engineering,2,300,3,0.0,0.5,-1.0,0.0,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
22,Engineering,3+,300,297,0.0101010101010101,0.0093096920504013,0.0007987527291642,0.5353535353535354,HEURISTIC_ONLY_LAST_LATIN_TOKEN,False
