Species,pref model,Max Age,N(1),N(A10),A10,aJ,a0,b,A,Omegatilde
Castor canadensis,M2,22,79,6,18.2,0.19 (± 0.0323),0.06 (± 0.0178),0.09 (± 0.0306),2.38 (± 0.34),0 (± 0.48)
Myocastor coypus,M2,19,222,14,15.1,0.34 (± 0.0277),0.06 (± 0.0094),0.12 (± 0.0182),1.21 (± 0.0872),0 (± 0.12)
Cynomys ludovicianus,M2,15,357,11,11.2,0.11 (± 0.0101),0.22 (± 0.0301),0.08 (± 0.0331),3.36 (± 0.28),0 (± 0.4)
Oryctolagus cuniculus,M3,13,354,25,9.6,0 (± 0.0345),0.17 (± 0.0111),0.18 (± 0.0374),0 (± 0.0857),4.02 (± 0.75)
Erythrocebus patas,M2,30,187,19,22.6,0.3 (± 0.0292),0.05 (± 0.0071),0.06 (± 0.0119),1.21 (± 0.0952),0 (± 0.13)
Mandrillus sphinx,M4,36,292,23,28,0.2 (± 0.0216),0.02 (± 0.0029),0.08 (± 0.0071),1 (± 0.0777),0 (± 0.8)
Theropithecus gelada,M1,29,101,9,27.3,0.24 (± 0.0399),0.03 (± 0.006),0.14 (± 0.02),1.13 (± 0.12),9.07 (± 1.77)
Macaca mulatta,M1,33,159,11,27.5,0.24 (± 0.0219),0.04 (± 0.0057),0.12 (± 0.0199),0.87 (± 0.0565),10.08 (± 2.62)
Macaca fuscata,M2,35,271,19,29.7,0.12 (± 0.0194),0.02 (± 0.0027),0.09 (± 0.008),1.14 (± 0.11),0 (± 0.16)
Macaca fascicularis,M1,34,136,12,27.4,0.26 (± 0.035),0.04 (± 0.0066),0.1 (± 0.0173),1.02 (± 0.0933),10.41 (± 2.19)
Gorilla gorilla,M1,34,64,6,28,0.32 (± 0.0522),0.04 (± 0.0091),0.12 (± 0.0393),1.51 (± 0.22),13.44 (± 3.06)
Pan troglodytes,M1,47,178,18,37.2,0.22 (± 0.0295),0.05 (± 0.0049),0.12 (± 0.0695),1.34 (± 0.15),30 (± 4.51)
Pongo pygmaeus,M1,18,295,18,15.7,0.31 (± 0.0173),0.07 (± 0.0077),0.18 (± 0.0238),0.99 (± 0.0357),4.77 (± 0.99)
Varecia variegata,M4,35,95,13,28.7,0.33 (± 0.0418),0.02 (± 0.005),0.08 (± 0.0126),1 (± 0.0714),0 (± 1.15)
Tupaia glis,M2,12,195,9,9.5,0.39 (± 0.0287),0.12 (± 0.0201),0.18 (± 0.0388),1.18 (± 0.12),0 (± 0.17)
Addax nasomaculatus,M2,21,107,9,19.1,0.39 (± 0.0406),0.03 (± 0.007),0.13 (± 0.0209),1.23 (± 0.0932),0 (± 0.13)
Oryx dammah,M1,21,126,12,20.5,0.4 (± 0.0273),0.06 (± 0.0074),0.28 (± 0.0608),0.86 (± 0.0377),12.44 (± 1.12)
