Timepoint,Environment,PCD,Species,Statistics,Sex,Reference
Female Body growth rate (Peak) (sex selective),Captive Laboratory,147.6,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body growth rate (Peak) (sex selective),Captive Laboratory,140,Felis,2,Female,"Opsomer H, Liesegang A, Brugger D, Wichert B. Growth curves and body condition of young cats and their relation to maternal body condition. Animals. 2022 May 27;12(11):1373."
Female Body weight reaches 100% of stable value (sex selective),Captive client,750.671,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 100% of stable value (sex selective),Captive Laboratory,470.15,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 100% of stable value (sex selective),Captive Laboratory,354.8,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 100% of stable value (sex selective),Captive client,261.49,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female Body weight reaches 50% of stable value (sex selective),Captive client,164.711,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 50% of stable value (sex selective),Captive Laboratory,229.25,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 50% of stable value (sex selective),Captive Laboratory,219.8,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 50% of stable value (sex selective),Captive client,161.11,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female Body weight reaches 60% of stable value (sex selective),Captive client,281.903,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 60% of stable value (sex selective),Captive Laboratory,276.7,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 60% of stable value (sex selective),Captive Laboratory,186.2,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 60% of stable value (sex selective),Captive client,181.13,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female Body weight reaches 70% of stable value (sex selective),Captive client,399.095,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 70% of stable value (sex selective),Captive Laboratory,324.15,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 70% of stable value (sex selective),Captive Laboratory,253.7,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 70% of stable value (sex selective),Captive client,201.22,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female Body weight reaches 80% of stable value (sex selective),Captive client,516.287,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 80% of stable value (sex selective),Captive Laboratory,371.6,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 80% of stable value (sex selective),Captive Laboratory,287.3,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 80% of stable value (sex selective),Captive client,221.31,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female Body weight reaches 90% of stable value (sex selective),Captive client,633.479,Felis,2,Female,Auburn veterinary clinic
Female Body weight reaches 90% of stable value (sex selective),Captive Laboratory,422.7,Felis,2,Female,"Cave NJ, Bridges JP, Weidgraaf K, Thomas DG. Nonlinear mixed models of growth curves from domestic shorthair cats in a breeding colony, housed in a seasonal facility to predict obesity. Journal of animal physiology and animal nutrition. 2018 Oct;102(5):1390-400."
Female Body weight reaches 90% of stable value (sex selective),Captive Laboratory,321.2,Felis,2,Female,"NAKAI N, NAWA K, MAEKAWA M, NAGASAWA H. Age-related changes in hematological and serum biochemical values in cats. Experimental Animals. 1992 Jul 1;41(3):287-94."
Female Body weight reaches 90% of stable value (sex selective),Captive client,241.4,Felis,2,Female,Olovson SG. Diet and breeding performance in cats. Laboratory animals. 1986 Jul 1;20(3):221-30.
Female First reproduction (sex selective),Captive,359,Felis,2,Female,"Mellen JD. Reproductive behavior of small captive exotic cats (Felis spp.). University of California, Davis; 1989."
Weaning,Captive client,115,Felis,2,Male+Female,"Ng TT, Fascetti AJ, Larsen JA. Reproduction of domestic cats in laboratories, catteries, and feral colonies: A Review. Topics in companion animal medicine. 2023 Jul 1;55:100780."
Female Sexual maturity is reached (sex selective),Captive,335,Felis,2,Female,Johnson AK. Normal feline reproduction: The queen. J Feline Med Surg. 2022 Mar;24(3):204-211. doi: 10.1177/1098612X221079706. PMID: 35209768.;  https://journals.sagepub.com/doi/pdf/10.1177/1098612X221079706
Female Sexual maturity is reached (sex selective),Captive,354,Felis,2,Female,"https://genomics.senescence.info/species/dataset.zip; AnAge Build 15; de Magalhaes, J. P., Abidi, Z., Dos Santos, G. A., Avelar, R. A., Barardo, D., Chatsirisupachai, K., Clark, P., De-Souza, E. A., Johnson, E. J., Lopes, I., Novoa, G., Senez, L., Talay, A., Thornton, D., & To, P. K. P. (2024). Human Ageing Genomic Resources: updates on key databases in ageing research. Nucleic Acids Res, 52(D1), D900-D908."
Female Sexual maturity is reached (sex selective),Captive client,404,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
Female Sexual maturity is reached (sex selective),Captive client,404,Felis,2,Female,"Jemmett JE, Evans JM. A survey of sexual behaviour and reproduction ofFemale cats. Journal of Small Animal Practice. 1977 Jan;18(1):31-7."
