panel_species,source_canonical,evidence_scope,group_id,group_name,group_level,group_above,size_numeric,size_raw,size_evidence,size_date,size_source,lat,long
Loxodonta africana,Loxodonta africana,exact_species,700001,Amboseli elephant population,3,not searched,988,988,see source,1993,mccomb2000,-2.653,37.261
Orcinus orca,Orcinus orca,exact_species,700003,Avacha acoustic clan,2,Avacha Gulf resident killer whales,200,200,"""Avacha clan, consisting of more than 200 whales in at least 12 pods""",,,61.434,166.788
Pan troglodytes,Pan troglodytes verus,subspecies_nested,700004,Bossou chimpanzees,not searched,not searched,20,20,"""Group size at Bossou has been maintained at around 20 throughout the study period of 26 years"" (Sugiyama 2004)",2004,sugiyama2004,7.648,-8.505
Gorilla beringei,Gorilla beringei beringei,subspecies_nested,700005,Bwindi Kyagurilo gorilla group,not searched,not searched,15,15,ranged from 9 to 21 during study period 1998 to 2011,2005,robbins2016,-1,29.667
Pan troglodytes,Pan troglodytes,exact_species,700013,CWOT chimpanzees group 1,0,not searched,23,23,see source,2011,vanleeuwen2012,-12.364,27.469
Pan troglodytes,Pan troglodytes,exact_species,700014,CWOT chimpanzees group 2,0,not searched,40,40,see source,2011,vanleeuwen2012,-12.364,27.469
Pan troglodytes,Pan troglodytes troglodytes,subspecies_nested,700016,Ebo forest chimpanzees,not searched,not searched,,not searched,not searched,not searched,not searched,4.36,10.23
Corvus corax,Corvus corax,exact_species,700018,EE-WW East dialect ravens,not searched,not searched,46,46,46 known breeding pairs total in region,not searched,enggist2002,46.948,7.447
Corvus moneduloides,Corvus moneduloides,exact_species,700026,Grande Terre New Caledonian crows,not searched,New Caledonian crows,,not searched,not searched,not searched,not searched,-21.311,165.434
Physeter macrocephalus,Physeter macrocephalus,exact_species,700027,Gulf of Alaska sperm whales,not searched,not searched,,not searched,not searched,not searched,not searched,0,-144
Megaptera novaeangliae,Megaptera novaeangliae,exact_species,700028,Gulf of Maine humpback whales,not searched,not searched,,not searched,not searched,not searched,not searched,43.134,-68.327
Sapajus libidinosus,Sapajus libidinosus,exact_species,700037,Jurubeba group,not searched,not searched,52,52,,2005,mannu2009,-8.717,-42.602
Orcinus orca,Orcinus orca,exact_species,700038,K19 acoustic clan,2,Avacha Gulf resident killer whales,,not searched,not searched,not searched,not searched,61.434,166.788
Orcinus orca,Orcinus orca,exact_species,700039,K20 acoustic clan,2,Avacha Gulf resident killer whales,,not searched,not searched,not searched,not searched,61.434,166.788
Gorilla beringei,Gorilla beringei beringei,subspecies_nested,700040,Karisoke gorilla groups,1,not searched,,not searched,not searched,not searched,not searched,-1.833,29.5
