canonical_name,species_id,group_id,group_name,behavior_id,behavior,domains,vertical,horizontal,oblique,behavior_source,source_year,source_title,doi,methods
Apis mellifera,Apis_mellifera,700104,E1 honey bee colonies,119,E1 honey bee colonies waggle dance,foraging,unclear,unclear,yes,dong2023,2023,Social signal learning of the waggle dance in honey bees,10.1126/science.ade1702,"cross-generation, experimental for transmission of behavior"
Corvus corax,Corvus_corax,700096,TT-QQ West dialect ravens,108,TT-QQ West dialect ravens vocal dialect,vocal communication; foraging; social,suspected unknown,suspected unknown,suspected unknown,enggist2002,2002,"Cultural transmission of vocalizations in ravens, <i>Corvus corax</i>",10.1006/anbe.2002.2016,NA
Corvus corax,Corvus_corax,700018,EE-WW East dialect ravens,22,EE-WW East dialect ravens vocal dialect,vocal communication; foraging; social,suspected unknown,suspected unknown,suspected unknown,enggist2002,2002,"Cultural transmission of vocalizations in ravens, <i>Corvus corax</i>",10.1006/anbe.2002.2016,NA
Corvus moneduloides,Corvus_moneduloides,700026,Grande Terre New Caledonian crows,30,Grande Terre New Caledonian crows narrow-type Padanus tools,foraging,yes,suspected unknown,suspected unknown,huntgray2003,2003,Diversification and cumulative evolution in New Caledonian crow tool manufacture,10.1098/rspb.2002.2302,geographic variation
Corvus moneduloides,Corvus_moneduloides,700026,Grande Terre New Caledonian crows,31,Grande Terre New Caledonian crows stepped Padanus tools,foraging,yes,suspected unknown,suspected unknown,huntgray2003,2003,Diversification and cumulative evolution in New Caledonian crow tool manufacture,10.1098/rspb.2002.2302,geographic variation
Corvus moneduloides,Corvus_moneduloides,700026,Grande Terre New Caledonian crows,32,Grande Terre New Caledonian crows alarm calls,vocal communication; antipredation,suspected unknown,suspected unknown,suspected unknown,bluff2010,2010,Vocal culture in New Caledonian crows Corvus moneduloides.,10.1111/j.1095-8312.2010.01527.x,"geographic variation, learning in captive individual"
Corvus moneduloides,Corvus_moneduloides,700056,New Caledonian crows,62,New Caledonian crows wide-type Padanus tools,foraging,yes,no,possible,huntgray2003,2003,Diversification and cumulative evolution in New Caledonian crow tool manufacture,10.1098/rspb.2002.2302,geographic variation
Corvus moneduloides,Corvus_moneduloides,700056,New Caledonian crows,63,New Caledonian crows stick tools,foraging,suspected unknown,suspected unknown,suspected unknown,rutzstclair2012,2012,The evolutionary origins and ecological context of tool use in New Caledonian crows,10.1016/j.beproc.2011.11.005,NA
Loxodonta africana,Loxodonta_africana,700001,Amboseli elephant population,3,Amboseli elephant population elephant rumbles,vocal communication; social,suspected unknown,suspected unknown,suspected unknown,pardo2024,2024,Female African elephant rumbles differ between populations and sympatric social groups,10.1098/rsos.241264,geographic variation
Loxodonta africana,Loxodonta_africana,700081,Samburu elephant population,87,Samburu elephant population elephant rumbles,vocal communication; social,suspected unknown,suspected unknown,suspected unknown,pardo2024,2024,Female African elephant rumbles differ between populations and sympatric social groups,10.1098/rsos.241264,geographic variation
