taxon_id,pilot_label,evidence_scope,matched_species,n_observations,body mass_n,body mass_median,body mass_min,body mass_max,body mass_units,metabolic rate_n,metabolic rate_median,metabolic rate_min,metabolic rate_max,metabolic rate_units,brain size_n,brain size_median,brain size_min,brain size_max,brain size_units
HUM,Homo sapiens,exact_species,Homo sapiens,44,44,53.5,0,95,kg,44,0,0,0,,44,1.3050000000000002,1,1.57,kg
PTR,Pan troglodytes,exact_species,Pan troglodytes,4,4,50.34,25.85,60.43316,kg,4,0,0,0,,4,0.392655,0.325,0.44,kg
PON,Pongo spp.,genus_exemplar,Pongo pygmaeus,1,1,54.22904,54.22904,54.22904,kg,1,0,0,0,,1,0.34199,0.34199,0.34199,kg
GOR,Gorilla spp.,genus_exemplar,Gorilla gorilla,2,2,150.9875,120.975,181,kg,2,0,0,0,,2,0.227275,0,0.45455,kg
CAP,Sapajus spp.,genus_exemplar,Sapajus libidinosus,2,2,2.5825,2.52,2.645,kg,2,0,0,0,,2,0.0771,0.0577,0.0965,kg
MAR,Callitrichidae,family_exemplar,Saguinus oedipus,2,2,0.37,0.37,0.37,kg,2,0,0,0,,2,0.00945,0.0092,0.0097,kg
MAR,Callitrichidae,family_exemplar,Cebuella pygmaea,2,2,0.1145,0.096,0.133,kg,2,0.6677222222222226,0.522666666666667,0.812777777777778,W,2,0,0,0,
CME,Corvus moneduloides,exact_species,Corvus moneduloides,1,1,0.275,0.275,0.275,kg,1,0,0,0,,1,0.0063,0.0063,0.0063,kg
CRA,Corvus corax,exact_species,Corvus corax,1,1,0.866,0.866,0.866,kg,1,4.59869583333333,4.59869583333333,4.59869583333333,W,1,0,0,0,
MUN,Melopsittacus undulatus,exact_species,Melopsittacus undulatus,2,2,0.0325,0.026,0.039,kg,2,0.311111111111111,0,0.622222222222222,W,2,0.000777,0,0.001554,kg
AME,Apis mellifera,exact_species,Apis mellifera,27,27,0,0,0.000084,kg,27,0,0,0,,27,6.6304e-7,0,9.279224273732e-7,kg
CLI,Columba livia,exact_species,Columba livia,2,2,0.26449999999999996,0.247,0.282,kg,2,0,0,0,,2,0.0024895000000000004,0.002285,0.002694,kg
