queue_rank,scientific_name,module_id,module_bundle,cohort,pool_role,current_state,current_AF_observed,module_observed_79,priority_score,search_round,search_focus
1,Callithrix jacchus,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,17,100.00,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
2,Homo sapiens,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,17,100.00,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
3,Leontopithecus rosalia,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,17,100.00,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
4,Pongo abelii,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,17,100.00,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
5,Sapajus libidinosus,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,17,100.00,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
6,Callithrix jacchus,B,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,22,98.09,systematic_backfill,social learning / transmission / imitation / teaching / tradition
7,Homo sapiens,B,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,22,98.09,systematic_backfill,social learning / transmission / imitation / teaching / tradition
8,Leontopithecus rosalia,B,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,22,98.09,systematic_backfill,social learning / transmission / imitation / teaching / tradition
9,Pongo abelii,B,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,22,98.09,systematic_backfill,social learning / transmission / imitation / teaching / tradition
10,Sapajus libidinosus,B,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,22,98.09,systematic_backfill,social learning / transmission / imitation / teaching / tradition
11,Callithrix jacchus,A,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,21,97.19,systematic_backfill,innovation / transfer / reversal / planning / novel problem solving
12,Homo sapiens,A,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,21,97.19,systematic_backfill,innovation / transfer / reversal / planning / novel problem solving
13,Leontopithecus rosalia,A,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,21,97.19,systematic_backfill,innovation / transfer / reversal / planning / novel problem solving
14,Pongo abelii,A,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,21,97.19,systematic_backfill,innovation / transfer / reversal / planning / novel problem solving
15,Sapajus libidinosus,A,ABE_core,retained29_backfill,retained_pilot7,not_tested,0,21,97.19,systematic_backfill,innovation / transfer / reversal / planning / novel problem solving
16,Camponotus sericeiventris,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
17,Chelydra serpentina,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
18,Ctenophorus nuchalis,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
19,Dasyurus maculatus,E,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
20,Macropus antilopinus,E,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
21,Metazygia rogenhoferi,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
22,Natrix natrix,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
23,Platymantis vitiensis,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
24,Procyon cancrivorus,E,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
25,Tragelaphus eurycerus,E,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
26,Trichoniscus pusillus,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
27,Zosis geniculata,E,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,17,94.88,targeted_second_pass,persistent externalization / cache / nest / dam / web / modified site
28,Apis mellifera,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
29,Bombus terrestris,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
30,Gorilla beringei,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
31,Gorilla gorilla,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
32,Octopus vulgaris,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
33,Pongo pygmaeus,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
34,Suricata suricatta,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
35,Tursiops aduncus,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
36,Tursiops truncatus,E,ABE_core,retained29_backfill,retained_pilot7,not_tested,1,17,94.29,systematic_backfill,persistent externalization / cache / nest / dam / web / modified site
37,Camponotus sericeiventris,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
38,Chelydra serpentina,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
39,Ctenophorus nuchalis,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
40,Dasyurus maculatus,B,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
41,Macropus antilopinus,B,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
42,Metazygia rogenhoferi,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
43,Natrix natrix,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
44,Platymantis vitiensis,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
45,Procyon cancrivorus,B,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
46,Tragelaphus eurycerus,B,ABE_core,new50_targeted_second_pass,database_unrepresented_family_mass_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
47,Trichoniscus pusillus,B,ABE_core,new50_targeted_second_pass,data_rich_underrepresented_clade_calibration,not_located_first_pass,0,22,92.97,targeted_second_pass,social learning / transmission / imitation / teaching / tradition
