tier1_rank,scientific_name,pool_role,target_id,target_kind,already_seeded,primary_query,alternate_taxonomy_query,negative_evidence_query,search_status,screening_status
1,Aldabrachelys gigantea,theory_discriminating_candidate,A,module,yes,"""Aldabrachelys gigantea"" AND (""problem solving"" OR innovation OR ""behavioral flexibility"" OR ""behavioural flexibility"" OR ""reversal learning"" OR detour OR planning OR ""means-end"" OR causal)",,"""Aldabrachelys gigantea"" AND (""problem solving"" OR innovation OR ""behavioral flexibility"" OR ""behavioural flexibility"" OR ""reversal learning"" OR detour OR planning OR ""means-end"" OR causal) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,B,module,no,"""Aldabrachelys gigantea"" AND (""social learning"" OR imitation OR emulation OR teaching OR transmission OR tradition OR cultural)",,"""Aldabrachelys gigantea"" AND (""social learning"" OR imitation OR emulation OR teaching OR transmission OR tradition OR cultural) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,C,module,no,"""Aldabrachelys gigantea"" AND (""vocal learning"" OR communication OR signalling OR signaling OR referential OR combinatorial OR compositional OR ""turn-taking"" OR audience)",,"""Aldabrachelys gigantea"" AND (""vocal learning"" OR communication OR signalling OR signaling OR referential OR combinatorial OR compositional OR ""turn-taking"" OR audience) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,D,module,no,"""Aldabrachelys gigantea"" AND (""tool use"" OR ""tool manufacture"" OR manipulation OR manipulatory OR construction OR ""object modification"" OR transport)",,"""Aldabrachelys gigantea"" AND (""tool use"" OR ""tool manufacture"" OR manipulation OR manipulatory OR construction OR ""object modification"" OR transport) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,E,module,no,"""Aldabrachelys gigantea"" AND (artifact OR artefact OR construction OR nest OR dam OR cache OR trail OR bower OR ""environmental modification"" OR externalization OR externalisation)",,"""Aldabrachelys gigantea"" AND (artifact OR artefact OR construction OR nest OR dam OR cache OR trail OR bower OR ""environmental modification"" OR externalization OR externalisation) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,F,module,no,"""Aldabrachelys gigantea"" AND (cooperation OR cooperative OR ""social tolerance"" OR ""division of labor"" OR ""division of labour"" OR ""social network"" OR ""group decision"" OR ""fission-fusion"" OR alloparental)",,"""Aldabrachelys gigantea"" AND (cooperation OR cooperative OR ""social tolerance"" OR ""division of labor"" OR ""division of labour"" OR ""social network"" OR ""group decision"" OR ""fission-fusion"" OR alloparental) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O1,outcome,no,"""Aldabrachelys gigantea"" AND (innovation OR ""novel problem"" OR ""problem solving"" OR transfer OR detour OR planning OR ""means-end"" OR reversal)",,"""Aldabrachelys gigantea"" AND (innovation OR ""novel problem"" OR ""problem solving"" OR transfer OR detour OR planning OR ""means-end"" OR reversal) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O2,outcome,no,"""Aldabrachelys gigantea"" AND (tradition OR cultural OR culture OR ""socially transmitted"" OR ""social transmission"" OR dialect)",,"""Aldabrachelys gigantea"" AND (tradition OR cultural OR culture OR ""socially transmitted"" OR ""social transmission"" OR dialect) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O3,outcome,no,"""Aldabrachelys gigantea"" AND (""cumulative culture"" OR cumulative OR ""transmission chain"" OR ""successive improvement"" OR ""ratchet"" OR ""naive individuals"" OR ""independent innovation"")",,"""Aldabrachelys gigantea"" AND (""cumulative culture"" OR cumulative OR ""transmission chain"" OR ""successive improvement"" OR ""ratchet"" OR ""naive individuals"" OR ""independent innovation"") AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O4,outcome,no,"""Aldabrachelys gigantea"" AND (""cultural repertoire"" OR ""behavioural repertoire"" OR ""behavioral repertoire"" OR ""cultural variants"" OR traditions)",,"""Aldabrachelys gigantea"" AND (""cultural repertoire"" OR ""behavioural repertoire"" OR ""behavioral repertoire"" OR ""cultural variants"" OR traditions) AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O5,outcome,no,"""Aldabrachelys gigantea"" AND (recombination OR specialization OR specialisation OR ""division of labor"" OR ""division of labour"" OR ""distributed knowledge"" OR ""network memory"" OR ""cross-group"")",,"""Aldabrachelys gigantea"" AND (recombination OR specialization OR specialisation OR ""division of labor"" OR ""division of labour"" OR ""distributed knowledge"" OR ""network memory"" OR ""cross-group"") AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
1,Aldabrachelys gigantea,theory_discriminating_candidate,O6,outcome,no,"""Aldabrachelys gigantea"" AND (artifact OR artefact OR construction OR cache OR trail OR nest OR dam OR bower OR ""persistent structure"" OR ""environmental modification"")",,"""Aldabrachelys gigantea"" AND (artifact OR artefact OR construction OR cache OR trail OR nest OR dam OR bower OR ""persistent structure"" OR ""environmental modification"") AND (""failed"" OR ""failure"" OR ""chance level"" OR ""no evidence"" OR ""did not"" OR ""unable"" OR ""not learn"" OR ""control group"")",pending,pending
