scientific_name,module_id,evidence_state,source_ids,evidence_traits,first_pass_status,tested_negative_status,notes
Eubalaena glacialis,A,pending_first_pass,,,pending,not_searched,
Eubalaena glacialis,B,pending_first_pass,,,pending,not_searched,
Eubalaena glacialis,C,pending_first_pass,,,pending,not_searched,
Eubalaena glacialis,D,pending_first_pass,,,pending,not_searched,
Eubalaena glacialis,E,pending_first_pass,,,pending,not_searched,
Eubalaena glacialis,F,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,A,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,B,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,C,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,D,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,E,pending_first_pass,,,pending,not_searched,
Dasyurus maculatus,F,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,A,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,B,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,C,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,D,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,E,pending_first_pass,,,pending,not_searched,
Macropus antilopinus,F,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,A,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,B,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,C,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,D,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,E,pending_first_pass,,,pending,not_searched,
Tragelaphus eurycerus,F,pending_first_pass,,,pending,not_searched,
Panthera tigris,A,pending_first_pass,,,pending,not_searched,
Panthera tigris,B,pending_first_pass,,,pending,not_searched,
Panthera tigris,C,pending_first_pass,,,pending,not_searched,
Panthera tigris,D,pending_first_pass,,,pending,not_searched,
Panthera tigris,E,pending_first_pass,,,pending,not_searched,
Panthera tigris,F,pending_first_pass,,,pending,not_searched,
Melursus ursinus,A,pending_first_pass,,,pending,not_searched,
Melursus ursinus,B,pending_first_pass,,,pending,not_searched,
Melursus ursinus,C,pending_first_pass,,,pending,not_searched,
Melursus ursinus,D,pending_first_pass,,,pending,not_searched,
Melursus ursinus,E,pending_first_pass,,,pending,not_searched,
Melursus ursinus,F,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,A,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,B,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,C,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,D,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,E,pending_first_pass,,,pending,not_searched,
Galerella sanguinea,F,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,A,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,B,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,C,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,D,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,E,pending_first_pass,,,pending,not_searched,
Leptonychotes weddellii,F,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,A,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,B,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,C,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,D,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,E,pending_first_pass,,,pending,not_searched,
Procyon cancrivorus,F,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,A,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,B,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,C,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,D,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,E,pending_first_pass,,,pending,not_searched,
Hyaena brunnea,F,pending_first_pass,,,pending,not_searched,
