scientific_name,outcome_id,outcome_state,evidence_scope,source_ids,evidence_summary,confidence,first_pass_status,tested_negative_status,notes
Eubalaena glacialis,O1,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O2,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O3,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O4,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O5,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O6,pending_first_pass,,,,,pending,not_searched,
Eubalaena glacialis,O7,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O1,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O2,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O3,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O4,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O5,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O6,pending_first_pass,,,,,pending,not_searched,
Dasyurus maculatus,O7,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O1,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O2,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O3,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O4,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O5,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O6,pending_first_pass,,,,,pending,not_searched,
Macropus antilopinus,O7,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O1,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O2,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O3,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O4,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O5,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O6,pending_first_pass,,,,,pending,not_searched,
Tragelaphus eurycerus,O7,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O1,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O2,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O3,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O4,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O5,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O6,pending_first_pass,,,,,pending,not_searched,
Panthera tigris,O7,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O1,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O2,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O3,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O4,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O5,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O6,pending_first_pass,,,,,pending,not_searched,
Melursus ursinus,O7,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O1,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O2,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O3,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O4,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O5,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O6,pending_first_pass,,,,,pending,not_searched,
Galerella sanguinea,O7,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O1,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O2,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O3,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O4,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O5,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O6,pending_first_pass,,,,,pending,not_searched,
Leptonychotes weddellii,O7,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O1,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O2,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O3,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O4,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O5,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O6,pending_first_pass,,,,,pending,not_searched,
Procyon cancrivorus,O7,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O1,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O2,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O3,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O4,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O5,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O6,pending_first_pass,,,,,pending,not_searched,
Hyaena brunnea,O7,pending_first_pass,,,,,pending,not_searched,
