n_taxa,missing,true_model,model_discriminating_recovery,random_recovery,gain
25,0.2,additive,0.70,0.68,0.02
25,0.2,threshold,0.50,0.30,0.20
25,0.2,weakest,0.56,0.36,0.20
25,0.4,additive,0.64,0.58,0.06
25,0.4,threshold,0.28,0.26,0.02
25,0.4,weakest,0.52,0.28,0.24
40,0.2,additive,0.72,0.72,0.00
40,0.2,threshold,0.46,0.16,0.30
40,0.2,weakest,0.50,0.30,0.20
40,0.4,additive,0.62,0.54,0.08
40,0.4,threshold,0.36,0.26,0.10
40,0.4,weakest,0.46,0.40,0.06
80,0.2,additive,0.62,0.78,-0.16
80,0.2,threshold,0.56,0.34,0.22
80,0.2,weakest,0.52,0.38,0.14
80,0.4,additive,0.68,0.68,0.00
80,0.4,threshold,0.36,0.30,0.06
80,0.4,weakest,0.24,0.38,-0.14
120,0.2,additive,0.72,0.74,-0.02
120,0.2,threshold,0.48,0.20,0.28
120,0.2,weakest,0.32,0.34,-0.02
120,0.4,additive,0.84,0.68,0.16
120,0.4,threshold,0.36,0.20,0.16
120,0.4,weakest,0.24,0.22,0.02
