scientific_name,module_id,module_name,matrix_segment,evidence_state,observed_now,evidence_level,source,basis
Homo sapiens,A,generative_cognition,current29,not_tested,0,pilot7,,
Homo sapiens,B,social_transmission,current29,not_tested,0,pilot7,,
Homo sapiens,C,communication,current29,not_tested,0,pilot7,,
Homo sapiens,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Homo sapiens,E,externalization,current29,not_tested,0,pilot7,,
Homo sapiens,F,social_architecture,current29,not_tested,0,pilot7,,
Homo sapiens,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Homo sapiens,H,energetics_neural_budget,current29,measured_multi_axis,1,pilot7,,metabolic;neural
Homo sapiens,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Homo sapiens,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Pan troglodytes,A,generative_cognition,current29,not_tested,1,pilot7,MacLean2014,
Pan troglodytes,B,social_transmission,current29,positive,1,pilot7,,literature:supra_individual_skill_acquisition; ACDB:transmission:CWOT chimpanzees group 1 grooming handclasp behavior; ACDB:transmission:CWOT chimpanzees group 2 grooming handclasp behavior
Pan troglodytes,C,communication,current29,not_tested,0,pilot7,,
Pan troglodytes,D,manipulation_embodiment,current29,not_tested,1,pilot7,JohnstonRoyrvik2020,22-mode exact-species tool-use catalogue
Pan troglodytes,E,externalization,current29,not_tested,0,pilot7,,
Pan troglodytes,F,social_architecture,current29,positive,1,pilot7,ASNR,ACDB:social:CWOT chimpanzees group 1 grooming handclasp behavior; ACDB:social:CWOT chimpanzees group 2 grooming handclasp behavior
Pan troglodytes,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Pan troglodytes,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Pan troglodytes,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Pan troglodytes,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA;ACDB_groups,
Pan paniscus,A,generative_cognition,current29,not_tested,1,pilot7,MacLean2014,
Pan paniscus,B,social_transmission,current29,not_tested,0,pilot7,,
Pan paniscus,C,communication,current29,not_tested,0,pilot7,,
Pan paniscus,D,manipulation_embodiment,current29,not_tested,1,pilot7,JohnstonRoyrvik2020,22-mode exact-species tool-use catalogue
Pan paniscus,E,externalization,current29,not_tested,0,pilot7,,
Pan paniscus,F,social_architecture,current29,not_tested,1,pilot7,ASNR,
Pan paniscus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Pan paniscus,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Pan paniscus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Pan paniscus,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA;ACDB_groups,
Pongo abelii,A,generative_cognition,current29,not_tested,0,pilot7,,
Pongo abelii,B,social_transmission,current29,not_tested,0,pilot7,,
Pongo abelii,C,communication,current29,not_tested,0,pilot7,,
Pongo abelii,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Pongo abelii,E,externalization,current29,not_tested,0,pilot7,,
Pongo abelii,F,social_architecture,current29,not_tested,0,pilot7,,
Pongo abelii,G,life_history_learning_opportunity,current29,not_measured,0,pilot7,,
Pongo abelii,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Pongo abelii,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Pongo abelii,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Pongo pygmaeus,A,generative_cognition,current29,not_tested,0,pilot7,,
Pongo pygmaeus,B,social_transmission,current29,not_tested,0,pilot7,,
Pongo pygmaeus,C,communication,current29,not_tested,0,pilot7,,
Pongo pygmaeus,D,manipulation_embodiment,current29,not_tested,1,pilot7,JohnstonRoyrvik2020,22-mode exact-species tool-use catalogue
Pongo pygmaeus,E,externalization,current29,not_tested,0,pilot7,,
Pongo pygmaeus,F,social_architecture,current29,not_tested,0,pilot7,,
Pongo pygmaeus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Pongo pygmaeus,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Pongo pygmaeus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Pongo pygmaeus,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Gorilla gorilla,A,generative_cognition,current29,not_tested,0,pilot7,,
Gorilla gorilla,B,social_transmission,current29,not_tested,0,pilot7,,
Gorilla gorilla,C,communication,current29,not_tested,0,pilot7,,
Gorilla gorilla,D,manipulation_embodiment,current29,not_tested,1,pilot7,JohnstonRoyrvik2020,22-mode exact-species tool-use catalogue
Gorilla gorilla,E,externalization,current29,not_tested,0,pilot7,,
Gorilla gorilla,F,social_architecture,current29,not_tested,0,pilot7,,
Gorilla gorilla,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Gorilla gorilla,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Gorilla gorilla,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Gorilla gorilla,J,demography_cultural_population,current29,measured_multi_source_proxy,1,pilot7,PanTHERIA;ACDB_groups,
Gorilla beringei,A,generative_cognition,current29,not_tested,0,pilot7,,
Gorilla beringei,B,social_transmission,current29,not_tested,0,pilot7,,
Gorilla beringei,C,communication,current29,not_tested,0,pilot7,,
Gorilla beringei,D,manipulation_embodiment,current29,positive,1,pilot7,,literature:wild_tool_use_food_acquisition; literature:wild_tool_use_food_acquisition
Gorilla beringei,E,externalization,current29,not_tested,0,pilot7,,
Gorilla beringei,F,social_architecture,current29,not_tested,0,pilot7,,
Gorilla beringei,G,life_history_learning_opportunity,current29,not_measured,0,pilot7,,
Gorilla beringei,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Gorilla beringei,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Gorilla beringei,J,demography_cultural_population,current29,measured_cultural_context,1,pilot7,ACDB_groups,
Sapajus libidinosus,A,generative_cognition,current29,not_tested,0,pilot7,,
Sapajus libidinosus,B,social_transmission,current29,not_tested,0,pilot7,,
Sapajus libidinosus,C,communication,current29,not_tested,0,pilot7,,
Sapajus libidinosus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Sapajus libidinosus,E,externalization,current29,not_tested,0,pilot7,,
Sapajus libidinosus,F,social_architecture,current29,not_tested,0,pilot7,,
Sapajus libidinosus,G,life_history_learning_opportunity,current29,not_measured,0,pilot7,,
Sapajus libidinosus,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Sapajus libidinosus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Sapajus libidinosus,J,demography_cultural_population,current29,measured_cultural_context,1,pilot7,ACDB_groups,
Macaca fuscata,A,generative_cognition,current29,not_tested,0,pilot7,,
Macaca fuscata,B,social_transmission,current29,positive,1,pilot7,,ACDB:transmission:Koshima macaque troop sweet-potato washing
Macaca fuscata,C,communication,current29,not_tested,0,pilot7,,
Macaca fuscata,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Macaca fuscata,E,externalization,current29,not_tested,0,pilot7,,
Macaca fuscata,F,social_architecture,current29,not_tested,1,pilot7,ASNR,
Macaca fuscata,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Macaca fuscata,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Macaca fuscata,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Macaca fuscata,J,demography_cultural_population,current29,measured_network_proxy,1,pilot7,ASNR;PanTHERIA;ACDB_groups,
Callithrix jacchus,A,generative_cognition,current29,not_tested,0,pilot7,,
Callithrix jacchus,B,social_transmission,current29,not_tested,0,pilot7,,
Callithrix jacchus,C,communication,current29,not_tested,0,pilot7,,
Callithrix jacchus,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Callithrix jacchus,E,externalization,current29,not_tested,0,pilot7,,
Callithrix jacchus,F,social_architecture,current29,not_tested,0,pilot7,,
Callithrix jacchus,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Callithrix jacchus,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,metabolic
Callithrix jacchus,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Callithrix jacchus,J,demography_cultural_population,current29,measured_social_demography,1,pilot7,PanTHERIA,
Leontopithecus rosalia,A,generative_cognition,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,B,social_transmission,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,C,communication,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,E,externalization,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,F,social_architecture,current29,not_tested,0,pilot7,,
Leontopithecus rosalia,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Leontopithecus rosalia,H,energetics_neural_budget,current29,not_measured,0,pilot7,,
Leontopithecus rosalia,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Leontopithecus rosalia,J,demography_cultural_population,current29,measured_social_demography,1,pilot7,PanTHERIA,
Corvus moneduloides,A,generative_cognition,current29,not_tested,0,pilot7,,
Corvus moneduloides,B,social_transmission,current29,positive,1,pilot7,,literature:tool_development_scaffolding; ACDB:transmission:Grande Terre New Caledonian crows narrow-type Padanus tools; ACDB:transmission:Grande Terre New Caledonian crows stepped Padanus tools; ACDB:transmission:New Caledonian crows wide-type Padanus tools
Corvus moneduloides,C,communication,current29,positive,1,pilot7,,ACDB:vocal_communication:Grande Terre New Caledonian crows alarm calls
Corvus moneduloides,D,manipulation_embodiment,current29,positive,1,pilot7,,literature:pandanus_tool_manufacture; literature:pandanus_tool_manufacture
Corvus moneduloides,E,externalization,current29,positive,1,pilot7,Sheard2024,Cup nest structure explicitly scored 1.
Corvus moneduloides,F,social_architecture,current29,not_tested,0,pilot7,,
Corvus moneduloides,G,life_history_learning_opportunity,current29,not_measured,0,pilot7,,
Corvus moneduloides,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Corvus moneduloides,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Corvus moneduloides,J,demography_cultural_population,current29,measured_cultural_context,1,pilot7,ACDB_groups,
Corvus corax,A,generative_cognition,current29,not_tested,0,pilot7,,
Corvus corax,B,social_transmission,current29,not_tested,0,pilot7,,
Corvus corax,C,communication,current29,positive,1,pilot7,,ACDB:vocal_communication:TT-QQ West dialect ravens vocal dialect; ACDB:vocal_communication:EE-WW East dialect ravens vocal dialect
Corvus corax,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Corvus corax,E,externalization,current29,positive,1,pilot7,Sheard2024,Cup nest structure explicitly scored 1.
Corvus corax,F,social_architecture,current29,positive,1,pilot7,,ACDB:social:TT-QQ West dialect ravens vocal dialect; ACDB:social:EE-WW East dialect ravens vocal dialect
Corvus corax,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Corvus corax,H,energetics_neural_budget,current29,measured_multi_axis,1,pilot7,,metabolic;neural
Corvus corax,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Corvus corax,J,demography_cultural_population,current29,measured_cultural_context,1,pilot7,ACDB_groups,
Nestor notabilis,A,generative_cognition,current29,not_tested,0,pilot7,,
Nestor notabilis,B,social_transmission,current29,positive,1,pilot7,,literature:demonstration_aided_sequence_solving
Nestor notabilis,C,communication,current29,not_tested,0,pilot7,,
Nestor notabilis,D,manipulation_embodiment,current29,not_tested,0,pilot7,,
Nestor notabilis,E,externalization,current29,ambiguous,1,pilot7,Sheard2024,Structure itself unresolved in S2; location information does not establish construction.
Nestor notabilis,F,social_architecture,current29,not_tested,0,pilot7,,
Nestor notabilis,G,life_history_learning_opportunity,current29,measured,1,pilot7,,AnAge exact-species life-history row
Nestor notabilis,H,energetics_neural_budget,current29,partial_measured,1,pilot7,,neural
Nestor notabilis,I,ecological_challenge_opportunity,current29,measured_ecology,1,pilot7,EltonTraits1.0,
Nestor notabilis,J,demography_cultural_population,current29,not_systematically_joined,0,pilot7,,
Cacatua goffiniana,A,generative_cognition,current29,not_tested,0,pilot7,,
Cacatua goffiniana,B,social_transmission,current29,not_tested,0,pilot7,,
Cacatua goffiniana,C,communication,current29,not_tested,0,pilot7,,
