taxon_id,scientific_name,module_id,module_name,evidence_state,positive_rows,negative_rows,ambiguous_rows,source_count,measurement_coverage,measurement_sources,basis
HUM,Homo sapiens,A,generative_cognition,not_tested,0,0,0,0,,,
HUM,Homo sapiens,B,social_transmission,not_tested,0,0,0,0,,,
HUM,Homo sapiens,C,communication,not_tested,0,0,0,0,,,
HUM,Homo sapiens,D,manipulation_embodiment,not_tested,0,0,0,0,,,
HUM,Homo sapiens,E,externalization,not_tested,0,0,0,0,,,
HUM,Homo sapiens,F,social_architecture,not_tested,0,0,0,0,,,
HUM,Homo sapiens,G,life_history_learning_opportunity,measured,,,,1,,,AnAge exact-species life-history row
HUM,Homo sapiens,H,energetics_neural_budget,measured_multi_axis,,,,2,,,metabolic;neural
HUM,Homo sapiens,I,ecological_challenge_opportunity,measured_ecology,,,,0,eltontraits,EltonTraits1.0,
HUM,Homo sapiens,J,demography_cultural_population,not_systematically_joined,,,,0,,,
PTR,Pan troglodytes,A,generative_cognition,not_tested,0,0,0,0,standardized_proxy,MacLean2014,
PTR,Pan troglodytes,B,social_transmission,positive,3,0,0,2,,,literature:supra_individual_skill_acquisition; ACDB:transmission:CWOT chimpanzees group 1 grooming handclasp behavior; ACDB:transmission:CWOT chimpanzees group 2 grooming handclasp behavior
PTR,Pan troglodytes,C,communication,not_tested,0,0,0,0,,,
PTR,Pan troglodytes,D,manipulation_embodiment,not_tested,0,0,0,0,,,
PTR,Pan troglodytes,E,externalization,not_tested,0,0,0,0,,,
PTR,Pan troglodytes,F,social_architecture,positive,2,0,0,1,positive_evidence_plus_network_data,ASNR,ACDB:social:CWOT chimpanzees group 1 grooming handclasp behavior; ACDB:social:CWOT chimpanzees group 2 grooming handclasp behavior
PTR,Pan troglodytes,G,life_history_learning_opportunity,measured,,,,1,,,AnAge exact-species life-history row
PTR,Pan troglodytes,H,energetics_neural_budget,partial_measured,,,,1,,,neural
PTR,Pan troglodytes,I,ecological_challenge_opportunity,measured_ecology,,,,0,eltontraits,EltonTraits1.0,
