taxon,pilot_status,structure,neuron_count_million,brain_or_structure_mass_g,method,method_family,comparability_class,source,doi,confidence,notes
Homo sapiens,pilot_exact,whole_brain,86100,,isotropic_fractionator,IF,mammal_IF_whole,"Azevedo et al. 2009","10.1002/cne.21974",high,"Adult male mean 86.1 ± 8.1 billion neurons."
Homo sapiens,pilot_exact,cerebral_cortex,16300,,isotropic_fractionator,IF,mammal_IF_forebrain,"Azevedo et al. 2009","10.1002/cne.21974",high,"Approximately 19% of whole-brain neurons; use cortex rather than whole brain for forebrain comparison."
Loxodonta africana,pilot_exact,whole_brain,257040,4618.62,isotropic_fractionator,IF,mammal_IF_whole,"Herculano-Houzel et al. 2014","10.3389/fnana.2014.00046",high,"More total neurons than humans because cerebellum dominates."
Loxodonta africana,pilot_exact,cerebral_cortex,5590,2847.95,isotropic_fractionator,IF,mammal_IF_forebrain,"Herculano-Houzel et al. 2014","10.3389/fnana.2014.00046",high,"Cortex GM+WM; only about one-third of human cortical neuron count."
Loxodonta africana,pilot_exact,cerebellum,250710,1171.63,isotropic_fractionator,IF,mammal_IF_cerebellum,"Herculano-Houzel et al. 2014","10.3389/fnana.2014.00046",high,"97.5% of elephant whole-brain neurons."
Nestor notabilis,pilot_exact,whole_brain,2148.67,13.593,isotropic_fractionator,IF,bird_IF_whole,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Kea."
Nestor notabilis,pilot_exact,pallium,1281,,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial count from supplementary figure."
Cacatua goffiniana,pilot_exact,whole_brain,1160.59,8.275,isotropic_fractionator,IF,bird_IF_whole,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Goffin's cockatoo."
Cacatua goffiniana,pilot_exact,pallium,599,,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial count from supplementary figure."
Psittacus erithacus,pilot_exact,whole_brain,1565.93,8.827,isotropic_fractionator,IF,bird_IF_whole,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"African grey parrot."
Psittacus erithacus,pilot_exact,pallium,850,,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial count from supplementary figure."
Melopsittacus undulatus,pilot_exact,whole_brain,321.82,1.317,isotropic_fractionator,IF,bird_IF_whole,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Budgerigar."
Melopsittacus undulatus,pilot_exact,pallium,149,,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial count from supplementary figure."
Corvus corax,pilot_exact,pallium,1204,10.20,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial mass shown in Fig. 3; raven pallial count comparable to small primates."
Corvus moneduloides,pilot_exact,pallium,1090,7.3,isotropic_fractionator_compiled,IF,bird_IF_forebrain,"Meijer 2024 synthesis of Olkowicz/Herculano-Houzel data","10.1159/000532013",medium_high,"New Caledonian crow value compiled in cross-species review; retain provenance distinction from direct primary table."
Columba livia,pilot_exact,whole_brain,310,2.10,isotropic_fractionator,IF,bird_IF_whole,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Rock pigeon."
Columba livia,pilot_exact,pallium,71.9,,isotropic_fractionator,IF,bird_IF_forebrain,"Olkowicz et al. 2016","10.1073/pnas.1517131113",high,"Pallial neuron count."
Apis mellifera,pilot_exact,brain,1,,reviewed_neuroanatomy,review,insect_brain,"Menzel 2012","10.1038/nrn3357",medium_high,"Approximately 1 million neurons; brain volume about 0.4–0.6 mm3."
Octopus vulgaris,pilot_exact,total_nervous_system,500,,reviewed_neuroanatomy,review,cephalopod_distributed,"Evolution of cephalopod nervous systems 2024","",medium_high,"Approximate estimate; about 300 million neurons are distributed in axial nerve cords of arms."
Octopus vulgaris,pilot_exact,central_plus_optic_system,200,,reviewed_neuroanatomy,review,cephalopod_distributed,"Evolution of cephalopod nervous systems 2024","",medium_high,"Central supra/subesophageal masses plus optic lobes; not homologous to vertebrate cortex."
Octopus vulgaris,pilot_exact,arms_axial_nerve_cords,300,,reviewed_neuroanatomy,review,cephalopod_distributed,"Evolution of cephalopod nervous systems 2024","",medium_high,"Distributed peripheral neural architecture."
Balaenoptera acutorostrata,method_calibrator,cerebral_cortex,3166.4,2052.2,isotropic_fractionator,IF,cetacean_IF_forebrain,"Avelino-de-Souza et al. 2025","10.1002/cne.70089",high,"Northern minke whale; not a pilot taxon. Used to calibrate cetacean method discrepancy."
Balaenoptera acutorostrata,method_calibrator,whole_brain,57472.8,2683.9,isotropic_fractionator,IF,cetacean_IF_whole,"Avelino-de-Souza et al. 2025","10.1002/cne.70089",high,"54.2 billion neurons are cerebellar."
Balaenoptera acutorostrata,method_calibrator,cerebral_cortex_old_estimate,12800,,stereology,stereology,cetacean_stereology_forebrain,"Eriksen & Pakkenberg 2007 as re-evaluated by Avelino-de-Souza et al. 2025","10.1002/cne.70089",medium,"Same species' earlier stereological estimate; retained only to quantify method disagreement."
