scenario,n_taxa,sampling,coverage,true_model,recovery_rate,reps,interpretation
current_observed_mask,29,fixed_current,observed_45.86pct,additive,0.660,500,"Current exact/proxy mask from module_evidence_state_v2.csv"
current_observed_mask,29,fixed_current,observed_45.86pct,weakest,0.346,500,"Current exact/proxy mask from module_evidence_state_v2.csv"
current_observed_mask,29,fixed_current,observed_45.86pct,threshold,0.162,500,"Current exact/proxy mask from module_evidence_state_v2.csv"
complete_panel,29,random,1.0,additive,0.750,200,"Complete-data benchmark with random taxon configurations"
complete_panel,29,random,1.0,weakest,0.430,200,"Complete-data benchmark with random taxon configurations"
complete_panel,29,random,1.0,threshold,0.255,200,"Complete-data benchmark with random taxon configurations"
complete_panel,29,model_discriminating_oracle,1.0,additive,0.795,200,"Upper-bound selection using latent configuration disagreement; not directly implementable without provisional screening"
complete_panel,29,model_discriminating_oracle,1.0,weakest,0.645,200,"Upper-bound selection using latent configuration disagreement; not directly implementable without provisional screening"
complete_panel,29,model_discriminating_oracle,1.0,threshold,0.665,200,"Upper-bound selection using latent configuration disagreement; not directly implementable without provisional screening"
complete_panel,40,random,1.0,additive,0.750,200,"Complete-data benchmark"
complete_panel,40,random,1.0,weakest,0.400,200,"Complete-data benchmark"
complete_panel,40,random,1.0,threshold,0.305,200,"Complete-data benchmark"
complete_panel,40,model_discriminating_oracle,1.0,additive,0.755,200,"Upper-bound configuration-aware selection"
complete_panel,40,model_discriminating_oracle,1.0,weakest,0.640,200,"Upper-bound configuration-aware selection"
complete_panel,40,model_discriminating_oracle,1.0,threshold,0.630,200,"Upper-bound configuration-aware selection"
complete_panel,60,random,1.0,additive,0.780,200,"Complete-data benchmark"
complete_panel,60,random,1.0,weakest,0.320,200,"Complete-data benchmark"
complete_panel,60,random,1.0,threshold,0.290,200,"Complete-data benchmark"
complete_panel,60,model_discriminating_oracle,1.0,additive,0.765,200,"Upper-bound configuration-aware selection"
complete_panel,60,model_discriminating_oracle,1.0,weakest,0.580,200,"Upper-bound configuration-aware selection"
complete_panel,60,model_discriminating_oracle,1.0,threshold,0.685,200,"Upper-bound configuration-aware selection"
complete_panel,80,random,1.0,additive,0.835,200,"Complete-data benchmark"
complete_panel,80,random,1.0,weakest,0.330,200,"Complete-data benchmark"
complete_panel,80,random,1.0,threshold,0.335,200,"Complete-data benchmark"
complete_panel,80,model_discriminating_oracle,1.0,additive,0.835,200,"Upper-bound configuration-aware selection"
complete_panel,80,model_discriminating_oracle,1.0,weakest,0.535,200,"Upper-bound configuration-aware selection"
complete_panel,80,model_discriminating_oracle,1.0,threshold,0.680,200,"Upper-bound configuration-aware selection"
