scientific_name,all_taxon,behavior_general,cognition,social_transmission,manipulation,communication
Homo sapiens,192133,116150,60084,105743,115942,123088
Pan troglodytes,29434,20450,12188,12842,18869,18573
Pan paniscus,7614,5885,3691,3528,5016,5094
Pongo abelii,4171,2665,1646,1680,2777,2553
Pongo pygmaeus,7956,5327,3007,3220,4799,4573
Gorilla gorilla,12075,8226,4251,4865,7554,7194
Gorilla beringei,2814,2137,888,1125,1548,1519
Sapajus libidinosus,1157,894,475,487,724,535
Macaca fuscata,8180,5791,3021,2700,4093,4543
Callithrix jacchus,14448,8723,4513,4762,7382,8362
Leontopithecus rosalia,1833,1330,434,604,927,863
Corvus moneduloides,767,682,589,455,683,501
Corvus corax,6775,4382,1693,2002,3196,3082
Nestor notabilis,1277,822,561,455,725,637
Cacatua goffiniana,793,188,142,100,161,122
Psittacus erithacus,2888,1818,1175,1186,1572,1452
Melopsittacus undulatus,4694,2735,1177,1321,2108,2436
Tursiops truncatus,17512,11307,3884,4869,8638,8679
Tursiops aduncus,2927,2205,778,907,1620,1548
Orcinus orca,10088,7377,2200,3099,5338,5680
Physeter macrocephalus,6030,4105,1069,1652,2990,3135
Megaptera novaeangliae,9543,6562,1800,2500,4500,4664
Loxodonta africana,12191,8209,2895,4144,6934,6142
Elephas maximus,10115,5796,2047,3068,4658,3939
Octopus vulgaris,6973,4042,1537,2399,3409,2939
Bombus terrestris,13710,9483,2901,3283,6576,6907
Apis mellifera,88148,48974,14297,23876,35493,35315
Columba livia,29218,10985,4303,5272,8566,8062
Suricata suricatta,2492,1944,753,788,1318,1496
