query_name,matched_name,ott_id,rank,is_synonym,score,is_approximate_match
Homo sapiens,Homo sapiens,770315,species,false,1.0,false
Pan troglodytes,Pan troglodytes,417950,species,false,1.0,false
Pan paniscus,Pan paniscus,158484,species,false,1.0,false
Pongo abelii,Pongo abelii,770295,species,false,1.0,false
Pongo pygmaeus,Pongo pygmaeus,770302,species,false,1.0,false
Gorilla gorilla,Gorilla gorilla,417965,species,false,1.0,false
Gorilla beringei,Gorilla beringei,351685,species,false,1.0,false
Sapajus libidinosus,Sapajus libidinosus,748283,species,false,1.0,false
Macaca fuscata,Macaca fuscata,689660,species,false,1.0,false
Callithrix jacchus,Callithrix jacchus,1015223,species,false,1.0,false
Leontopithecus rosalia,Leontopithecus rosalia,921451,species,false,1.0,false
Corvus moneduloides,Corvus moneduloides,200022,species,false,1.0,false
Corvus corax,Corvus corax,140425,species,false,1.0,false
Nestor notabilis,Nestor notabilis,749203,species,false,1.0,false
Cacatua goffiniana,Cacatua goffiniana,619331,species,false,1.0,false
Psittacus erithacus,Psittacus erithacus,285641,species,false,1.0,false
Melopsittacus undulatus,Melopsittacus undulatus,734818,species,false,1.0,false
Tursiops truncatus,Tursiops truncatus,124230,species,false,1.0,false
Tursiops aduncus,Tursiops aduncus,257323,species,false,1.0,false
Orcinus orca,Orcinus orca,124215,species,false,1.0,false
Physeter macrocephalus,Physeter catodon,276851,species,true,1.0,false
Megaptera novaeangliae,Megaptera novaeangliae,226198,species,false,1.0,false
Loxodonta africana,Loxodonta africana,541936,species,false,1.0,false
Elephas maximus,Elephas maximus,541928,species,false,1.0,false
Octopus vulgaris,Octopus vulgaris,110468,species,false,1.0,false
Bombus terrestris,Bombus terrestris,161197,species,false,1.0,false
Apis mellifera,Apis mellifera,461645,species,false,1.0,false
Columba livia,Columba livia,938416,species,false,1.0,false
Suricata suricatta,Suricata suricatta,803645,species,false,1.0,false
