taxon_id,scientific_name,common_name,major_clade,priority,contrast_role,literature_rows,best_literature_scope,acdb_scope,acdb_behaviors,coverage_state,confirmatory_eligible,next_action
HUM,Homo sapiens,human,Primates,core,target_reference,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
PTR,Pan troglodytes,chimpanzee,Primates,core,near_human_dissociation,1,exact_species,exact_species,2,exact_seed,yes,expand_modules_and_quantify_effort
PPA,Pan paniscus,bonobo,Primates,core,near_human_social_tolerance,0,none,exact_species,4,not_covered,yes,expand_modules_and_quantify_effort
PON,Pongo spp.,orangutans,Primates,core,ape_tool_culture_contrast,1,genus_exemplar,exemplar,3,genus_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
GOR,Gorilla spp.,gorillas,Primates,core,ape_phylogenetic_control,1,genus_exemplar,none,0,genus_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
CAP,Sapajus spp.,capuchin_monkeys,Primates,core,independent_primate_tool_traditions,1,genus_exemplar,exemplar,3,genus_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
MAC,Macaca spp.,macaques,Primates,extended,social_learning_traditions,1,genus_exemplar,exemplar,1,genus_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
MAR,Callitrichidae,marmosets_and_tamarins,Primates,extended,cooperative_breeding_teaching,2,family_exemplar,none,0,family_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
CME,Corvus moneduloides,New_Caledonian_crow,Aves,core,convergent_tool_cognition,2,exact_species,exact_species,5,exact_seed,yes,expand_modules_and_quantify_effort
CRA,Corvus corax,common_raven,Aves,core,convergent_social_cognition,0,none,exact_species,2,not_covered,yes,expand_modules_and_quantify_effort
KEA,Nestor notabilis,kea,Aves,core,parrot_innovation_play,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
CGO,Cacatua goffiniana,Goffins_cockatoo,Aves,core,parrot_tool_innovation,2,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
PER,Psittacus erithacus,African_grey_parrot,Aves,core,communication_cognition,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
MUN,Melopsittacus undulatus,budgerigar,Aves,extended,vocal_learning_neural_convergence,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
TTR,Tursiops truncatus,bottlenose_dolphin,Cetacea,core,culture_vocal_social_aquatic,1,genus_exemplar,exemplar,3,genus_exemplar_seed,no,resolve_to_exact_species_or_add_exact_evidence
OOR,Orcinus orca,killer_whale,Cetacea,core,cultural_repertoire_social_structure,0,none,exact_species,10,not_covered,yes,expand_modules_and_quantify_effort
PMA,Physeter macrocephalus,sperm_whale,Cetacea,extended,clan_vocal_culture,0,none,exact_species,3,not_covered,yes,expand_modules_and_quantify_effort
MNO,Megaptera novaeangliae,humpback_whale,Cetacea,extended,song_cultural_transmission,0,none,exact_species,3,not_covered,yes,expand_modules_and_quantify_effort
LAF,Loxodonta africana,African_elephant,Proboscidea,core,long_life_social_memory,1,exact_species,exact_species,2,exact_seed,yes,expand_modules_and_quantify_effort
EMA,Elephas maximus,Asian_elephant,Proboscidea,extended,long_life_manipulation,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
OVU,Octopus vulgaris,common_octopus,Cephalopoda,core,cognition_manipulation_short_life,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
BTE,Bombus terrestris,buff_tailed_bumblebee,Hymenoptera,core,social_learning_small_brain,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
AME,Apis mellifera,honeybee,Hymenoptera,core,collective_information_external_structure,1,exact_species,exact_species,1,exact_seed,yes,expand_modules_and_quantify_effort
CLI,Columba livia,rock_pigeon,Aves,extended,cumulative_route_experiment,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
SSU,Suricata suricatta,meerkat,Carnivora,core,teaching_without_open_ended_culture,1,exact_species,none,0,exact_seed,yes,expand_modules_and_quantify_effort
