taxon_id,scientific_name,common_name,major_clade,priority,contrast_role,coverage_state,confirmatory_eligible,acdb_behaviors,exact_literature_rows,exemplar_literature_rows,innovation_evidence_rows,social_transmission_evidence_rows,communication_evidence_rows,manipulation_evidence_rows,externalization_evidence_rows,social_architecture_evidence_rows,outcome_evidence_rows,animaltraits_scope,animaltraits_species,animaltraits_body_n,animaltraits_body_median_kg,animaltraits_brain_n,animaltraits_brain_median_kg,animaltraits_metabolic_n,animaltraits_metabolic_median_w,anage_scope,anage_species,mean_maturity_days,gestation_incubation_days,weaning_days,interbirth_interval_days,maximum_longevity_yrs,anage_adult_weight_g,anage_metabolic_rate_w,anage_data_quality,exact_energy_or_lifehistory,research_effort_status
HUM,Homo sapiens,human,Primates,core,target_reference,exact_seed,yes,0,1,0,0,0,0,0,0,0,1,exact_species,Homo sapiens,38,59.1,44,1.3050000000000002,0,,exact_species,Homo sapiens,4927.5,280,,639,122.5,62035,82.78,high,yes,not_yet_quantified
PTR,Pan troglodytes,chimpanzee,Primates,core,near_human_dissociation,exact_seed,yes,2,1,0,0,1,0,0,0,0,0,exact_species,Pan troglodytes,4,50.34,4,0.392655,0,,exact_species,Pan troglodytes,3148,229,1111,840,68,44983.5,,acceptable,yes,not_yet_quantified
PPA,Pan paniscus,bonobo,Primates,core,near_human_social_tolerance,exact_acdb,yes,4,0,0,0,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Pan paniscus,1597,232,635,1825,55,39925,,acceptable,yes,not_yet_quantified
PON,Pongo spp.,orangutans,Primates,core,ape_tool_culture_contrast,genus_exemplar_seed,no,3,0,1,0,0,0,0,0,0,0,genus_exemplar,Pongo pygmaeus,1,54.22904,1,0.34199,0,,genus_exemplar,Pongo pygmaeus,2555,249,1003,1414,59,64475,,acceptable,no,not_yet_quantified
GOR,Gorilla spp.,gorillas,Primates,core,ape_phylogenetic_control,genus_exemplar_seed,no,0,0,1,0,0,0,0,0,0,0,genus_exemplar,Gorilla gorilla,2,150.9875,1,0.45455,0,,genus_exemplar,Gorilla gorilla,3422,256,,1397,60.1,139842,,acceptable,no,not_yet_quantified
CAP,Sapajus spp.,capuchin_monkeys,Primates,core,independent_primate_tool_traditions,genus_exemplar_seed,no,3,0,1,0,0,0,0,0,0,0,genus_exemplar,Sapajus libidinosus,2,2.5825,2,0.0771,0,,none,,0,,,,,,,,no,not_yet_quantified
MAC,Macaca spp.,macaques,Primates,extended,social_learning_traditions,genus_exemplar_seed,no,1,0,1,0,0,0,0,0,0,0,none,,0,,0,,0,,genus_exemplar,Macaca fuscata,1426,174,,514,38.5,8882.5,,high,no,not_yet_quantified
MAR,Callitrichidae,marmosets_and_tamarins,Primates,extended,cooperative_breeding_teaching,family_exemplar_seed,no,0,0,2,0,0,0,0,0,0,0,family_exemplar,Saguinus oedipus,2,0.37,2,0.00945,0,,family_exemplar,Callithrix jacchus,429.5,144,62,169,22.8,255.2,0.848,high,no,not_yet_quantified
CME,Corvus moneduloides,New_Caledonian_crow,Aves,core,convergent_tool_cognition,exact_seed,yes,5,2,0,0,1,0,1,0,0,0,exact_species,Corvus moneduloides,1,0.275,1,0.0063,0,,none,,0,,,,,,,,yes,not_yet_quantified
CRA,Corvus corax,common_raven,Aves,core,convergent_social_cognition,exact_acdb,yes,2,0,0,0,0,0,0,0,0,0,exact_species,Corvus corax,1,0.866,0,,1,4.59869583333333,exact_species,Corvus corax,1095,19,,,69,1041.2,5.5656,acceptable,yes,not_yet_quantified
KEA,Nestor notabilis,kea,Aves,core,parrot_innovation_play,exact_seed,yes,0,1,0,0,1,0,0,0,0,0,none,,0,,0,,0,,exact_species,Nestor notabilis,0,,,,47,867.5,,acceptable,yes,not_yet_quantified
CGO,Cacatua goffiniana,Goffins_cockatoo,Aves,core,parrot_tool_innovation,exact_seed,yes,0,2,0,0,0,0,2,0,0,0,none,,0,,0,,0,,exact_species,Cacatua goffiniana,0,,,,26,275,,questionable,yes,not_yet_quantified
PER,Psittacus erithacus,African_grey_parrot,Aves,core,communication_cognition,exact_seed,yes,0,1,0,0,0,1,0,0,0,0,none,,0,,0,,0,,exact_species,Psittacus erithacus,0,,,,49.7,333,,acceptable,yes,not_yet_quantified
MUN,Melopsittacus undulatus,budgerigar,Aves,extended,vocal_learning_neural_convergence,exact_seed,yes,0,1,0,0,0,1,0,0,0,0,exact_species,Melopsittacus undulatus,2,0.0325,1,0.001554,1,0.622222222222222,exact_species,Melopsittacus undulatus,180,18,,,21,30,0.3035,high,yes,not_yet_quantified
TTR,Tursiops truncatus,bottlenose_dolphin,Cetacea,core,culture_vocal_social_aquatic,genus_exemplar_seed,no,3,0,1,0,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Tursiops truncatus,3260,365,,858,51.6,200000,,acceptable,yes,not_yet_quantified
OOR,Orcinus orca,killer_whale,Cetacea,core,cultural_repertoire_social_structure,exact_acdb,yes,10,0,0,0,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Orcinus orca,4355,435,471,1096,90,3987500,,acceptable,yes,not_yet_quantified
PMA,Physeter macrocephalus,sperm_whale,Cetacea,extended,clan_vocal_culture,exact_acdb,yes,3,0,0,0,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Physeter macrocephalus,3286,502,560,1259,77,28500000,,acceptable,yes,not_yet_quantified
MNO,Megaptera novaeangliae,humpback_whale,Cetacea,extended,song_cultural_transmission,exact_acdb,yes,3,0,0,0,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Megaptera novaeangliae,1643,342,,657,95,30000000,,acceptable,yes,not_yet_quantified
LAF,Loxodonta africana,African_elephant,Proboscidea,core,long_life_social_memory,exact_seed,yes,2,1,0,0,0,1,0,0,0,0,none,,0,,0,,0,,exact_species,Loxodonta africana,3834,670,1071,1707,65,4800000,,acceptable,yes,not_yet_quantified
EMA,Elephas maximus,Asian_elephant,Proboscidea,extended,long_life_manipulation,exact_seed,yes,0,1,0,1,0,0,0,0,0,0,none,,0,,0,,0,,exact_species,Elephas maximus,3287,644,,1141,79.6,3178000,2336.5,acceptable,yes,not_yet_quantified
OVU,Octopus vulgaris,common_octopus,Cephalopoda,core,cognition_manipulation_short_life,exact_seed,yes,0,1,0,0,1,0,0,0,0,0,none,,0,,0,,0,,none,,0,,,,,,,,no,not_yet_quantified
BTE,Bombus terrestris,buff_tailed_bumblebee,Hymenoptera,core,social_learning_small_brain,exact_seed,yes,0,1,0,0,1,0,0,0,0,0,none,,0,,0,,0,,exact_species,Bombus terrestris,0,,,,0.27,,,acceptable,yes,not_yet_quantified
AME,Apis mellifera,honeybee,Hymenoptera,core,collective_information_external_structure,exact_seed,yes,1,1,0,0,1,0,0,0,0,0,exact_species,Apis mellifera,1,0.000084,26,6.633225795672e-7,0,,exact_species,Apis mellifera,0,,,,8,,,acceptable,yes,not_yet_quantified
