taxon_id,scientific_name,common_name,major_clade,priority,contrast_role,acdb_exact,acdb_behaviors,acdb_domains,literature_exact_rows,literature_related_rows,animaltraits_exact,body_mass_obs_n,brain_mass_obs_n,metabolic_obs_n,anage_exact,maximum_longevity_yrs,female_maturity_days,male_maturity_days,interbirth_interval_days,anage_metabolic_rate_w,anage_quality,neural_exact_rows,forebrain_like_structure,forebrain_like_neurons_million,whole_neurons_million,neural_method,openalex_all,openalex_behavior,openalex_cognition,openalex_social_transmission,openalex_manipulation,openalex_communication,ott_id,ott_matched_name,ott_synonym,exact_evidence_route
HUM,Homo sapiens,human,Primates,core,target_reference,no,0,0,1,0,yes,38,44,0,yes,122.5,4745,5110,639,82.78,high,2,cerebral_cortex,16300,86100,isotropic_fractionator,192133,116150,60084,105743,115942,123088,770315,Homo sapiens,false,yes
PTR,Pan troglodytes,chimpanzee,Primates,core,near_human_dissociation,yes,2,1,1,0,yes,4,4,0,yes,68,3376,2920,840,,acceptable,0,,,,,29434,20450,12188,12842,18869,18573,417950,Pan troglodytes,false,yes
PPA,Pan paniscus,bonobo,Primates,core,near_human_social_tolerance,yes,4,2,0,0,no,0,0,0,yes,55,3194,,1825,,acceptable,0,,,,,7614,5885,3691,3528,5016,5094,158484,Pan paniscus,false,yes
PAB,Pongo abelii,Sumatran_orangutan,Primates,core,orangutan_culture_exact_taxon,yes,3,2,0,1,no,0,0,0,no,,,,,,,0,,,,,4171,2665,1646,1680,2777,2553,770295,Pongo abelii,false,yes
PPY,Pongo pygmaeus,Bornean_orangutan,Primates,extended,orangutan_life_history_exact_taxon,no,0,0,0,1,yes,1,1,0,yes,59,2555,2555,1414,,acceptable,0,,,,,7956,5327,3007,3220,4799,4573,770302,Pongo pygmaeus,false,yes
GGO,Gorilla gorilla,western_gorilla,Primates,core,gorilla_cultural_variation_exact_taxon,no,0,0,0,1,yes,2,1,0,yes,60.1,2829,4015,1397,,acceptable,0,,,,,12075,8226,4251,4865,7554,7194,417965,Gorilla gorilla,false,yes
GBE,Gorilla beringei,eastern_gorilla,Primates,extended,gorilla_phylogenetic_contrast,no,0,0,1,1,no,0,0,0,no,,,,,,,0,,,,,2814,2137,888,1125,1548,1519,351685,Gorilla beringei,false,yes
SLI,Sapajus libidinosus,bearded_capuchin,Primates,core,long_term_stone_tool_record,yes,3,1,0,1,yes,2,2,0,no,,,,,,,0,,,,,1157,894,475,487,724,535,748283,Sapajus libidinosus,false,yes
MFU,Macaca fuscata,Japanese_macaque,Primates,core,culture_vs_reinnovation_control,yes,1,1,0,1,no,0,0,0,yes,38.5,1483,1369,514,,high,0,,,,,8180,5791,3021,2700,4093,4543,689660,Macaca fuscata,false,yes
CJA,Callithrix jacchus,common_marmoset,Primates,core,cooperation_social_tolerance,no,0,0,0,2,no,0,0,0,yes,22.8,477,382,169,0.848,high,0,,,,,14448,8723,4513,4762,7382,8362,1015223,Callithrix jacchus,false,yes
