taxon_id,scientific_name,common_name,major_clade,contrast_role,priority,origin
HUM,Homo sapiens,human,Primates,target_reference,core,v1
PTR,Pan troglodytes,chimpanzee,Primates,near_human_dissociation,core,v1
PPA,Pan paniscus,bonobo,Primates,near_human_social_tolerance,core,v1
PAB,Pongo abelii,Sumatran_orangutan,Primates,orangutan_culture_exact_taxon,core,split_from_v1
PPY,Pongo pygmaeus,Bornean_orangutan,Primates,orangutan_life_history_exact_taxon,extended,split_from_v1
GGO,Gorilla gorilla,western_gorilla,Primates,gorilla_cultural_variation_exact_taxon,core,split_from_v1
GBE,Gorilla beringei,eastern_gorilla,Primates,gorilla_phylogenetic_contrast,extended,split_from_v1
SLI,Sapajus libidinosus,bearded_capuchin,Primates,long_term_stone_tool_record,core,resolved_from_v1
MFU,Macaca fuscata,Japanese_macaque,Primates,culture_vs_reinnovation_control,core,resolved_from_v1
CJA,Callithrix jacchus,common_marmoset,Primates,cooperation_social_tolerance,core,split_from_v1
LRO,Leontopithecus rosalia,golden_lion_tamarin,Primates,teaching_candidate,core,split_from_v1
CME,Corvus moneduloides,New_Caledonian_crow,Aves,convergent_tool_cognition,core,v1
CRA,Corvus corax,common_raven,Aves,convergent_social_cognition,core,v1
KEA,Nestor notabilis,kea,Aves,flexibility_social_learning_low_copy_fidelity,core,v1
CGO,Cacatua goffiniana,Goffins_cockatoo,Aves,parrot_tool_innovation,core,v1
PER,Psittacus erithacus,African_grey_parrot,Aves,referential_vocal_learning,core,v1
MUN,Melopsittacus undulatus,budgerigar,Aves,vocal_learning_neural_convergence,core,v1
TTR,Tursiops truncatus,common_bottlenose_dolphin,Cetacea,cetacean_social_cognition_exact_taxon,core,v1
TAD,Tursiops aduncus,Indo_Pacific_bottlenose_dolphin,Cetacea,sponge_tool_culture_exact_taxon,core,split_from_v1
OOR,Orcinus orca,killer_whale,Cetacea,cultural_repertoire_social_structure,core,v1
PMA,Physeter macrocephalus,sperm_whale,Cetacea,clan_vocal_culture,core,v1
MNO,Megaptera novaeangliae,humpback_whale,Cetacea,song_cultural_transmission,extended,v1
LAF,Loxodonta africana,African_elephant,Proboscidea,long_life_social_memory,core,v1
EMA,Elephas maximus,Asian_elephant,Proboscidea,embodied_problem_solving,core,v1
OVU,Octopus vulgaris,common_octopus,Cephalopoda,cognition_social_learning_short_life,core,v1
BTE,Bombus terrestris,buff_tailed_bumblebee,Hymenoptera,supra_individual_social_learning_small_brain,core,v1
AME,Apis mellifera,honeybee,Hymenoptera,collective_information_signal_learning,core,v1
CLI,Columba livia,rock_pigeon,Aves,cumulative_route_improvement,core,v1
SSU,Suricata suricatta,meerkat,Carnivora,teaching_without_open_ended_culture,core,v1
