candidate_species	source_name	clade	family	body_mass_g	represented_species_n	represented_median_body_mass_g	abs_log_mass_distance	selection_rule
Smicrornis brevirostris	Smicrornis brevirostris	birds	Acanthizidae	5.3	1	5.4	0.01869213301215278	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Gyps rueppellii	Gyps rueppellii	birds	Accipitridae	7399.99	1	7435.99	0.004853076191395189	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Eremophila bilopha	Eremophila bilopha	birds	Alaudidae	38.5	1	39.4	0.02310757501014926	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Chen rossii	Chen rossii	birds	Anatidae	1635.99	1	1683.97	0.0289059752421732	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Columba vitiensis	Columba vitiensis	birds	Columbidae	353.0	1	354.2	0.003393668415436757	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Corvus frugilegus	Corvus frugilegus	birds	Corvidae	452.1	3	448.76	0.00741517062379593	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Emberiza fucata	Emberiza fucata	birds	Emberizidae	19.8	8	19.735	0.0032882285856792315	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Eulacestoma nigropectus	Eulacestoma nigropectus	birds	Falcunculidae	20.0	1	27.94	0.33432708027482505	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Carpodacus erythrinus	Carpodacus erythrinus	birds	Fringillidae	23.97	1	23.81	0.006697387947521616	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Delichon dasypus	Delichon dasypus	birds	Hirundinidae	18.0	1	17.91	0.005012541823544048	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Quiscalus lugubris	Quiscalus lugubris	birds	Icteridae	63.03	2	62.855000000000004	0.0027803171582245767	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Larus thayeri	Larus thayeri	birds	Laridae	942.48	1	922.78	0.021123846041748884	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Myiomela albiventris	Myiomela albiventris	birds	Muscicapidae	38.46	1	38.46	0.0	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Ardeotis nigriceps	Ardeotis nigriceps	birds	Otididae	7235.31	1	6759.92	0.06796215077042334	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Parus leucomelas	Parus leucomelas	birds	Paridae	16.1	1	16.25	0.00927363678532922	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Montifringilla nivalis	Montifringilla nivalis	birds	Passeridae	36.9	2	34.435	0.06913806204982009	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Rhizothera longirostris	Rhizothera longirostris	birds	Phasianidae	746.72	1	751.72	0.006673631986894968	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Ploceus megarhynchus	Ploceus megarhynchus	birds	Ploceidae	34.31	1	34.54	0.006681215848173938	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
Poicephalus gulielmi	Poicephalus gulielmi	birds	Psittacidae	274.59	5	275.0	0.0014920216017744181	same_family_nearest_median_body_mass_not_in_ACDB_ASNR_pool
