scientific_name,pool_role,current_panel,acdb,asnr,source_feasibility,biological_proxy_blocks,geometry_dimensions,body_mass_g_best,max_longevity_yrs,female_maturity_days,at_brain_kg,relative_brain_resid_class,at_metabolic_w,metabolic_rate_w_anage,diet_entropy,animal_diet_fraction,social_group_size,population_group_size,population_density_km2,network_nodes,network_density,network_clustering,network_qrel,asnr_network_count,G_life_history_proxy,H_neural_energy_proxy,I_ecology_proxy,J_demography_proxy,F_network_proxy
Acris crepitans,data_rich_underrepresented_clade_calibration,no,no,no,2,2,2,0.3,4.9,,4.43408e-06,,,,,,,,,,,,,,1,1,0,0,0
Agkistrodon contortrix,asnr_source_candidate,no,no,yes,3,2,6,950.0,29.8,730.0,,,,,,,,,,59.0,0.026,0.0,0.725,1,1,0,0,0,1
Ailuroedus buccoides,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,138.0,,,,,,,0.8609640474436813,0.6,,,,,,,,,0,0,1,0,0
Aldabrachelys gigantea,theory_discriminating_candidate,no,no,no,1,1,3,117200.0,152.0,9131.0,,,,,,,,,,,,,,,1,0,0,0,0
Alouatta caraya,asnr_source_candidate,no,no,yes,6,5,11,5862.46,32.4,1167.0,0.04815,0.06165642603239618,,,0.9709505944546688,0.0,8.9,,80.0,8.0,0.214,0.0,0.4005,5,1,1,1,1,1
Alouatta guariba,asnr_source_candidate,no,no,yes,4,3,8,5188.33,,,,,,,0.9709505944546688,0.0,7.4,,89.09,5.0,1.0,1.0,,1,0,0,1,1,1
Aphelocoma californica,theory_discriminating_candidate,no,no,no,2,2,5,85.74,15.8,545.0,,,,,0.9756149631508356,0.6,,,,,,,,,1,0,1,0,0
Apis mellifera,current_deep_panel,yes,yes,no,3,2,2,0.08399999999999999,8.0,,6.633225795672e-07,,,,,,,,,,,,,,1,1,0,0,0
Aquarius remigis,asnr_source_candidate,no,no,yes,2,1,3,,,,,,,,,,,,,56.0,0.0785,0.0,0.494,8,0,0,0,0,1
Ardeotis nigriceps,database_unrepresented_family_mass_calibration,no,no,no,1,1,3,7235.31,,,,,,,0.9756149631508356,0.4,,,,,,,,,0,0,1,0,0
