tier1_rank,scientific_name,pool_role,tier1_selection_reason,tier1_selection_score,biological_proxy_blocks,geometry_dimensions,source_feasibility,acdb,asnr,body_mass_g_best,max_longevity_yrs,diet_entropy,social_group_size,network_nodes
1,Aldabrachelys gigantea,theory_discriminating_candidate,mandatory_theory_discriminating,,1,3,1,no,no,117200.0,152.0,,,
2,Aphelocoma californica,theory_discriminating_candidate,mandatory_theory_discriminating,,2,5,2,no,no,85.74,15.8,0.9756149631508356,,
3,Atta cephalotes,theory_discriminating_candidate,mandatory_theory_discriminating,,0,0,0,no,no,,,,,
4,Canis lupus,theory_discriminating_candidate,mandatory_theory_discriminating,,4,7,4,no,no,32183.33,20.6,0.0,,
5,Castor canadensis,theory_discriminating_candidate,mandatory_theory_discriminating,,4,8,4,no,no,21820.0,23.4,0.0,5.1,
6,Enhydra lutris,theory_discriminating_candidate,mandatory_theory_discriminating,,4,6,4,no,no,23500.0,27.0,1.0,,
7,Heterocephalus glaber,theory_discriminating_candidate,mandatory_theory_discriminating,,4,6,4,no,no,55.0,31.0,0.0,,
8,Labroides dimidiatus,theory_discriminating_candidate,mandatory_theory_discriminating,,1,1,1,no,no,,4.0,,,
9,Lycaon pictus,theory_discriminating_candidate,mandatory_theory_discriminating,,4,6,4,no,no,22050.07,17.0,0.0,,
10,Portia fimbriata,theory_discriminating_candidate,mandatory_theory_discriminating,,0,0,0,no,no,,,,,
11,Ptilonorhynchus violaceus,theory_discriminating_candidate,mandatory_theory_discriminating,,3,6,3,no,no,218.91,25.1,0.881353453268883,,
12,Rattus norvegicus,theory_discriminating_candidate,mandatory_theory_discriminating,,3,6,3,no,no,338.33,3.8,0.9232196723355078,,
13,Saccopteryx bilineata,theory_discriminating_candidate,mandatory_theory_discriminating,,3,6,3,no,no,7.8,6.0,0.0,,
14,Taeniopygia guttata,theory_discriminating_candidate,mandatory_theory_discriminating,,3,6,3,no,no,12.04,12.0,0.0,,
15,Acris crepitans,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,2,2,2,no,no,0.3,4.9,,,
16,Birgus latro,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,1,0,1,no,no,,,,,
17,Camponotus sericeiventris,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,1,1,1,no,no,0.038794999999999996,,,,
18,Chelydra serpentina,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,2,3,2,no,no,10250.0,47.0,,,
19,Ctenophorus nuchalis,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,1,1,1,no,no,30.245,,,,
20,Hyla versicolor,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,2,3,2,no,no,7.2,7.8,,,
21,Metazygia rogenhoferi,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,1,1,1,no,no,0.0166,,,,
22,Natrix natrix,data_rich_underrepresented_clade_calibration,mandatory_underrepresented_clade,,2,3,2,no,no,96.25,20.0,,,
