scientific_name,pool_role,current_panel,acdb,asnr,calibration_family,calibration_clade,calibration_body_mass_g,calibration_reference_median_mass_g,calibration_abs_log_mass_distance,source_names,notes
Agkistrodon contortrix,asnr_source_candidate,no,no,yes,,,,,,Agkistrodon contortrix,
Ailuroedus buccoides,database_unrepresented_family_mass_calibration,no,no,no,Ptilonorhynchidae,birds,138.0,139.99,0.01431730632952899,Ailuroedus buccoides,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Alouatta caraya,asnr_source_candidate,no,no,yes,,,,,,Alouatta caraya,
Alouatta guariba,asnr_source_candidate,no,no,yes,,,,,,Alouatta guariba,
Apis mellifera,current_deep_panel,yes,yes,no,,,,,,Apis mellifera,
Aquarius remigis,asnr_source_candidate,no,no,yes,,,,,,Aquarius remigis,
Ardeotis nigriceps,database_unrepresented_family_mass_calibration,no,no,no,Otididae,birds,7235.31,6759.92,0.06796215077042334,Ardeotis nigriceps,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Argya squamiceps,asnr_source_candidate,no,no,yes,,,,,,Argya squamiceps,
Astatotilapia burtoni,asnr_source_candidate,no,no,yes,,,,,,Astatotilapia burtoni,
Ateles geoffroyi,acdb_asnr_overlap,no,yes,yes,,,,,,Ateles geoffroyi,
Ateles hybridus,asnr_source_candidate,no,no,yes,,,,,,Ateles hybridus,
Ateles marginatus,database_unrepresented_family_mass_calibration,no,no,no,Atelidae,mammals,5999.98,5862.46,0.02318682516776427,Ateles marginatus,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Balaenoptera bonaerensis,database_unrepresented_family_mass_calibration,no,no,no,Balaenopteridae,mammals,35089915.83,50000000.0,0.35410921452498556,Balaenoptera bonaerensis,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Balaenoptera edeni,acdb_source_candidate,no,yes,no,,,,,,Balaenoptera edeni,
Balaenoptera musculus,acdb_source_candidate,no,yes,no,,,,,,Balaenoptera musculus,
Balaenoptera physalus,acdb_source_candidate,no,yes,no,,,,,,Balaenoptera physalus,
Berardius arnuxii,database_unrepresented_family_mass_calibration,no,no,no,Ziphiidae,mammals,7000000.0,11380000.0,0.48594727964287365,Berardius arnuxii,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Berardius bairdii,acdb_source_candidate,no,yes,no,,,,,,Berardius bairdii,
Bison bison,asnr_source_candidate,no,no,yes,,,,,,Bison bison,
Bolitotherus cornutus,asnr_source_candidate,no,no,yes,,,,,,Bolitotherus cornutus,
Bombus terrestris,current_deep_panel,yes,no,no,,,,,,Bombus terrestris,
Bos taurus,asnr_source_candidate,no,no,yes,,,,,,Bos taurus,
Brachyteles arachnoides,asnr_source_candidate,no,no,yes,,,,,,Brachyteles arachnoides,
Branta leucopsis,asnr_source_candidate,no,no,yes,,,,,,Branta leucopsis,
Cacatua goffiniana,current_deep_panel,yes,no,no,,,,,,Cacatua goffiniana,
Cacicus cela,acdb_source_candidate,no,yes,no,,,,,,Cacicus cela vitellinus,
Callimico goeldii,database_unrepresented_family_mass_calibration,no,no,no,Cebidae,mammals,480.0,482.75,0.005712817406687165,Callimico goeldii,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Callithrix jacchus,current_deep_panel,yes,no,no,,,,,,Callithrix jacchus,
Camponotus fellah,asnr_source_candidate,no,no,yes,,,,,,Camponotus fellah,
Camponotus pennsylvanicus,asnr_source_candidate,no,no,yes,,,,,,Camponotus pennsylvanicus,
Campylorhynchus nuchalis,acdb_source_candidate,no,yes,no,,,,,,Campylorhynchus nuchalis,
Canis familiaris,asnr_source_candidate,no,no,yes,,,,,,Canis familiaris,
Carpodacus erythrinus,database_unrepresented_family_mass_calibration,no,no,no,Fringillidae,birds,23.97,23.81,0.006697387947521616,Carpodacus erythrinus,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Cebus capucinus,acdb_source_candidate,no,yes,no,,,,,,Cebus capucinus,
Cebus imitator,acdb_source_candidate,no,yes,no,,,,,,Cebus imitator,
Cercopithecus campbelli,asnr_source_candidate,no,no,yes,,,,,,Cercopithecus campbelli,
Cervus canadensis,acdb_source_candidate,no,yes,no,,,,,,Cervus canadensis,
Chen rossii,database_unrepresented_family_mass_calibration,no,no,no,Anatidae,birds,1635.99,1683.97,0.0289059752421732,Chen rossii,Absence from ACDB/ASNR is not biological absence; selected only as same-family nearest-median-body-mass comparator.
Chersophilus duponti,acdb_source_candidate,no,yes,no,,,,,,Chersophilus duponti,
Chlamydera maculata,acdb_source_candidate,no,yes,no,,,,,,Chlamydera maculata,
Cinnyris osea,acdb_source_candidate,no,yes,no,,,,,,Cinnyris osea,
