raw_name,candidate_species,include,normalization,current_panel,acdb,asnr,acdb_class,acdb_order,acdb_family,asnr_class,asnr_network_rows
Agkistrodon contortrix,Agkistrodon contortrix,yes,as_supplied_binomial,no,no,yes,,,,Reptilia,1
Alouatta caraya,Alouatta caraya,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,5
Alouatta guariba,Alouatta guariba,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Apis mellifera,Apis mellifera,yes,as_supplied_binomial,yes,yes,no,Insecta,Hymenoptera,Apidae,,0
Aquarius remigis,Aquarius remigis,yes,as_supplied_binomial,no,no,yes,,,,Insecta,8
Argya squamiceps,Argya squamiceps,yes,as_supplied_binomial,no,no,yes,,,,Aves,112
Astatotilapia burtoni,Astatotilapia burtoni,yes,as_supplied_binomial,no,no,yes,,,,Actinopterygii,56
Ateles geoffroyi,Ateles geoffroyi,yes,as_supplied_binomial,no,yes,yes,Mammalia,Primates,Atelidae,Mammalia,1
Ateles hybridus,Ateles hybridus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Balaenoptera edeni,Balaenoptera edeni,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Balaenopteridae,,0
Balaenoptera musculus,Balaenoptera musculus,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Balaenopteridae,,0
Balaenoptera physalus,Balaenoptera physalus,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Balaenopteridae,,0
Berardius bairdii,Berardius bairdii,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Hyperoodontidae,,0
Bison bison,Bison bison,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Bolitotherus cornutus,Bolitotherus cornutus,yes,as_supplied_binomial,no,no,yes,,,,Insecta,12
Bombus terrestris,Bombus terrestris,yes,as_supplied_binomial,yes,no,no,,,,,0
Bos taurus,Bos taurus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Brachyteles arachnoides,Brachyteles arachnoides,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Branta leucopsis,Branta leucopsis,yes,as_supplied_binomial,no,no,yes,,,,Aves,2
Cacatua goffiniana,Cacatua goffiniana,yes,as_supplied_binomial,yes,no,no,,,,,0
Cacicus cela vitellinus,Cacicus cela,yes,collapse_trinomial_to_species,no,yes,no,Aves,Passeriformes,Icteridae,,0
Callithrix jacchus,Callithrix jacchus,yes,as_supplied_binomial,yes,no,no,,,,,0
Camponotus fellah,Camponotus fellah,yes,as_supplied_binomial,no,no,yes,,,,Insecta,244
Camponotus pennsylvanicus,Camponotus pennsylvanicus,yes,as_supplied_binomial,no,no,yes,,,,Insecta,16
Campylorhynchus nuchalis,Campylorhynchus nuchalis,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Troglodytidae,,0
Canis familiaris,Canis familiaris,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,3
Cebus capucinus,Cebus capucinus,yes,as_supplied_binomial,no,yes,no,Mammalia,Primates,Cebidae,,0
Cebus imitator,Cebus imitator,yes,as_supplied_binomial,no,yes,no,Mammalia,Primates,Cebidae,,0
Cercopithecus campbelli,Cercopithecus campbelli,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Cervus canadensis,Cervus canadensis,yes,as_supplied_binomial,no,yes,no,Mammalia,Artiodactyla,Cervidae,,0
Chersophilus duponti,Chersophilus duponti,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Alaudidae,,0
Chlamydera maculata,Chlamydera maculata,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Ptilonorhynchidae,,0
Cinnyris osea,Cinnyris osea,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Nectariniidae,,0
Colobus guereza,Colobus guereza,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Columba livia,Columba livia,yes,as_supplied_binomial,yes,no,no,,,,,0
Corvus brachyrhynchos,Corvus brachyrhynchos,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Corvidae,,0
Corvus corax,Corvus corax,yes,as_supplied_binomial,yes,yes,no,Aves,Passeriformes,Corvidae,,0
Corvus moneduloides,Corvus moneduloides,yes,as_supplied_binomial,yes,yes,no,Aves,Passeriformes,Corvidae,,0
Crocuta crocuta,Crocuta crocuta,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,3
Cryptoprocta ferox,Cryptoprocta ferox,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Ctenomys opimus,Ctenomys opimus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,4
Cyanistes caeruleus,Cyanistes caeruleus,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Paridae,,0
Delphinapterus leucas,Delphinapterus leucas,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Monodontidae,,0
Dendrobates pumilio,Dendrobates pumilio,yes,as_supplied_binomial,no,no,yes,,,,Amphibia,1
Desmodus rotundus,Desmodus rotundus,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Dipodomys spectabilis,Dipodomys spectabilis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Elephas maximus,Elephas maximus,yes,as_supplied_binomial,yes,no,yes,,,,Mammalia,1
Epidalea calamita,Epidalea calamita,yes,as_supplied_binomial,no,no,yes,,,,Amphibia,1
Equus grevyi,Equus grevyi,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Erythrocebus patas,Erythrocebus patas,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,1
Eschrichtius robustus,Eschrichtius robustus,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Eschrichtiidae,,0
Eubalaena australis,Eubalaena australis,yes,as_supplied_binomial,no,yes,no,Mammalia,Cetacea,Balaenidae,,0
Falcunculus frontatus,Falcunculus frontatus,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Pachycephalidae,,0
Fringilla coelebs,Fringilla coelebs,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Fringillidae,,0
Gallinago media,Gallinago media,yes,as_supplied_binomial,no,no,yes,,,,Aves,4
Gallus domesticus,Gallus domesticus,yes,as_supplied_binomial,no,no,yes,,,,Aves,1
Gallus gallus,Gallus gallus,yes,as_supplied_binomial,no,no,yes,,,,Aves,20
Gasterosteus aculeatus,Gasterosteus aculeatus,yes,as_supplied_binomial,no,no,yes,,,,Actinopterygii,36
Gerygone fusca,Gerygone fusca,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Acanthizidae,,0
Gopherus agassizii,Gopherus agassizii,yes,as_supplied_binomial,no,no,yes,,,,Reptilia,53
Gorilla beringei,Gorilla beringei,yes,as_supplied_binomial,yes,no,no,,,,,0
Gorilla beringei beringei,Gorilla beringei,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Gorilla gorilla,Gorilla gorilla,yes,as_supplied_binomial,yes,no,no,,,,,0
Gorilla gorilla gorilla,Gorilla gorilla,yes,collapse_trinomial_to_species,no,yes,no,Mammalia,Primates,Hominidae,,0
Gryllus campestris,Gryllus campestris,yes,as_supplied_binomial,no,no,yes,,,,Insecta,3
Gyps fulvus,Gyps fulvus,yes,as_supplied_binomial,no,yes,no,Aves,Accipitriformes,Accipitridae,,0
Haemorhous mexicanus,Haemorhous mexicanus,yes,as_supplied_binomial,no,no,yes,,,,Aves,1
Helogale parvula,Helogale parvula,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,14
Hipposideros larvatus,Hipposideros larvatus,yes,as_supplied_binomial,no,yes,no,Mammalia,Chiroptera,Hipposideridae,,0
Hirundo rustica,Hirundo rustica,yes,as_supplied_binomial,no,no,yes,,,,Aves,2
Homo sapiens,Homo sapiens,yes,as_supplied_binomial,yes,no,no,,,,,0
Junco hyemalis,Junco hyemalis,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Passerellidae,,0
Larus occidentalis,Larus occidentalis,yes,as_supplied_binomial,no,yes,no,Aves,Charadriiformes,Laridae,,0
Laupala cerasina,Laupala cerasina,yes,as_supplied_binomial,no,no,yes,,,,Insecta,1
Lemur catta,Lemur catta,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,2
Leontopithecus rosalia,Leontopithecus rosalia,yes,as_supplied_binomial,yes,no,no,,,,,0
Loxigilla noctis,Loxigilla noctis,yes,as_supplied_binomial,no,yes,no,Aves,Passeriformes,Thraupidae,,0
Loxodonta africana,Loxodonta africana,yes,as_supplied_binomial,yes,yes,no,Mammalia,Proboscidea,Elephantidae,,0
Macaca arctoides,Macaca arctoides,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,2
Macaca assamensis,Macaca assamensis,yes,as_supplied_binomial,no,no,yes,,,,Mammalia,2
