candidate_species,current_panel,acdb,asnr,source_name_count,raw_names,normalization_flags,acdb_class,acdb_order,acdb_family,asnr_class,asnr_network_rows
Agkistrodon contortrix,no,no,yes,1,Agkistrodon contortrix,as_supplied_binomial,,,,Reptilia,1
Alouatta caraya,no,no,yes,1,Alouatta caraya,as_supplied_binomial,,,,Mammalia,5
Alouatta guariba,no,no,yes,1,Alouatta guariba,as_supplied_binomial,,,,Mammalia,1
Apis mellifera,yes,yes,no,1,Apis mellifera,as_supplied_binomial,Insecta,Hymenoptera,Apidae,,0
Aquarius remigis,no,no,yes,1,Aquarius remigis,as_supplied_binomial,,,,Insecta,8
Argya squamiceps,no,no,yes,1,Argya squamiceps,as_supplied_binomial,,,,Aves,112
Astatotilapia burtoni,no,no,yes,1,Astatotilapia burtoni,as_supplied_binomial,,,,Actinopterygii,56
Ateles geoffroyi,no,yes,yes,1,Ateles geoffroyi,as_supplied_binomial,Mammalia,Primates,Atelidae,Mammalia,1
Ateles hybridus,no,no,yes,1,Ateles hybridus,as_supplied_binomial,,,,Mammalia,1
Balaenoptera edeni,no,yes,no,1,Balaenoptera edeni,as_supplied_binomial,Mammalia,Cetacea,Balaenopteridae,,0
Balaenoptera musculus,no,yes,no,1,Balaenoptera musculus,as_supplied_binomial,Mammalia,Cetacea,Balaenopteridae,,0
Balaenoptera physalus,no,yes,no,1,Balaenoptera physalus,as_supplied_binomial,Mammalia,Cetacea,Balaenopteridae,,0
Berardius bairdii,no,yes,no,1,Berardius bairdii,as_supplied_binomial,Mammalia,Cetacea,Hyperoodontidae,,0
Bison bison,no,no,yes,1,Bison bison,as_supplied_binomial,,,,Mammalia,1
Bolitotherus cornutus,no,no,yes,1,Bolitotherus cornutus,as_supplied_binomial,,,,Insecta,12
Bombus terrestris,yes,no,no,1,Bombus terrestris,as_supplied_binomial,,,,,0
Bos taurus,no,no,yes,1,Bos taurus,as_supplied_binomial,,,,Mammalia,1
Brachyteles arachnoides,no,no,yes,1,Brachyteles arachnoides,as_supplied_binomial,,,,Mammalia,1
Branta leucopsis,no,no,yes,1,Branta leucopsis,as_supplied_binomial,,,,Aves,2
Cacatua goffiniana,yes,no,no,1,Cacatua goffiniana,as_supplied_binomial,,,,,0
Cacicus cela,no,yes,no,1,Cacicus cela vitellinus,collapse_trinomial_to_species,Aves,Passeriformes,Icteridae,,0
Callithrix jacchus,yes,no,no,1,Callithrix jacchus,as_supplied_binomial,,,,,0
Camponotus fellah,no,no,yes,1,Camponotus fellah,as_supplied_binomial,,,,Insecta,244
Camponotus pennsylvanicus,no,no,yes,1,Camponotus pennsylvanicus,as_supplied_binomial,,,,Insecta,16
Campylorhynchus nuchalis,no,yes,no,1,Campylorhynchus nuchalis,as_supplied_binomial,Aves,Passeriformes,Troglodytidae,,0
Canis familiaris,no,no,yes,1,Canis familiaris,as_supplied_binomial,,,,Mammalia,3
Cebus capucinus,no,yes,no,1,Cebus capucinus,as_supplied_binomial,Mammalia,Primates,Cebidae,,0
Cebus imitator,no,yes,no,1,Cebus imitator,as_supplied_binomial,Mammalia,Primates,Cebidae,,0
Cercopithecus campbelli,no,no,yes,1,Cercopithecus campbelli,as_supplied_binomial,,,,Mammalia,1
Cervus canadensis,no,yes,no,1,Cervus canadensis,as_supplied_binomial,Mammalia,Artiodactyla,Cervidae,,0
Chersophilus duponti,no,yes,no,1,Chersophilus duponti,as_supplied_binomial,Aves,Passeriformes,Alaudidae,,0
Chlamydera maculata,no,yes,no,1,Chlamydera maculata,as_supplied_binomial,Aves,Passeriformes,Ptilonorhynchidae,,0
Cinnyris osea,no,yes,no,1,Cinnyris osea,as_supplied_binomial,Aves,Passeriformes,Nectariniidae,,0
Colobus guereza,no,no,yes,1,Colobus guereza,as_supplied_binomial,,,,Mammalia,1
Columba livia,yes,no,no,1,Columba livia,as_supplied_binomial,,,,,0
Corvus brachyrhynchos,no,yes,no,1,Corvus brachyrhynchos,as_supplied_binomial,Aves,Passeriformes,Corvidae,,0
Corvus corax,yes,yes,no,1,Corvus corax,as_supplied_binomial,Aves,Passeriformes,Corvidae,,0
Corvus moneduloides,yes,yes,no,1,Corvus moneduloides,as_supplied_binomial,Aves,Passeriformes,Corvidae,,0
Crocuta crocuta,no,no,yes,1,Crocuta crocuta,as_supplied_binomial,,,,Mammalia,3
Cryptoprocta ferox,no,no,yes,1,Cryptoprocta ferox,as_supplied_binomial,,,,Mammalia,1
Ctenomys opimus,no,no,yes,1,Ctenomys opimus,as_supplied_binomial,,,,Mammalia,4
Cyanistes caeruleus,no,yes,no,1,Cyanistes caeruleus,as_supplied_binomial,Aves,Passeriformes,Paridae,,0
Delphinapterus leucas,no,yes,no,1,Delphinapterus leucas,as_supplied_binomial,Mammalia,Cetacea,Monodontidae,,0
Dendrobates pumilio,no,no,yes,1,Dendrobates pumilio,as_supplied_binomial,,,,Amphibia,1
Desmodus rotundus,no,no,yes,1,Desmodus rotundus,as_supplied_binomial,,,,Mammalia,1
Dipodomys spectabilis,no,no,yes,1,Dipodomys spectabilis,as_supplied_binomial,,,,Mammalia,1
Elephas maximus,yes,no,yes,1,Elephas maximus,as_supplied_binomial,,,,Mammalia,1
Epidalea calamita,no,no,yes,1,Epidalea calamita,as_supplied_binomial,,,,Amphibia,1
Equus grevyi,no,no,yes,1,Equus grevyi,as_supplied_binomial,,,,Mammalia,1
Erythrocebus patas,no,no,yes,1,Erythrocebus patas,as_supplied_binomial,,,,Mammalia,1
Eschrichtius robustus,no,yes,no,1,Eschrichtius robustus,as_supplied_binomial,Mammalia,Cetacea,Eschrichtiidae,,0
Eubalaena australis,no,yes,no,1,Eubalaena australis,as_supplied_binomial,Mammalia,Cetacea,Balaenidae,,0
Falcunculus frontatus,no,yes,no,1,Falcunculus frontatus,as_supplied_binomial,Aves,Passeriformes,Pachycephalidae,,0
Fringilla coelebs,no,yes,no,1,Fringilla coelebs,as_supplied_binomial,Aves,Passeriformes,Fringillidae,,0
Gallinago media,no,no,yes,1,Gallinago media,as_supplied_binomial,,,,Aves,4
Gallus domesticus,no,no,yes,1,Gallus domesticus,as_supplied_binomial,,,,Aves,1
Gallus gallus,no,no,yes,1,Gallus gallus,as_supplied_binomial,,,,Aves,20
Gasterosteus aculeatus,no,no,yes,1,Gasterosteus aculeatus,as_supplied_binomial,,,,Actinopterygii,36
Gerygone fusca,no,yes,no,1,Gerygone fusca,as_supplied_binomial,Aves,Passeriformes,Acanthizidae,,0
Gopherus agassizii,no,no,yes,1,Gopherus agassizii,as_supplied_binomial,,,,Reptilia,53
Gorilla beringei,yes,yes,no,2,Gorilla beringei; Gorilla beringei beringei,as_supplied_binomial; collapse_trinomial_to_species,Mammalia,Primates,Hominidae,,0
Gorilla gorilla,yes,yes,no,2,Gorilla gorilla; Gorilla gorilla gorilla,as_supplied_binomial; collapse_trinomial_to_species,Mammalia,Primates,Hominidae,,0
Gryllus campestris,no,no,yes,1,Gryllus campestris,as_supplied_binomial,,,,Insecta,3
Gyps fulvus,no,yes,no,1,Gyps fulvus,as_supplied_binomial,Aves,Accipitriformes,Accipitridae,,0
Haemorhous mexicanus,no,no,yes,1,Haemorhous mexicanus,as_supplied_binomial,,,,Aves,1
Helogale parvula,no,no,yes,1,Helogale parvula,as_supplied_binomial,,,,Mammalia,14
Hipposideros larvatus,no,yes,no,1,Hipposideros larvatus,as_supplied_binomial,Mammalia,Chiroptera,Hipposideridae,,0
Hirundo rustica,no,no,yes,1,Hirundo rustica,as_supplied_binomial,,,,Aves,2
Homo sapiens,yes,no,no,1,Homo sapiens,as_supplied_binomial,,,,,0
Junco hyemalis,no,yes,no,1,Junco hyemalis,as_supplied_binomial,Aves,Passeriformes,Passerellidae,,0
Larus occidentalis,no,yes,no,1,Larus occidentalis,as_supplied_binomial,Aves,Charadriiformes,Laridae,,0
Laupala cerasina,no,no,yes,1,Laupala cerasina,as_supplied_binomial,,,,Insecta,1
Lemur catta,no,no,yes,1,Lemur catta,as_supplied_binomial,,,,Mammalia,2
Leontopithecus rosalia,yes,no,no,1,Leontopithecus rosalia,as_supplied_binomial,,,,,0
Loxigilla noctis,no,yes,no,1,Loxigilla noctis,as_supplied_binomial,Aves,Passeriformes,Thraupidae,,0
Loxodonta africana,yes,yes,no,1,Loxodonta africana,as_supplied_binomial,Mammalia,Proboscidea,Elephantidae,,0
