query_name,resolved_name,ott_id,rank,resolution_status,analysis_rule,n_tnrs_matches
Acris crepitans,Acris crepitans,59141,species,clean_self,exact_species_terminal,1
Agkistrodon contortrix,Agkistrodon contortrix,27080,species,clean_self,exact_species_terminal,1
Ailuroedus buccoides,Ailuroedus buccoides,257441,species,clean_self,exact_species_terminal,1
Aldabrachelys gigantea,Aldabrachelys gigantea,93887,species,clean_self,exact_species_terminal,1
Alouatta caraya,Alouatta caraya,791697,species,clean_self,exact_species_terminal,1
Alouatta guariba,Alouatta guariba,558069,species,clean_self,exact_species_terminal,1
Aphelocoma californica,Aphelocoma californica,641524,species,clean_self,exact_species_terminal,1
Apis mellifera,Apis mellifera,461645,species,clean_self,exact_species_terminal,1
Aquarius remigis,Aquarius remigis,436657,species,clean_self,exact_species_terminal,1
Ardeotis nigriceps,Ardeotis nigriceps,976081,species,clean_self,exact_species_terminal,1
Argya squamiceps,Argya squamiceps,861275,species,clean_self,exact_species_terminal,1
Astatotilapia burtoni,Haplochromis burtoni,710025,species,accept_explicit_synonym,preserve_source_name_with_ott_crosswalk,1
Ateles geoffroyi,Ateles geoffroyi,791691,species,clean_self,exact_species_terminal,1
Ateles hybridus,Ateles hybridus,645692,species,clean_self,exact_species_terminal,1
Ateles marginatus,Ateles marginatus,3607557,species,clean_self,exact_species_terminal,1
Atta cephalotes,Atta cephalotes,709966,species,clean_self,exact_species_terminal,1
Balaenoptera bonaerensis,Balaenoptera bonaerensis,44568,species,clean_self,exact_species_terminal,1
Balaenoptera edeni,Balaenoptera edeni,800331,species,clean_self,exact_species_terminal,1
Balaenoptera musculus,Balaenoptera musculus,226190,species,clean_self,exact_species_terminal,2
Balaenoptera physalus,Balaenoptera physalus,226193,species,clean_self,exact_species_terminal,1
Berardius arnuxii,Berardius arnuxii,1021375,species,clean_self,exact_species_terminal,1
Berardius bairdii,Berardius bairdii,1003906,species,clean_self,exact_species_terminal,1
Birgus latro,Birgus latro,644678,species,clean_self,exact_species_terminal,1
Bison bison,Bison bison,907693,species,clean_self,exact_species_terminal,1
