scientific_name,module_id,evidence_state,evidence_scope,source_id,doi,trait_name,year,claim_limit
Aldabrachelys gigantea,F,measured_context,exact_species,pmcid:PMC8868148,10.3390/ani12040419,variable aggregation / small herds; agonistic behaviour reported virtually absent,2022,"Social-architecture context, not evidence of cooperative cognition or cultural transmission."
Aphelocoma californica,B,positive,exact_species,pmcid:PMC8847367,10.1038/s41598-022-06496-x,wild social learning / use of social information,2022,"Direct wild experiment. Social information affected behaviour, but the effect could be avoidance rather than copying."
Aphelocoma californica,C,positive_proxy,exact_species,pmcid:PMC2781959,10.1098/rsbl.2009.0330,audience-sensitive concealment of auditory information,2009,Supports audience-sensitive communication/information management; not evidence for vocal production learning or compositional signalling.
Aphelocoma californica,D,positive_proxy,exact_species,pmcid:PMC5054065,10.1007/s10071-016-1018-x,string manipulation to obtain reward,2016,Direct object/string manipulation; does not establish habitual tool manufacture.
Aphelocoma californica,E,positive,exact_species,pmcid:PMC1810099,10.1098/rsbl.2004.0190,food caching and cache relocation,2004,Caches are persistent externalized environmental traces; this does not by itself establish cumulative artifact traditions.
Aphelocoma californica,F,measured_context,exact_species,pmcid:PMC8847367,10.1038/s41598-022-06496-x,"pair-bonded monogamy, territoriality, relatively asocial adult structure",2022,Measures social architecture as relatively low/territorial compared with Mexican jays; not a positive 'cooperation score'.
Atta cephalotes,C,positive,exact_species,pmid:4833350,10.1016/0022-1910(74)90186-3,trail pheromone communication / trail following,1974,Direct chemical communication evidence; not evidence of symbolic or compositional communication.
Atta cephalotes,D,positive,exact_species,pmid:28313583,10.1007/BF00317902,leaf cutting and load-size manipulation,1994,Direct object modification/manipulation in foraging; not individual tool manufacture.
Canis lupus,A,positive_proxy,exact_species_comparative,pmcid:PMC5601471,10.1038/s41598-017-12055-6,physical/social cognition task battery,2017,Direct wolf cognition measurement in dog-wolf comparison; not a global generative-cognition score.
Canis lupus,B,positive,exact_species_comparative,pmcid:PMC3906065,10.1371/journal.pone.0086559,conspecific imitation/social learning,2014,Direct imitation/social-learning evidence; not evidence of stable multigenerational culture.
Canis lupus,C,measured_subspecies,subspecies_Canis_lupus_pallipes,pmcid:PMC6822943,10.1371/journal.pone.0216186,vocal repertoire and communication,2019,Direct evidence from Indian wolf subspecies; do not generalize repertoire parameters to all Canis lupus without uncertainty.
Canis lupus,D,positive_with_uncertainty,exact_species_field_observation,pmcid:PMC12622305,10.1002/ece3.72348,potential tool use / crab-trap pulling,2025,Field evidence is explicitly framed as potential tool use; retain uncertainty and do not treat as established habitual technology.
Castor canadensis,C,positive,exact_species,pmid:24415179,10.1007/BF00994781,scent communication via castor sacs/anal glands,1982,Direct chemical-communication evidence; not symbolic/compositional communication.
Castor canadensis,D,positive_proxy,exact_species_field,doi:10.1101/2022.06.22.497031,10.1101/2022.06.22.497031,dam construction / vegetation material selection,2022,Direct construction/material-selection context; preprint and not a cognitive manipulation experiment.
Castor canadensis,F,measured_context,exact_species_in_comparative_field_study,pmcid:PMC7771123,10.1002/ece3.6980,monogamy territoriality and density-dependent intraspecific aggression,2020,"Measures social architecture/context, not cooperation or distributed cognition."
Enhydra lutris,C,measured_subspecies,subspecies_Enhydra_lutris_nereis,pmid:22278472,10.1007/978-1-4419-7311-5_35,sound production and reception,2012,Direct southern sea-otter acoustic evidence; not vocal production learning.
Enhydra lutris,E,positive,exact_species_field,pmcid:PMC6418163,10.1038/s41598-019-39902-y,reused stone anvils leaving persistent archaeological traces,2019,Persistent externalized physical traces from habitual tool use; not evidence of cumulative technological improvement.
Heterocephalus glaber,D,positive,exact_species,pmid:7241605,10.1002/jmor.1051680107,specialized digging / soil manipulation,1981,Direct embodied excavation behavior; not tool manufacture.
Heterocephalus glaber,E,positive_proxy,exact_species_experimental_context,pmcid:PMC3434143,10.1371/journal.pone.0044584,coordinated soil distribution in simulated burrow environment,2012,Supports distributed external modification/burrow work; simulated setting does not directly quantify persistence of wild burrow structures.
