scientific_name,retrieval_rank,paper_id,title,screening_status,tested_negative_candidate
Aldabrachelys gigantea,1,pmid:25716720,Horses fail to use social learning when solving spatial detour tasks.,pending,unknown
Aldabrachelys gigantea,2,pmcid:PMC11132989,Chimpanzees use social information to acquire a skill they fail to innovate.,pending,unknown
Aldabrachelys gigantea,3,pmcid:PMC5765995,Acquisition of a socially learned tool use sequence in chimpanzees: Implications for cumulative culture.,pending,unknown
Aldabrachelys gigantea,4,pmid:35075258,Field experiments find no evidence that chimpanzee nut cracking can be independently innovated.,pending,unknown
Aldabrachelys gigantea,5,pmid:31720927,"The underestimated giants: operant conditioning, visual discrimination and long-term memory in giant tortoises.",pending,unknown
Aldabrachelys gigantea,6,pmid:35230667,Social diffusion of new foraging techniques in the Southern ground-hornbill (Bucorvus leadbeateri).,pending,unknown
Aldabrachelys gigantea,7,pmcid:PMC4675325,The importance of witnessed agency in chimpanzee social learning of tool use.,pending,unknown
Aldabrachelys gigantea,8,pmcid:PMC10044084,Cats Did Not Change Their Problem-Solving Behaviours after Human Demonstrations.,pending,unknown
Aldabrachelys gigantea,9,pmid:30024238,Behavioral conservatism is linked to complexity of behavior in chimpanzees (Pan troglodytes): Implications for cognition and cumulative culture.,pending,unknown
Aldabrachelys gigantea,10,pmcid:PMC6687703,Innovative problem solving in great apes: the role of visual feedback in the floating peanut task.,pending,unknown
Aldabrachelys gigantea,11,pmcid:PMC5395306,Insightful problem solving and emulation in brown capuchin monkeys.,pending,unknown
Aldabrachelys gigantea,12,pmcid:PMC3158079,Insightful problem solving in an Asian elephant.,pending,unknown
Aldabrachelys gigantea,13,pmcid:PMC7979646,Innovative problem solving in macaws.,pending,unknown
Aldabrachelys gigantea,14,pmid:15027090,Wild capuchins (Cebus capucinus) fail to use tools in an experimental field study.,pending,unknown
Aldabrachelys gigantea,15,pmid:25245305,Limited social learning of a novel technical problem by spotted hyenas.,pending,unknown
Aldabrachelys gigantea,16,pmid:15378423,How does stone-tool use emerge? Introduction of stones and nuts to naive chimpanzees in captivity.,pending,unknown
Aldabrachelys gigantea,17,pmid:23454793,Copy me or copy you? The effect of prior experience on social learning.,pending,unknown
Aldabrachelys gigantea,18,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending,unknown
Aldabrachelys gigantea,19,pmid:17710453,Spontaneous performance of wild baboons on three novel food-access puzzles.,pending,unknown
Aldabrachelys gigantea,20,pmid:5597717,[Spontaneous opening of various locking devices for boxes by a chimpanzee].,pending,unknown
Aphelocoma californica,1,pmcid:PMC5054065,Western scrub-jays (Aphelocoma californica) solve multiple-string problems by the spatial relation of string and reward.,pending,unknown
Aphelocoma californica,2,pmid:12827547,Western scrub-jays ( Aphelocoma californica) use cognitive strategies to protect their caches from thieving conspecifics.,pending,unknown
Aphelocoma californica,3,pmid:24322875,Western scrub-jays allocate longer observation time to more valuable information.,pending,unknown
Aphelocoma californica,4,pmid:26267805,Hint-seeking behaviour of western scrub-jays in a metacognition task.,pending,unknown
Aphelocoma californica,5,pmcid:PMC3541402,Re-caching by Western scrub-jays (Aphelocoma californica) cannot be attributed to stress.,pending,unknown
Aphelocoma californica,6,pmid:17924785,The control of food-caching behavior by Western scrub-jays (Aphelocoma californica).,pending,unknown
Aphelocoma californica,7,pmid:34081496,"Abstract-concept learning in two species of new world corvids, pinyon jays (Gymnorhinus Cyanocephalus) and California scrub jays (Aphelocoma Californica).",pending,unknown
Aphelocoma californica,8,pmid:16709747,Food-caching western scrub-jays keep track of who was watching when.,pending,unknown
Aphelocoma californica,9,pmid:17314979,Planning for the future by western scrub-jays.,pending,unknown
Aphelocoma californica,10,pmcid:PMC5857174,Difficulties when using video playback to investigate social cognition in California scrub-jays (Aphelocoma californica).,pending,unknown
Aphelocoma californica,11,pmcid:PMC4004823,No evidence of temporal preferences in caching by Western scrub-jays (Aphelocoma californica).,pending,unknown
Aphelocoma californica,12,pmcid:PMC2836840,The development of caching and object permanence in Western scrub-jays (Aphelocoma californica): which emerges first?,pending,unknown
Aphelocoma californica,13,pmid:10877899,Social learning of a novel foraging patch in families of free-living Florida scrub-jays.,pending,unknown
Aphelocoma californica,14,pmid:27036232,Counting on your friends: The role of social environment on quantity discrimination.,pending,unknown
Aphelocoma californica,15,pmcid:PMC10954542,Bumblebees socially learn behaviour too complex to innovate alone.,pending,unknown
Aphelocoma californica,16,pmid:18085920,"Serial reversal learning and the evolution of behavioral flexibility in three species of North American corvids (Gymnorhinus cyanocephalus, Nucifraga columbiana, Aphelocoma californica).",pending,unknown
Aphelocoma californica,17,doi:10.1101/2023.08.29.555358,Social learning of a challenging two-step action sequence fulfils key criteria of cumulative culture in an insect,pending,unknown
Aphelocoma californica,18,pmcid:PMC4768697,Western scrub-jays do not appear to attend to functionality in Aesop's Fable experiments.,pending,unknown
Aphelocoma californica,19,pmid:25716720,Horses fail to use social learning when solving spatial detour tasks.,pending,unknown
Aphelocoma californica,20,pmcid:PMC11132989,Chimpanzees use social information to acquire a skill they fail to innovate.,pending,unknown
Atta cephalotes,1,pmcid:PMC5765995,Acquisition of a socially learned tool use sequence in chimpanzees: Implications for cumulative culture.,pending,unknown
Atta cephalotes,2,pmid:34487830,Complex nests but no use of tools: An investigation of problem solving in weaverbirds (Ploceidae).,pending,unknown
Atta cephalotes,3,pmcid:PMC11581030,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes,pending,unknown
Atta cephalotes,4,pmcid:PMC3559591,Basis for cumulative cultural evolution in chimpanzees: social learning of a more efficient tool-use technique.,pending,unknown
Atta cephalotes,5,pmcid:PMC13118808,Neuropeptides specify and reprogram division of labor in the leafcutter ant Atta cephalotes.,pending,unknown
Atta cephalotes,6,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending,unknown
Atta cephalotes,7,pmid:16817214,Mating biology of the leaf-cutting ants Atta colombica and A. cephalotes.,pending,unknown
Atta cephalotes,8,pmcid:PMC4493912,"Brains, brawn and sociality: a hyaena's tale.",pending,unknown
