scenario,true_model,selected_model,count,reps
pilot7_current29,additive,interaction,67,500
pilot7_current29,weakest,weakest,171,500
pilot7_current29,threshold,interaction,66,500
pilot7_current29,additive,additive,318,500
pilot7_current29,weakest,additive,176,500
pilot7_current29,weakest,interaction,60,500
pilot7_current29,threshold,additive,218,500
pilot7_current29,additive,weakest,46,500
pilot7_current29,weakest,threshold,93,500
pilot7_current29,threshold,weakest,133,500
pilot7_current29,threshold,threshold,83,500
pilot7_current29,additive,threshold,69,500
tier1_empirical79,additive,additive,367,500
tier1_empirical79,weakest,additive,172,500
tier1_empirical79,threshold,additive,263,500
tier1_empirical79,additive,interaction,67,500
tier1_empirical79,weakest,threshold,143,500
tier1_empirical79,weakest,weakest,113,500
tier1_empirical79,threshold,interaction,82,500
tier1_empirical79,threshold,threshold,89,500
tier1_empirical79,weakest,interaction,72,500
tier1_empirical79,threshold,weakest,66,500
tier1_empirical79,additive,threshold,56,500
tier1_empirical79,additive,weakest,10,500
tier1_new50_AF_complete,additive,interaction,85,500
tier1_new50_AF_complete,weakest,additive,108,500
tier1_new50_AF_complete,threshold,threshold,79,500
tier1_new50_AF_complete,weakest,interaction,124,500
tier1_new50_AF_complete,threshold,additive,241,500
tier1_new50_AF_complete,additive,additive,397,500
tier1_new50_AF_complete,threshold,weakest,23,500
tier1_new50_AF_complete,weakest,threshold,165,500
tier1_new50_AF_complete,weakest,weakest,103,500
tier1_new50_AF_complete,threshold,interaction,157,500
tier1_new50_AF_complete,additive,threshold,18,500
tier1_all79_AF_complete,additive,additive,382,500
tier1_all79_AF_complete,weakest,interaction,175,500
tier1_all79_AF_complete,threshold,threshold,121,500
tier1_all79_AF_complete,weakest,threshold,130,500
tier1_all79_AF_complete,threshold,interaction,192,500
tier1_all79_AF_complete,weakest,additive,41,500
tier1_all79_AF_complete,threshold,additive,174,500
tier1_all79_AF_complete,additive,interaction,97,500
tier1_all79_AF_complete,weakest,weakest,154,500
tier1_all79_AF_complete,threshold,weakest,13,500
tier1_all79_AF_complete,additive,threshold,21,500
tier1_complete79,additive,additive,392,500
tier1_complete79,weakest,weakest,170,500
tier1_complete79,threshold,threshold,159,500
tier1_complete79,additive,interaction,93,500
tier1_complete79,threshold,interaction,193,500
tier1_complete79,weakest,interaction,175,500
tier1_complete79,weakest,threshold,126,500
tier1_complete79,weakest,additive,29,500
tier1_complete79,threshold,additive,140,500
tier1_complete79,threshold,weakest,8,500
tier1_complete79,additive,threshold,15,500
