scenario,sampling,true_model,selected_model,count,reps
pilot7_current29,fixed_mask_random_latent,additive,additive,252,400
pilot7_current29,fixed_mask_random_latent,weakest,weakest,197,400
pilot7_current29,fixed_mask_random_latent,threshold,weakest,120,400
pilot7_current29,fixed_mask_random_latent,weakest,additive,149,400
pilot7_current29,fixed_mask_random_latent,threshold,additive,131,400
pilot7_current29,fixed_mask_random_latent,additive,weakest,60,400
pilot7_current29,fixed_mask_random_latent,threshold,threshold,149,400
pilot7_current29,fixed_mask_random_latent,additive,threshold,88,400
pilot7_current29,fixed_mask_random_latent,weakest,threshold,54,400
tier1_empirical79,fixed_mask_random_latent,additive,threshold,76,400
tier1_empirical79,fixed_mask_random_latent,weakest,threshold,70,400
tier1_empirical79,fixed_mask_random_latent,threshold,additive,163,400
tier1_empirical79,fixed_mask_random_latent,additive,additive,301,400
tier1_empirical79,fixed_mask_random_latent,weakest,weakest,178,400
tier1_empirical79,fixed_mask_random_latent,threshold,threshold,174,400
tier1_empirical79,fixed_mask_random_latent,weakest,additive,152,400
tier1_empirical79,fixed_mask_random_latent,threshold,weakest,63,400
tier1_empirical79,fixed_mask_random_latent,additive,weakest,23,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,additive,weakest,14,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,weakest,weakest,199,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,threshold,additive,228,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,additive,additive,361,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,weakest,additive,170,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,weakest,threshold,31,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,threshold,threshold,116,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,threshold,weakest,56,400
tier1_pilot9_partial_deep79,fixed_mask_random_latent,additive,threshold,25,400
pilot9_plus_A_complete,fixed_mask_random_latent,additive,additive,387,400
pilot9_plus_A_complete,fixed_mask_random_latent,weakest,additive,207,400
pilot9_plus_A_complete,fixed_mask_random_latent,threshold,threshold,108,400
pilot9_plus_A_complete,fixed_mask_random_latent,threshold,additive,257,400
pilot9_plus_A_complete,fixed_mask_random_latent,weakest,weakest,179,400
pilot9_plus_A_complete,fixed_mask_random_latent,threshold,weakest,35,400
pilot9_plus_A_complete,fixed_mask_random_latent,additive,threshold,5,400
pilot9_plus_A_complete,fixed_mask_random_latent,weakest,threshold,14,400
pilot9_plus_A_complete,fixed_mask_random_latent,additive,weakest,8,400
pilot9_plus_B_complete,fixed_mask_random_latent,additive,additive,370,400
pilot9_plus_B_complete,fixed_mask_random_latent,weakest,additive,169,400
pilot9_plus_B_complete,fixed_mask_random_latent,threshold,additive,247,400
pilot9_plus_B_complete,fixed_mask_random_latent,threshold,threshold,117,400
pilot9_plus_B_complete,fixed_mask_random_latent,weakest,weakest,211,400
pilot9_plus_B_complete,fixed_mask_random_latent,threshold,weakest,36,400
pilot9_plus_B_complete,fixed_mask_random_latent,weakest,threshold,20,400
pilot9_plus_B_complete,fixed_mask_random_latent,additive,threshold,14,400
pilot9_plus_B_complete,fixed_mask_random_latent,additive,weakest,16,400
pilot9_plus_C_complete,fixed_mask_random_latent,additive,weakest,4,400
pilot9_plus_C_complete,fixed_mask_random_latent,weakest,additive,183,400
pilot9_plus_C_complete,fixed_mask_random_latent,threshold,threshold,124,400
