scenario,n_taxa,observed_cells,total_cells,coverage,true_model,recovery_rate,median_winner_margin_rmse,coverage_A,coverage_B,coverage_C,coverage_D,coverage_E,coverage_F,coverage_G,coverage_H,coverage_I,coverage_J
pilot7_current29,29,133,290,0.4586206896551724,additive,0.636,0.003398387688235159,4,11,8,7,7,9,24,18,26,19
pilot7_current29,29,133,290,0.4586206896551724,weakest,0.342,0.0027543182246643205,4,11,8,7,7,9,24,18,26,19
pilot7_current29,29,133,290,0.4586206896551724,threshold,0.166,0.0038766368199678325,4,11,8,7,7,9,24,18,26,19
tier1_empirical79,79,284,790,0.3594936708860759,additive,0.734,0.0014826786856001958,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,79,284,790,0.3594936708860759,weakest,0.226,0.00101703731218665,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,79,284,790,0.3594936708860759,threshold,0.178,0.0018076648799641715,9,16,11,8,10,21,60,55,53,41
tier1_new50_AF_complete,79,555,790,0.7025316455696202,additive,0.794,0.0016939856213226481,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,79,555,790,0.7025316455696202,weakest,0.206,0.0010122515171079108,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,79,555,790,0.7025316455696202,threshold,0.158,0.002495368422337524,54,61,58,57,57,59,60,55,53,41
tier1_all79_AF_complete,79,683,790,0.8645569620253165,additive,0.764,0.0015081214628103398,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,79,683,790,0.8645569620253165,weakest,0.308,0.0008773097861373355,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,79,683,790,0.8645569620253165,threshold,0.242,0.0025855981920331755,79,79,79,79,79,79,60,55,53,41
tier1_complete79,79,790,790,1.0,additive,0.784,0.0014873762144049438,79,79,79,79,79,79,79,79,79,79
tier1_complete79,79,790,790,1.0,weakest,0.34,0.0009485507032806068,79,79,79,79,79,79,79,79,79,79
tier1_complete79,79,790,790,1.0,threshold,0.318,0.002521141751884476,79,79,79,79,79,79,79,79,79,79
