scenario,sampling,n_taxa,observed_cells,total_cells,coverage,true_model,recovery_rate,median_winner_margin_rmse,coverage_A,coverage_B,coverage_C,coverage_D,coverage_E,coverage_F,coverage_G,coverage_H,coverage_I,coverage_J
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,additive,0.642,0.0034684360877402787,4,11,8,7,7,9,24,18,26,19
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,weakest,0.478,0.003575175429159201,4,11,8,7,7,9,24,18,26,19
pilot7_current29,fixed_mask_random_latent,29,133,290,0.4586206896551724,threshold,0.386,0.004146337832816274,4,11,8,7,7,9,24,18,26,19
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,additive,0.768,0.0022439441693176063,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,weakest,0.414,0.0015740671359524977,9,16,11,8,10,21,60,55,53,41
tier1_empirical79,fixed_mask_random_latent,79,284,790,0.3594936708860759,threshold,0.448,0.002329316934781278,9,16,11,8,10,21,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,additive,0.994,0.013822918738380333,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,weakest,0.526,0.003545123746224406,54,61,58,57,57,59,60,55,53,41
tier1_new50_AF_complete,fixed_mask_random_latent,79,555,790,0.7025316455696202,threshold,0.31,0.007255575553694361,54,61,58,57,57,59,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,additive,1.0,0.01643364531776976,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,weakest,0.742,0.00431480108986005,79,79,79,79,79,79,60,55,53,41
tier1_all79_AF_complete,fixed_mask_random_latent,79,683,790,0.8645569620253165,threshold,0.55,0.009105199667679642,79,79,79,79,79,79,60,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,additive,1.0,0.016471547816913727,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,weakest,0.778,0.004912467927910995,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_G,fixed_mask_random_latent,79,702,790,0.8886075949367088,threshold,0.532,0.009352250548467805,79,79,79,79,79,79,79,55,53,41
tier1_AF_plus_H,fixed_mask_random_latent,79,707,790,0.8949367088607595,additive,0.996,0.01661833827465213,79,79,79,79,79,79,60,79,53,41
tier1_AF_plus_H,fixed_mask_random_latent,79,707,790,0.8949367088607595,weakest,0.778,0.004589889452612968,79,79,79,79,79,79,60,79,53,41
