unit_name,unit_level,scope,panel_targets,wild_mode_count,human_influence_mode_count,total_observed_mode_count,Affix,Throw,Bait,Contain,Pry,Wave-shake,Block,Prop-climb,Dig,Scratch,Pound,Hang,Wipe,Insert-probe,Drop,Reach,Absorb,Drag-roll,Club,Jab-stab,Symbolize,Cut
Pan troglodytes,species_or_named_taxon,exact_species,Pan troglodytes,19,3,22,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
Pan paniscus,species_or_named_taxon,exact_species,Pan paniscus,12,9,21,2,2,1,1,1,2,0,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1
Pongo pygmaeus,species_or_named_taxon,exact_species,Pongo pygmaeus,17,5,22,2,2,1,2,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1
Gorilla gorilla,species_or_named_taxon,exact_species,Gorilla gorilla,8,12,20,2,2,1,1,1,2,1,2,1,1,1,0,1,1,2,2,1,2,2,1,1,0
Platyrrhini,higher_taxon,clade_or_family,Sapajus libidinosus,13,9,22,2,2,1,2,1,2,1,1,2,2,2,1,2,2,2,1,2,1,2,1,1,2
Cercopithecidae,higher_taxon,clade_or_family,Macaca fuscata,14,5,19,2,2,1,1,2,2,0,2,2,2,2,1,2,2,2,2,2,2,1,1,0,0
Cetacea,higher_taxon,clade_or_family,Tursiops truncatus;Tursiops aduncus;Orcinus orca;Physeter macrocephalus;Megaptera novaeangliae,5,2,7,0,2,2,2,0,2,0,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0
Elephantidae,higher_taxon,clade_or_family,Loxodonta africana;Elephas maximus,8,4,12,2,2,0,0,0,2,2,1,0,2,0,0,2,1,2,2,0,1,1,0,0,0
Aves,higher_taxon,clade_or_family,Corvus moneduloides;Corvus corax;Nestor notabilis;Cacatua goffiniana;Psittacus erithacus;Melopsittacus undulatus;Columba livia,14,4,18,2,2,2,2,2,0,2,1,2,2,2,0,1,2,2,1,2,2,1,2,0,0
Insecta,higher_taxon,clade_or_family,Bombus terrestris;Apis mellifera,7,0,7,2,2,2,2,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0
Cephalopoda,higher_taxon,clade_or_family,Octopus vulgaris,4,0,4,2,2,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Corvidae,bird_family,family_presence_catalog,Corvus moneduloides;Corvus corax,,,14,1,0,0,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,0
Cacatuidae,bird_family,family_presence_catalog,Cacatua goffiniana,,,6,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0
Psittacidae,bird_family,family_presence_catalog,Psittacus erithacus;Melopsittacus undulatus,,,5,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Columbidae,bird_family,family_presence_catalog,Columba livia,,,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
