scientific_name,module_id,evidence_state,source_ids,evidence_traits,first_pass_status,tested_negative_status,notes
Acris crepitans,A,pending_first_pass,,,pending,not_searched,
Acris crepitans,B,pending_first_pass,,,pending,not_searched,
Acris crepitans,C,pending_first_pass,,,pending,not_searched,
Acris crepitans,D,pending_first_pass,,,pending,not_searched,
Acris crepitans,E,pending_first_pass,,,pending,not_searched,
Acris crepitans,F,pending_first_pass,,,pending,not_searched,
Birgus latro,A,pending_first_pass,,,pending,not_searched,
Birgus latro,B,pending_first_pass,,,pending,not_searched,
Birgus latro,C,pending_first_pass,,,pending,not_searched,
Birgus latro,D,pending_first_pass,,,pending,not_searched,
Birgus latro,E,pending_first_pass,,,pending,not_searched,
Birgus latro,F,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,A,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,B,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,C,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,D,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,E,pending_first_pass,,,pending,not_searched,
Camponotus sericeiventris,F,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,A,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,B,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,C,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,D,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,E,pending_first_pass,,,pending,not_searched,
Chelydra serpentina,F,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,A,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,B,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,C,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,D,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,E,pending_first_pass,,,pending,not_searched,
Ctenophorus nuchalis,F,pending_first_pass,,,pending,not_searched,
Hyla versicolor,A,pending_first_pass,,,pending,not_searched,
Hyla versicolor,B,pending_first_pass,,,pending,not_searched,
Hyla versicolor,C,pending_first_pass,,,pending,not_searched,
Hyla versicolor,D,pending_first_pass,,,pending,not_searched,
Hyla versicolor,E,pending_first_pass,,,pending,not_searched,
Hyla versicolor,F,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,A,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,B,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,C,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,D,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,E,pending_first_pass,,,pending,not_searched,
Metazygia rogenhoferi,F,pending_first_pass,,,pending,not_searched,
Natrix natrix,A,pending_first_pass,,,pending,not_searched,
Natrix natrix,B,pending_first_pass,,,pending,not_searched,
Natrix natrix,C,pending_first_pass,,,pending,not_searched,
Natrix natrix,D,pending_first_pass,,,pending,not_searched,
Natrix natrix,E,pending_first_pass,,,pending,not_searched,
Natrix natrix,F,pending_first_pass,,,pending,not_searched,
Nephila clavipes,A,pending_first_pass,,,pending,not_searched,
Nephila clavipes,B,pending_first_pass,,,pending,not_searched,
Nephila clavipes,C,pending_first_pass,,,pending,not_searched,
Nephila clavipes,D,pending_first_pass,,,pending,not_searched,
Nephila clavipes,E,pending_first_pass,,,pending,not_searched,
Nephila clavipes,F,pending_first_pass,,,pending,not_searched,
Paraponera clavata,A,pending_first_pass,,,pending,not_searched,
Paraponera clavata,B,pending_first_pass,,,pending,not_searched,
Paraponera clavata,C,pending_first_pass,,,pending,not_searched,
Paraponera clavata,D,pending_first_pass,,,pending,not_searched,
Paraponera clavata,E,pending_first_pass,,,pending,not_searched,
Paraponera clavata,F,pending_first_pass,,,pending,not_searched,
Periplaneta americana,A,pending_first_pass,,,pending,not_searched,
Periplaneta americana,B,pending_first_pass,,,pending,not_searched,
Periplaneta americana,C,pending_first_pass,,,pending,not_searched,
Periplaneta americana,D,pending_first_pass,,,pending,not_searched,
Periplaneta americana,E,pending_first_pass,,,pending,not_searched,
Periplaneta americana,F,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,A,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,B,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,C,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,D,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,E,pending_first_pass,,,pending,not_searched,
Platymantis vitiensis,F,pending_first_pass,,,pending,not_searched,
Porcellio laevis,A,pending_first_pass,,,pending,not_searched,
Porcellio laevis,B,pending_first_pass,,,pending,not_searched,
Porcellio laevis,C,pending_first_pass,,,pending,not_searched,
Porcellio laevis,D,pending_first_pass,,,pending,not_searched,
Porcellio laevis,E,pending_first_pass,,,pending,not_searched,
Porcellio laevis,F,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,A,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,B,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,C,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,D,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,E,pending_first_pass,,,pending,not_searched,
Trichoniscus pusillus,F,pending_first_pass,,,pending,not_searched,
Zosis geniculata,A,pending_first_pass,,,pending,not_searched,
Zosis geniculata,B,pending_first_pass,,,pending,not_searched,
Zosis geniculata,C,pending_first_pass,,,pending,not_searched,
Zosis geniculata,D,pending_first_pass,,,pending,not_searched,
Zosis geniculata,E,pending_first_pass,,,pending,not_searched,
Zosis geniculata,F,pending_first_pass,,,pending,not_searched,
