scientific_name,retrieval_rank,paper_id,title,screening_status,tested_negative_candidate
Acris crepitans,1,pmid:42449052,A tad bit of learning: Place and response learning in green frog (Rana clamitans) tadpoles.,pending,unknown
Acris crepitans,2,pmcid:PMC3427554,Cognition in insects.,pending,unknown
Acris crepitans,3,pmid:6773517,Appetitive conditioning and discriminatory learning in toads.,pending,unknown
Acris crepitans,4,pmcid:PMC6729354,Corticohippocampal contributions to spatial and contextual learning.,pending,unknown
Acris crepitans,5,pmcid:PMC3617481,Aversive training methods in Xenopus laevis: general principles.,pending,unknown
Acris crepitans,6,pmid:5648225,Effect of acetoxycycloheximide on learning and memory of a light-dark discrimination.,pending,unknown
Acris crepitans,7,pmid:21244140,Spatial learning in a T-maze by the crayfish Orconectes rusticus.,pending,unknown
Acris crepitans,8,pmid:3741600,Lack of task specificity and absence of posttraining effects of atropine on learning.,pending,unknown
Acris crepitans,9,pmid:10467570,Remembering and forgetting as context discrimination.,pending,unknown
Acris crepitans,10,pmid:9778637,Spatial and discrimination learning in rodents infected with the nematode Strongyloides ratti.,pending,unknown
Acris crepitans,11,pmid:35728523,Long-term memory in frog-eating bats,pending,unknown
Acris crepitans,12,pmid:33914030,Learning a non-neutral conditioned stimulus: place preference in the crab Neohelice granulata,pending,unknown
Acris crepitans,13,pmcid:PMC4262202,Mimicry Enhances Observational Learning in 16-Month-Old Infants.,pending,unknown
Acris crepitans,14,pmcid:PMC5825895,Impaired Object Recognition but Normal Social Behavior and Ultrasonic Communication in Cofilin1 Mutant Mice.,pending,unknown
Acris crepitans,15,pmid:4706769,The retention of learning during metamorphosis of the crested newt (Triturus cristatus).,pending,unknown
Acris crepitans,16,pmid:24406509,Association and reversal learning abilities in a jumping spider.,pending,unknown
Acris crepitans,17,pmid:11947999,Teaching and learning in a probabilistic prisoner's dilemma.,pending,unknown
Acris crepitans,18,pmid:23707892,Vulnerability of long-term memory to temporal delays in amphibians.,pending,unknown
Acris crepitans,19,pmcid:PMC4230014,When the brain is prepared to learn: enhancing human learning using real-time fMRI.,pending,unknown
Acris crepitans,20,pmid:38821015,The effects of radiofrequency exposure on cognition: A systematic review and meta-analysis of human observational studies.,pending,unknown
Birgus latro,1,pmid:12836914,Learning associations between places and visual cues without learning to navigate: neither fornix nor entorhinal cortex is required.,pending,unknown
Birgus latro,2,pmid:10467570,Remembering and forgetting as context discrimination.,pending,unknown
Birgus latro,3,pmcid:PMC6832187,Maze learning and memory in a decapod crustacean.,pending,unknown
Birgus latro,4,pmcid:PMC3427554,Cognition in insects.,pending,unknown
Birgus latro,5,pmcid:PMC10602228,Evidence of long-term allocentric spatial memory in the Terrestrial Hermit Crab Coenobita compressus.,pending,unknown
Birgus latro,6,pmcid:PMC6729354,Corticohippocampal contributions to spatial and contextual learning.,pending,unknown
Birgus latro,7,pmid:40712821,Learning and memory in soldier crabs: Evidence from escape task trials.,pending,unknown
Birgus latro,8,pmid:5648225,Effect of acetoxycycloheximide on learning and memory of a light-dark discrimination.,pending,unknown
Birgus latro,9,pmid:20020145,A field model of learning: 1. Short-term memory in the crab Chasmagnathus granulatus.,pending,unknown
Birgus latro,10,pmid:3741600,Lack of task specificity and absence of posttraining effects of atropine on learning.,pending,unknown
Birgus latro,11,pmid:9778637,Spatial and discrimination learning in rodents infected with the nematode Strongyloides ratti.,pending,unknown
Birgus latro,12,pmid:20020144,A field model of learning: 2. Long-term memory in the crab Chasmagnathus granulatus.,pending,unknown
Birgus latro,13,pmid:21244140,Spatial learning in a T-maze by the crayfish Orconectes rusticus.,pending,unknown
Birgus latro,14,pmcid:PMC4262202,Mimicry Enhances Observational Learning in 16-Month-Old Infants.,pending,unknown
Birgus latro,15,pmcid:PMC5825895,Impaired Object Recognition but Normal Social Behavior and Ultrasonic Communication in Cofilin1 Mutant Mice.,pending,unknown
Birgus latro,16,pmid:38582301,Landmark use by ghost crab (Ocypode quadrata) during wayfinding in a complex maze.,pending,unknown
Birgus latro,17,pmid:33914030,Learning a non-neutral conditioned stimulus: place preference in the crab Neohelice granulata,pending,unknown
Birgus latro,18,pmid:11947999,Teaching and learning in a probabilistic prisoner's dilemma.,pending,unknown
Birgus latro,19,pmid:2845454,Passive avoidance learning in the crab Chasmagnathus granulatus.,pending,unknown
Birgus latro,20,pmcid:PMC4230014,When the brain is prepared to learn: enhancing human learning using real-time fMRI.,pending,unknown
Camponotus sericeiventris,1,pmcid:PMC12246152,Context-dependent effects of formic acid on olfactory learning and generalisation in ants.,pending,unknown
Camponotus sericeiventris,2,pmid:21900478,Long-term olfactory memories are stabilised via protein synthesis in Camponotus fellah ants.,pending,unknown
