scientific_name,outcome_id,outcome_state,evidence_scope,source_ids,evidence_summary,confidence,first_pass_status,tested_negative_status,notes
Acris crepitans,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Acris crepitans,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Acris crepitans,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Acris crepitans,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Acris crepitans,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Acris crepitans,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Acris crepitans,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Birgus latro,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Birgus latro,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Birgus latro,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Birgus latro,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Birgus latro,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Birgus latro,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Birgus latro,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Camponotus sericeiventris,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Camponotus sericeiventris,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Camponotus sericeiventris,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Camponotus sericeiventris,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Camponotus sericeiventris,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Camponotus sericeiventris,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Camponotus sericeiventris,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Chelydra serpentina,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Chelydra serpentina,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Chelydra serpentina,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Chelydra serpentina,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Chelydra serpentina,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Chelydra serpentina,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Chelydra serpentina,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Ctenophorus nuchalis,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Ctenophorus nuchalis,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Ctenophorus nuchalis,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Ctenophorus nuchalis,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Ctenophorus nuchalis,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Ctenophorus nuchalis,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Ctenophorus nuchalis,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Hyla versicolor,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Hyla versicolor,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Hyla versicolor,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Hyla versicolor,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Hyla versicolor,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Hyla versicolor,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Hyla versicolor,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Metazygia rogenhoferi,O1,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Metazygia rogenhoferi,O2,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Metazygia rogenhoferi,O3,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
Metazygia rogenhoferi,O4,not_systematically_coded,,,,,deferred_by_codebook_protocol,not_searched,O4 requires dedicated domain-breadth coding with research-effort correction; raw case-database counts are prohibited.
Metazygia rogenhoferi,O5,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Metazygia rogenhoferi,O6,not_located_first_pass,,,,,broad_plus_species_targeted_search_complete_no_exact_direct_evidence,not_searched,No direct exact-species outcome evidence located in standardized first-pass search; missing is not biological absence.
Metazygia rogenhoferi,O7,not_located_first_pass,,,,,dedicated_cumulative_search_complete_no_exact_direct_evidence,not_searched,Dedicated exact-name cumulative/open-ended search found no direct exact-species evidence; not a tested negative.
