scientific_name,retrieval_rank,paper_id,title,screening_status
Acris crepitans,1,pmid:9878274,The effects of arginine vasotocin on the calling behavior of male cricket frogs in changing social contexts.,pending
Acris crepitans,2,pmcid:PMC5321284,The significance of spatial memory for water finding in a tadpole-transporting frog.,pending
Acris crepitans,3,pmid:42169389,Creative problem solving in a jumping spider.,pending
Acris crepitans,4,pmcid:PMC8666914,Collective minds: social network topology shapes collective cognition.,pending
Acris crepitans,5,pmid:22890833,Spatial behavior in male and female crayfish (Orconectes rusticus): learning strategies and memory duration.,pending
Acris crepitans,6,arxiv:2510.18515,Socialized Learning and Emergent Behaviors in Multi-Agent Systems based on Multimodal Large Language Models,pending
Acris crepitans,7,pmcid:PMC5617642,Responses of male cricket frogs (Acris crepitans) to attenuated and degraded advertisement calls.,pending
Acris crepitans,8,pmid:10219047,Like frogs disguised as leaves,pending
Acris crepitans,9,pmcid:PMC5605539,Gender differences measured by the MATRICS consensus cognitive battery in chronic schizophrenia patients.,pending
Acris crepitans,10,pmid:38229576,"Evidence for individual vocal recognition in a pair-bonding poison frog, Ranitomeya imitator.",pending
Acris crepitans,11,pmid:32309965,Shared worlds and shared minds: A theory of collective learning and a psychology of common knowledge.,pending
Acris crepitans,12,pmid:2886261,A comparison of energy substrates and reproductive patterns of two anurans. Acris crepitans and Bufo woodhousei.,pending
Acris crepitans,13,pmid:31770764,"The Mating Call of the Terrestrial Toad, Rhinella arenarum, as a Cue for Spatial Orientation and Its Associated Brain Activity.",pending
Acris crepitans,14,pmid:35570086,Social cognition in insects.,pending
Acris crepitans,15,pmid:18840365,Cognitive and psychomotor effects of risperidone in schizophrenia and schizoaffective disorder.,pending
Acris crepitans,16,pmcid:PMC5458138,"Take the long way home: Behaviour of a neotropical frog, Allobates femoralis, in a detour task.",pending
Acris crepitans,17,pmid:16458018,"Studying primate learning in group contexts: Tests of social foraging, response to novelty, and cooperative problem solving.",pending
Acris crepitans,18,pmid:10433886,Forebrain arginine vasotocin correlates of alternative mating strategies in cricket frogs.,pending
Acris crepitans,19,pmid:27311315,"Lions (Panthera leo) solve, learn, and remember a novel resource acquisition problem.",pending
Acris crepitans,20,pmcid:PMC12165976,Context-dependent frequency alteration in a treefrog.,pending
Acris crepitans,21,pmid:38128351,Inference of social cognition in schizophrenia patients with neurocognitive domains and neurocognitive tests using automated machine learning.,pending
