feasibility_id,calendar_stratum,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,source_work_date,target_title_current,target_title_has_status_marker,target_published,target_year,target_journal,target_type,issue_family_codes,ground_truth_tier,required_artifact_roles,content_detectability,adjudication_state,adjudication_notes
F001,2016,10.1039/c6dt03024f,10.1039/c6dt90217k,correction,2016-11-22,publisher,Correction,Correction: Characteristics and reactivity of ruthenium–oxo complexes,2016-01-01,Characteristics and reactivity of ruthenium–oxo complexes,False,2016-01-01,2016,Dalton Transactions,journal-article,,,,,UNASSESSED,
F002,2016,10.1371/journal.pone.0147986,10.1371/journal.pone.0154549,correction,2016-04-25,publisher,Correction,Correction: Song Perception by Professional Singers and Actors: An MEG Study,2016-04-25,Song Perception by Professional Singers and Actors: An MEG Study,False,2016-02-10,2016,PLOS ONE,journal-article,,,,,UNASSESSED,
F003,2016,10.1038/srep14229,10.1038/srep17243,correction,2016-01-07,publisher,Correction,Correction: Corrigendum: 3D hierarchical porous graphene aerogel with tunable meso-pores on graphene nanosheets for high-performance energy storage,2016-01-07,3D hierarchical porous graphene aerogel with tunable meso-pores on graphene nanosheets for high-performance energy storage,False,2015-09-18,2015,Scientific Reports,journal-article,,,,,UNASSESSED,
F004,2016,10.1190/tle35060528.1,10.1190/tle35080719.1,correction,2016-08-02,publisher,Correction,Erratum,2016-08-01,Combining burial history and rock-physics modeling to constrain AVO analysis during exploration,False,2016-06-01,2016,The Leading Edge,journal-article,,,,,UNASSESSED,
F005,2016,10.3390/ijerph5030152,10.3390/ijerph13070646,retraction,2016-06-28,retraction-watch,Retraction,"RETRACTED: Rabi, A.; Khader, Y.; Alkafajei, A.; Aqoulah, A.A. Sanitary Conditions of Public Swimming Pools in Amman, Jordan. Int. J. Environ. Res. Public Health 2008, 5, 152–157",2016-06-28,"RETRACTED: Sanitary Conditions of Public Swimming Pools in Amman, Jordan",True,2008-09-30,2008,International Journal of Environmental Research and Public Health,journal-article,,,,,UNASSESSED,
F006,2016,10.1007/s11205-016-1296-3,10.1007/s11205-016-1296-3,retraction,2016-04-05,retraction-watch,Retraction,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,2016-04-05,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,2016-04-05,2016,Social Indicators Research,journal-article,,,,,UNASSESSED,
F007,2016,10.1007/s11205-016-1296-3,10.1007/s11205-016-1296-3,retraction,2016-04-05,publisher,Retraction,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,2016-04-05,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,2016-04-05,2016,Social Indicators Research,journal-article,,,,,UNASSESSED,
F008,2016,10.1007/s12035-016-9837-y,10.1007/s12035-016-9837-y,retraction,2016-03-11,publisher,Retraction,RETRACTED ARTICLE: MiR-124 Functions as a Tumor Suppressor via Targeting hCLOCK1 in Glioblastoma,2016-03-11,RETRACTED ARTICLE: MiR-124 Functions as a Tumor Suppressor via Targeting hCLOCK1 in Glioblastoma,True,2016-03-11,2016,Molecular Neurobiology,journal-article,,,,,UNASSESSED,
F009,2017,10.1080/14689367.2016.1207753,10.1080/14689367.2017.1322774,correction,2017-05-02,publisher,Correction,Corrigendum,2017-05-02,Flow equivalence and isotopy for subshifts,False,2016-07-27,2016,Dynamical Systems,journal-article,,,,,UNASSESSED,
F010,2017,10.1080/0966369x.2016.1204999,10.1080/0966369x.2017.1302558,correction,2017-03-16,publisher,Correction,Corrigendum,2017-03-16,"Gender, households and reintegration: everyday lives of returned migrant women in rural northern Ghana",False,2016-07-07,2016,"Gender, Place &amp; Culture",journal-article,,,,,UNASSESSED,
F011,2017,10.1038/nature.2017.21536,10.1038/543163b,correction,2017-03-09,publisher,Correction,Corrections,2017-03-09,How to kill wild animals humanely for conservation,False,2017-03-02,2017,Nature,journal-article,,,,,UNASSESSED,
F012,2017,10.1556/084.2016.17.1.5,10.1556/084.2017.18.1.10,correction,2017-06-01,publisher,Correction,Errata,2017-06-01,Formulaicity in and across film dialogue: Clefts as translational routines,False,2016-06-01,2016,Across Languages and Cultures,journal-article,,,,,UNASSESSED,
F013,2017,10.1123/jpah.2015-0702,10.1123/jpah.2017-0254,retraction,2017-05-01,retraction-watch,Retraction,"Withdrawal: Van Kann, de Vries Schipperijn et al (2017)",2017-05-01,A Multicomponent Schoolyard Intervention Targeting Children’s Recess Physical Activity and Sedentary Behavior: Effects After One Year,False,2016-10-24,2016,Journal of Physical Activity and Health,journal-article,,,,,UNASSESSED,
