feasibility_id,target_doi,target_published,pre_outcome_cutoff_exclusive,target_title_current,target_title_has_status_marker,crossref_has_fulltext_link,required_artifact_role,artifact_state,artifact_url,artifact_capture_date,artifact_sha256,identity_verified,historical_equivalence_verified,detector_visible,manager_only
F001,10.1039/c6dt03024f,2016-01-01,2016-11-22,Characteristics and reactivity of ruthenium–oxo complexes,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F002,10.1371/journal.pone.0147986,2016-02-10,2016-04-25,Song Perception by Professional Singers and Actors: An MEG Study,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F003,10.1038/srep14229,2015-09-18,2016-01-07,3D hierarchical porous graphene aerogel with tunable meso-pores on graphene nanosheets for high-performance energy storage,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F004,10.1190/tle35060528.1,2016-06-01,2016-08-02,Combining burial history and rock-physics modeling to constrain AVO analysis during exploration,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F005,10.3390/ijerph5030152,2008-09-30,2016-06-28,"RETRACTED: Sanitary Conditions of Public Swimming Pools in Amman, Jordan",True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F006,10.1007/s11205-016-1296-3,2016-04-05,2016-04-05,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F007,10.1007/s11205-016-1296-3,2016-04-05,2016-04-05,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F008,10.1007/s12035-016-9837-y,2016-03-11,2016-03-11,RETRACTED ARTICLE: MiR-124 Functions as a Tumor Suppressor via Targeting hCLOCK1 in Glioblastoma,True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F009,10.1080/14689367.2016.1207753,2016-07-27,2017-05-02,Flow equivalence and isotopy for subshifts,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F010,10.1080/0966369x.2016.1204999,2016-07-07,2017-03-16,"Gender, households and reintegration: everyday lives of returned migrant women in rural northern Ghana",False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F011,10.1038/nature.2017.21536,2017-03-02,2017-03-09,How to kill wild animals humanely for conservation,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F012,10.1556/084.2016.17.1.5,2016-06-01,2017-06-01,Formulaicity in and across film dialogue: Clefts as translational routines,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F013,10.1123/jpah.2015-0702,2016-10-24,2017-05-01,A Multicomponent Schoolyard Intervention Targeting Children’s Recess Physical Activity and Sedentary Behavior: Effects After One Year,False,False,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F014,10.1016/j.ygcen.2017.09.006,2017-12-01,2017-12-01,RETRACTED: Testosterone promotes anxiolytic-like behavior in gonadectomized male rats via blockade of the 5-HT1A receptors,True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F015,10.1016/j.apjtm.2015.11.006,2015-12-01,2017-07-28,RETRACTED: Effect of transplantation of BMMSCs on pathological change of gastric precancerous lesions of rats,True,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F016,10.1074/jbc.m910060199,2000-05-01,2017-04-27,"ERK1b, a 46-kDa ERK Isoform That Is Differentially Regulated by MEK",False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
F017,10.1049/iet-rpg.2017.0351,2018-03-22,2018-09-20,Comparison of stability service cost in power grids considering different types of WTs,False,True,UNADJUDICATED,UNASSESSED,,,,False,False,False,True
