feasibility_id,target_doi,notice_or_source_doi,update_type,outcome_date,assertion_source,relation_label,source_work_title,target_title_current,target_title_has_status_marker,issue_family,issue_description,ground_truth_tier,required_artifact_role,content_detectability,adjudication_evidence_url,adjudication_notes,detector_visible,manager_only
F001,10.1039/c6dt03024f,10.1039/c6dt90217k,correction,2016-11-22,publisher,Correction,Correction: Characteristics and reactivity of ruthenium–oxo complexes,Characteristics and reactivity of ruthenium–oxo complexes,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F002,10.1371/journal.pone.0147986,10.1371/journal.pone.0154549,correction,2016-04-25,publisher,Correction,Correction: Song Perception by Professional Singers and Actors: An MEG Study,Song Perception by Professional Singers and Actors: An MEG Study,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F003,10.1038/srep14229,10.1038/srep17243,correction,2016-01-07,publisher,Correction,Correction: Corrigendum: 3D hierarchical porous graphene aerogel with tunable meso-pores on graphene nanosheets for high-performance energy storage,3D hierarchical porous graphene aerogel with tunable meso-pores on graphene nanosheets for high-performance energy storage,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F004,10.1190/tle35060528.1,10.1190/tle35080719.1,correction,2016-08-02,publisher,Correction,Erratum,Combining burial history and rock-physics modeling to constrain AVO analysis during exploration,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F005,10.3390/ijerph5030152,10.3390/ijerph13070646,retraction,2016-06-28,retraction-watch,Retraction,"RETRACTED: Rabi, A.; Khader, Y.; Alkafajei, A.; Aqoulah, A.A. Sanitary Conditions of Public Swimming Pools in Amman, Jordan. Int. J. Environ. Res. Public Health 2008, 5, 152–157","RETRACTED: Sanitary Conditions of Public Swimming Pools in Amman, Jordan",True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F006,10.1007/s11205-016-1296-3,10.1007/s11205-016-1296-3,retraction,2016-04-05,retraction-watch,Retraction,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F007,10.1007/s11205-016-1296-3,10.1007/s11205-016-1296-3,retraction,2016-04-05,publisher,Retraction,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,RETRACTED ARTICLE: Probability of Being ‘Multidimensional’ Poor,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F008,10.1007/s12035-016-9837-y,10.1007/s12035-016-9837-y,retraction,2016-03-11,publisher,Retraction,RETRACTED ARTICLE: MiR-124 Functions as a Tumor Suppressor via Targeting hCLOCK1 in Glioblastoma,RETRACTED ARTICLE: MiR-124 Functions as a Tumor Suppressor via Targeting hCLOCK1 in Glioblastoma,True,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F009,10.1080/14689367.2016.1207753,10.1080/14689367.2017.1322774,correction,2017-05-02,publisher,Correction,Corrigendum,Flow equivalence and isotopy for subshifts,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F010,10.1080/0966369x.2016.1204999,10.1080/0966369x.2017.1302558,correction,2017-03-16,publisher,Correction,Corrigendum,"Gender, households and reintegration: everyday lives of returned migrant women in rural northern Ghana",False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
F011,10.1038/nature.2017.21536,10.1038/543163b,correction,2017-03-09,publisher,Correction,Corrections,How to kill wild animals humanely for conservation,False,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,UNADJUDICATED,,,False,True
