target_doi,event_date,issue_code,object_role,candidate_url,archive_query_pattern,identity_marker,source_kind,equivalence_intent,current_state,note
10.1371/journal.pone.0161231,2024-03-21,figure_panel_label_swap,body_text,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161231,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161231,journal.pone.0161231,publisher,same_published_version,SAFE_EXACT_FOUND,"2022 HTML captures already verified."
10.1371/journal.pone.0161231,2024-03-21,figure_panel_label_swap,figure_image,https://journals.plos.org/plosone/article/figure/image?size=inline&id=10.1371/journal.pone.0161231.g001,https://journals.plos.org/plosone/article/figure/image*id=10.1371/journal.pone.0161231.g001,journal.pone.0161231.g001,publisher,same_published_version,BLOCKED_NO_PRE_EVENT_CAPTURE,"Image object remains unresolved."
10.1038/s41929-026-01569-w,2026-07-13,figure_scientific_content_error,body_text,https://www.nature.com/articles/s41929-026-01569-w,https://www.nature.com/articles/s41929-026-01569-w*,s41929-026-01569-w,publisher,same_published_version,BLOCKED_NO_PRE_EVENT_CAPTURE,"Eleven-day publication-to-correction window; first CDX wildcard query returned no capture."
10.1177/1758573221989669,2022-09-04,table_row_omission,body_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC9284308/,https://pmc.ncbi.nlm.nih.gov/articles/PMC9284308/*,PMC9284308,repository,same_published_version,CURRENT_CORRECTED,"Current PMC HTML explicitly says corrected."
10.1177/1758573221989669,2022-09-04,table_row_omission,table,https://pmc.ncbi.nlm.nih.gov/articles/PMC9284308/pdf/10.1177_1758573221989669.pdf,https://pmc.ncbi.nlm.nih.gov/articles/PMC9284308/pdf/*,PMC9284308,repository,same_published_version,BLOCKED_EQUIVALENCE_UNKNOWN,"Current PDF lacks an obvious banner but pre-erratum equivalence is unverified."
10.1538/expanim.54.1,2022-08-01,authorship_peer_review,body_text,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/_article,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/*,/54_1_1/,publisher,same_published_version,SAFE_EXACT_FOUND,"2018 HTML and PDF captures verified; wildcard needs identity guard."
10.1538/expanim.54.1,2022-08-01,authorship_peer_review,references,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/_pdf,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/*,/54_1_1/,publisher,same_published_version,SAFE_EXACT_FOUND,"2018 PDF capture digest recorded."
10.1177/1758835919874651,2021-12-15,other_unclear,body_text,https://pmc.ncbi.nlm.nih.gov/articles/PMC6759708/,https://pmc.ncbi.nlm.nih.gov/articles/PMC6759708/*,PMC6759708,repository,same_published_version,NO_WAYBACK_CAPTURE_FIRST_PASS,"PMC target identified; canonical PMC wildcard query returned no pre-event capture."
10.1177/1758835919874651,2021-12-15,other_unclear,body_text,https://journals.sagepub.com/doi/abs/10.1177/1758835919874651,https://journals.sagepub.com/doi/*10.1177/1758835919874651*,1758835919874651,publisher,same_published_version,CURRENT_RETRACTED,"Publisher page currently status-contaminated; historical URL variants still to probe."
10.1177/1758835919874651,2021-12-15,other_unclear,full_text_pdf,https://www.scienceopen.com/document_file/16cae942-fcee-4d6e-a441-bb62aa244ae7/PubMedCentral/16cae942-fcee-4d6e-a441-bb62aa244ae7.pdf,https://www.scienceopen.com/document_file/16cae942-fcee-4d6e-a441-bb62aa244ae7/PubMedCentral/16cae942-fcee-4d6e-a441-bb62aa244ae7.pdf,16cae942-fcee-4d6e-a441-bb62aa244ae7,mirror,unknown_mirror_equivalence,NO_PRE_EVENT_CDX_CAPTURE,"Useful mirror candidate but not Track-A eligible without temporal/equivalence evidence."
10.1007/s11277-021-09072-0,2022-12-06,authorship_peer_review,body_text,https://link.springer.com/article/10.1007/s11277-021-09072-0,https://link.springer.com/article/10.1007/s11277-021-09072-0*,s11277-021-09072-0,publisher,same_published_version,NO_WAYBACK_CAPTURE_FIRST_PASS,"Current page is retraction-contaminated."
10.1007/s11277-021-09072-0,2022-12-06,authorship_peer_review,full_text_pdf,https://link.springer.com/content/pdf/10.1007/s11277-021-09072-0.pdf,https://link.springer.com/content/pdf/10.1007/s11277-021-09072-0.pdf*,s11277-021-09072-0,publisher,same_published_version,CURRENT_RETRACTED,"Current PDF title contains RETRACTED ARTICLE."
