target_doi,issue_code,object_id,object_role,archive_source,original_url,snapshot_timestamp,artifact_version_date,outcome_date,content_digest_type,content_digest,status,evidence_note
10.1371/journal.pone.0161231,figure_panel_label_swap,plos0161231-html-20220520,body_text,Internet Archive Wayback Machine,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161231,20220520171120,2022-05-20,2024-03-21,wayback_cdx_digest,SJBUQU4QEVTKRFABLY56LDCTDJJ6B3EL,SAFE_EXACT,"Archived publisher article page predates correction; title/DOI/publication date are present and an article-specific correction/retraction banner was not found."
10.1371/journal.pone.0161231,figure_panel_label_swap,plos0161231-html-20220520-caption,figure_caption,Internet Archive Wayback Machine,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0161231,20220520171120,2022-05-20,2024-03-21,wayback_cdx_digest,SJBUQU4QEVTKRFABLY56LDCTDJJ6B3EL,SAFE_EXACT,"Archived HTML contains Figure 1 section/link before correction."
10.1371/journal.pone.0161231,figure_panel_label_swap,plos0161231-fig1-precorrection,figure_image,Internet Archive Wayback Machine,https://journals.plos.org/plosone/article/figure/image?size=inline&id=10.1371/journal.pone.0161231.g001,,,2024-03-21,,,BLOCKED,"CDX queries for inline, medium, and original-download Figure 1 endpoints returned no pre-correction capture; old HTML alone cannot prove image-object time safety."
10.1538/expanim.54.1,authorship_peer_review,jstage-expanim54-1-html-20180611,body_text,Internet Archive Wayback Machine,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/_article,20180611212411,2018-06-11,2022-08-01,wayback_cdx_digest,YZQHEJFRYGMRELLFBDCNGMLNPXZSWV33,SAFE_EXACT,"Publisher article HTML captured more than four years before the retraction event."
10.1538/expanim.54.1,authorship_peer_review,jstage-expanim54-1-pdf-20180725,body_text,Internet Archive Wayback Machine,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/_pdf,20180725154120,2018-07-25,2022-08-01,wayback_cdx_digest,BVVVDATHFQQOSOD4UX6KKPS7YDZJF3H3,SAFE_EXACT,"Exact publisher PDF endpoint captured as application/pdf before retraction; archived PDF is six pages and contains the 2005 review."
10.1538/expanim.54.1,authorship_peer_review,jstage-expanim54-1-pdf-20180725,references,Internet Archive Wayback Machine,https://www.jstage.jst.go.jp/article/expanim/54/1/54_1_1/_pdf,20180725154120,2018-07-25,2022-08-01,wayback_cdx_digest,BVVVDATHFQQOSOD4UX6KKPS7YDZJF3H3,SAFE_EXACT,"Same exact pre-event PDF supplies the historical reference list."
10.1371/journal.pone.0258910,table_reference_summary_error,plos0258910-pdf-20220114,table,Internet Archive Wayback Machine,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0258910&type=printable,20220114120313,2022-01-14,2024-05-09,wayback_cdx_digest,BLKICC3WUYN7GH4E7K63U5GD2NW2RYWY,SAFE_EXACT,"Exact publisher printable PDF captured before the 2024 correction; Table 1 on PDF p.15 contains the historical Harper & Rhodes summary later corrected."
10.1371/journal.pone.0263337,decimal_separator_format_error,plos0263337-pdf-20220209,table,Internet Archive Wayback Machine,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0263337&type=printable,20220209083358,2022-02-09,2025-08-04,wayback_cdx_digest,JH73D3J2WEFFQC75H7OUERJ74OJMJZKP,SAFE_EXACT,"Exact pre-correction publisher PDF. Table 2 on PDF p.6 prints Cronbach alpha values with decimal commas; later correction changes punctuation to periods. Retained as a formatting/honest-error control."
10.1371/journal.pone.0293412,raw_data_table_category_mismatch,hu-plos0293412-pdf-20231026,table,Humboldt-Universität zu Berlin institutional repository,https://edoc.hu-berlin.de/bitstreams/737fa0e9-7425-4d3c-a562-214a1c2b87d1/download,,2023-10-26,2025-01-03,sha256,95460abea1594e8f8f1aec4e8fb029df0e0faacf4e7244ba7ddb25dc7eefe60b,SAFE_EXACT,"Institutional repository record is dated the target publication day, stores journal.pone.0293412.pdf, links publisher DOI 10.1371/journal.pone.0293412, and the file is byte-identical to the current PLOS printable PDF (893239 bytes; SHA-256 verified 2026-09-18). Historical Table 1 reports Survey 1 Mexico as 16 / 4.5%."
10.1371/journal.pone.0293412,raw_data_table_category_mismatch,osf-nf4x7-survey1-20230728,raw_data,Open Science Framework,https://osf.io/download/t5muj/,,2023-07-28,2025-01-03,sha256,90f86ae54abb67e980a3379bfc95ab796fb9ebfe1ea9580fa4afde8743a035bb,SAFE_EXACT,"OSF survey1_ratings.csv current_version=1; created and modified 2023-07-28 before target publication; 353 rows; complete country frequency table sums to N=353. Unicode/case normalization of Mexico variants gives 17."
