record_id,stratum,query_family,rank_in_stratum,stable_id,title,year,domain,coder_id,coding_round,source_verified,screen_stage1,opposition_valid,opposition_rationale,x_construct,opposite_construct,actor_switch,level_switch,time_switch,construct_switch,environment_switch,feedback,nonlinearity,selection_filtering,power_asymmetry,primary_mechanism,study_design,evidence_mode,evidence_tier,causal_claim_strength,result_support,mediator,moderator,boundary_conditions,counterevidence,oci_candidate,exclusion_reason,notes
P01,conflict_security,intergroup competition -> intragroup cooperation,1,10.1177/01461672261476739,Intergroup Competition Promotes Intragroup Cooperation: A Meta-Analysis of Social Dilemmas,2026,social psychology,A,feasibility-1,publisher+PubMed,yes,yes,competition is between groups while cooperation is within group; valid level-switch contrast rather than literal antonymy,intergroup competition,intragroup cooperation,,yes,,,yes,,,,,level-switch/interdependence,meta-analysis of experimental games,meta-analysis,E5,high within included experimental paradigms,support,,intergroup interdependence,economic-game paradigms; prediction interval heterogeneous,included null and negative studies,yes,,
P02,conflict_security,intergroup conflict multilevel cooperation,2,10.1207/S15327957PSPR0702_129-145,"Intergroup conflict: individual, group, and collective interests",2003,social psychology,A,feasibility-1,publisher/indexed,yes,yes,between-group conflict and within-group cooperation can be represented at distinct levels,intergroup conflict/competition,intragroup cooperation,,yes,,,,,,,,multilevel social dilemma,review/theoretical synthesis,review,NA-review,theoretical,mixed/theoretical,,,,,yes,,
P03,conflict_security,deterrence conflict prevention,3,10.1146/annurev.polisci.2.1.25,Deterrence and International Conflict: Empirical Findings and Theoretical Debates,1999,international relations,A,feasibility-1,Annual Reviews,yes,yes,credible threat/preparation is distinct from realized war; outcome is conflict prevention,deterrent military threat/capability,absence/prevention of attack or crisis escalation,yes,,,,yes,yes,,,,strategic deterrence,review,review,NA-review,conditional,conditional_support,,capability; costly signals; interests; reputation,does not justify war itself causing peace,,yes,,
P04,conflict_security,diversionary conflict domestic discontent,4,JCR-1992-36-25,Domestic Discontent and the External Use of Force,1992,international relations,A,feasibility-1,journal/indexed,yes,uncertain,domestic discontent -> external force is not itself an opposite-producing relation unless domestic stabilization/support is measured,domestic discontent,external use of force,yes,yes,,,,,,,,diversionary conflict,quantitative political science,empirical,E1/E2,conditional/observational,mixed,,,requires explicit domestic outcome to qualify as OCI,,no,exposure and outcome are not functional opposites under strict schema,
P05,conflict_security,security dilemma self-defeating security,5,10.1080/09636410903133050,The Security Dilemma: A Conceptual Analysis,2009,international relations,A,feasibility-1,publisher,yes,yes,security-seeking measures can reduce security through reciprocal strategic response,security-seeking power/capability,reduced security/increased insecurity,yes,,,,,yes,,,,strategic equilibrium feedback,conceptual/formal analysis,conceptual,NA-conceptual,mechanistic/theoretical,not_tested_as_single_effect,other actor threat perception and response,,,,yes,,
P06,autonomy_choice,choice overload meta-analysis,1,10.1086/651235,Can There Ever Be Too Many Options? A Meta-Analytic Review of Choice Overload,2010,consumer psychology,A,feasibility-1,Oxford Academic,yes,yes,more formal options can reduce motivation/satisfaction to choose,number of options,reduced choice motivation/satisfaction,,,,yes,,,possible,,,choice overload,meta-analysis of experiments,meta-analysis,E5,high synthesis but heterogeneous,counterevidence/mixed,,substantial between-study heterogeneity; no sufficient conditions identified,,mean effect virtually zero across 63 conditions,yes,,
P07,autonomy_choice,choice overload moderators,2,10.1016/j.jcps.2014.08.002,Choice overload: A conceptual review and meta-analysis,2015,consumer psychology,A,feasibility-1,ScienceDirect/Wiley,yes,yes,option quantity can worsen choice outcomes under identifiable moderators,assortment size/options,choice satisfaction/confidence or completion quality,,,,yes,,,yes,,,capacity/choice overload,meta-analysis,meta-analysis,E5,conditional,conditional_support,,choice-set complexity; task difficulty; preference uncertainty; decision goal,,,yes,,
P08,autonomy_choice,autonomy paradox mobile email,3,10.1287/orsc.1120.0806,The Autonomy Paradox: The Implications of Mobile Email Devices for Knowledge Professionals,2013,organization science,A,feasibility-1,INFORMS+MIT,yes,yes,short-run flexibility/control is contrasted with longer-run reduced ability to disconnect,mobile-enabled flexibility/control,reduced effective autonomy/disconnection capacity,,,yes,yes,,yes,,,,normative feedback/autonomy paradox,qualitative organizational field study,empirical,E2,mechanistic but nonrandomized,support,norm of continual connectivity/accessibility,,knowledge professionals/mobile email context,,yes,,
P09,autonomy_choice,autonomy support counterevidence,4,10.1177/1745691612447309,Self-Determination Theory Applied to Health Contexts: A Meta-Analysis,2012,health psychology,A,feasibility-1,publisher/indexed,yes,no,primarily tests beneficial associations of autonomy support/motivation rather than an opposite-producing effect,autonomy support/autonomous motivation,adaptive health outcomes,,,,,,,,,,counterevidence,meta-analysis,meta-analysis,E5,mixed designs,counterevidence_to_global_freedom_reversal,,,,autonomy-related constructs generally associated with beneficial outcomes,no,negative-control paper; no focal reversal,
P10,autonomy_choice,workplace autonomy counterevidence,5,10.1002/smi.70151,Self-Determination Theory and Workplace Outcomes: A Meta-Analysis,2026,work psychology,A,feasibility-1,publisher,yes,no,tests adaptive pathways of need support and autonomous motivation,autonomy/need support,adaptive workplace outcomes,,,,,,,,,,counterevidence,meta-analysis,meta-analysis,E5,mixed designs,counterevidence_to_global_freedom_reversal,,,,,no,negative-control paper; no focal reversal,
